,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_30_mean,gas_kgh_30_std,meter_sigma,methane_fraction_km,methane_fraction_km_sigma,ch4_kgh_30_mean_km,ch4_kgh_sigma
57,2022-10-25 16:35:28,58,1,bc,0,1,1338.281976223972,14.964672000000002,0.026429599707329367,0.019087591836734648,0.9460179999999998,0.0024069307218945,14.156849076095998,0.04741908645618204
58,2022-10-25 16:38:32,59,1,bc,0,1,1389.91802348,14.939184000000001,0.026695959864808102,0.019055081632653022,0.9460179999999998,0.0024069307218945,14.132736969312,0.047494298758422385
59,2022-10-25 16:41:46,60,1,bc,0,0,1336.532195,14.955504,0.03337176274884972,0.01907589795918363,0.9460179999999998,0.0024069307218945,14.148175983072,0.051167572233010605
60,2022-10-25 16:44:55,61,1,bc,0,0,1362.1265747560278,14.896284,0.024845429691428816,0.019000362244897918,0.9460179999999998,0.0024069307218945,14.092152797112,0.046487313781916395
61,2022-10-25 16:48:07,62,1,bc,0,0,1323.315877976028,14.844899999999999,0.022323820585133772,0.01893482142857138,0.9460179999999998,0.0024069307218945,14.043542608200001,0.045205577552770076
62,2022-10-25 16:51:13,63,0,bc,1,1,1389.498622876028,3.917124,0.02873947346720905,0.005828098393676321,0.9460179999999998,0.0024069307218945,3.705669812232,0.029299844979463533
63,2022-10-25 16:54:29,64,0,bc,1,1,1349.397462143972,3.8454840000000003,0.02476628041344207,0.005827568777810351,0.9460179999999998,0.0024069307218945,3.637897082712,0.025787543350487885
64,2022-10-25 16:57:35,65,0,None,1,1,1360.884776816028,0.0,0.0,0.0,0.9460179999999998,0.0,0.0,0.0
65,2022-10-25 17:00:52,66,0,None,1,1,1327.4366130160279,0.0,0.0,0.0,0.9460179999999998,0.0,0.0,0.0
66,2022-10-25 17:04:01,67,0,bc,1,1,1374.553302843972,12.213252000000002,0.026749344097662914,0.015578127551020358,0.9460179999999998,0.0024069307218945,11.553956230535997,0.04149334157759726
67,2022-10-25 17:07:17,68,0,bc,1,1,1343.5613947000002,12.201696,0.02685995681307033,0.01556338775510199,0.9460179999999998,0.0024069307218945,11.543024046528,0.041532625879270764
68,2022-10-25 17:10:32,69,0,mc,1,1,1363.3984468439721,214.97676,0.3584121049372008,0.2742050510204082,0.9460179999999998,0.0024069307218945,203.37188454168,0.6708148712443606
69,2022-10-25 17:13:52,70,0,mc,0,1,1347.831954876028,216.50148000000002,0.3686359145786554,0.2761498469387755,0.9460179999999998,0.0024069307218945,204.81429710664,0.6792747246087305
70,2022-10-25 17:17:00,71,0,mc,0,0,1338.274867956028,218.11932,0.22012370565911926,0.2782134183673469,0.9460179999999998,0.0024069307218945,206.34480286776002,0.6231042145553205
71,2022-10-25 17:20:13,72,0,bc,1,1,1337.161569363972,24.644375999999998,0.03244611890078917,0.03143415306122445,0.9460179999999998,0.0024069307218945,23.314023294768003,0.07310955817039635
72,2022-10-25 17:23:22,73,0,bc,1,1,1367.092672683972,24.569867999999996,0.03354081018082603,0.03133911734693874,0.9460179999999998,0.0024069307218945,23.243537385624002,0.0733694230774511
73,2022-10-25 17:26:36,74,0,mc,1,1,1340.2056422960281,103.26407999999999,0.14935245608268818,0.13171438775510202,0.9460179999999998,0.0024069307218945,97.68967843344002,0.3118748869052093
74,2022-10-25 17:29:48,75,1,mc,0,0,1349.0010274200001,102.9,0.11203098093677111,0.13124999999999998,0.9460179999999998,0.0024069307218945,97.3452522,0.2966334066320254
75,2022-10-25 17:32:57,76,1,mc,0,0,1337.3004584760279,102.43980000000002,0.13060900322771707,0.13066301020408164,0.9460179999999998,0.0024069307218945,96.90989471639999,0.30222601625303014
76,2022-10-25 17:36:05,77,1,mc,0,0,1327.4267704960278,102.36732,0.13455189077209115,0.1305705612244898,0.9460179999999998,0.0024069307218945,96.84132733175998,0.30359285674335795
77,2022-10-25 17:39:21,78,0,mc,1,1,1346.867387916028,52.55747999999999,0.07099460105747676,0.0670376020408163,0.9460179999999998,0.0024069307218945,49.72032211464001,0.15663814522680952
78,2022-10-25 17:42:27,79,0,mc,1,1,1334.7408563599997,52.64184,0.21091024010064238,0.06714520408163262,0.9501814000000001,0.0014698832629247696,50.01948941232,0.22409697628438124
79,2022-10-25 17:45:44,80,0,pc,1,1,1331.4507207560282,1018.6836,34.74494739115017,1.2993413265306124,0.9506440000000002,0.0013657668785947996,968.4054522384,33.082432250141686
80,2022-10-25 17:48:49,81,0,pc,1,1,1357.482545736028,1046.6292,26.487093771144078,1.334986224489796,0.9506440000000002,0.0013657668785947996,994.9717692048,25.252249470067273
81,2022-10-25 17:52:10,82,1,pc,0,1,1308.1791757199999,1039.6032,29.76691281225538,1.3260244897959184,0.9506440000000002,0.0013657668785947996,988.2925444608001,28.361363998041224
82,2022-10-25 17:55:19,83,1,pc,0,0,1341.5327420760282,1042.3224,24.905608588123822,1.3294928571428573,0.9506440000000002,0.0013657668785947996,990.8775356255999,23.75277458015154
83,2022-10-25 17:58:33,84,1,pc,0,0,1310.085890676028,1044.1511999999998,26.5617947337122,1.3318255102040817,0.9506440000000002,0.0013657668785947996,992.6160733727997,25.322719086171926
84,2022-10-25 18:01:39,85,1,pc,0,0,1347.57550244,1028.514,31.695221695782887,1.3118801020408166,0.9506440000000002,0.0013657668785947996,977.750663016,30.189369227874803
85,2022-10-25 18:04:55,86,1,pc,0,0,1318.7303571599998,1039.8996,22.653502452197614,1.326402551020408,0.9506440000000002,0.0013657668785947996,988.5743153424003,21.619002084649335
86,2022-10-25 18:08:05,87,1,pc,0,0,1332.7160311639718,1036.4052000000001,22.46162749407885,1.3219454081632653,0.9506440000000002,0.0013657668785947996,985.2523849488001,21.436744055667756
