,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,kgh_ch4_30_su_raw,kgh_ch4_60_su_raw,kgh_ch4_90_su_raw,methane_fraction_su_normalized,kgh_ch4_30_su_normalized,kgh_ch4_60_su_normalized,kgh_ch4_90_su_normalized,methane_fraction_km,kgh_ch4_30_km,kgh_ch4_60_km,kgh_ch4_90_km
0,2022-10-10 17:00:39,1.0,1,11.65645161,11.65645161,11.65645161,mc,0,0,10351.26648,0.94,10.957064513399999,10.957064513399999,10.957064513399999,0.94,10.957064513399999,10.957064513399999,10.957064513399999,0.938118,10.93512707146998,10.93512707146998,10.93512707146998
1,2022-10-10 17:14:15,2.0,1,7.04376,7.04376,7.04376,mc,0,0,10398.14464,0.94,6.6211344,6.6211344,6.6211344,0.94,6.6211344,6.6211344,6.6211344,0.938118,6.6078780436799995,6.6078780436799995,6.6078780436799995
2,2022-10-10 17:28:37,3.0,1,9.217335484,9.217335484,9.217335484,mc,0,0,10419.39464,0.94,8.664295354959998,8.664295354959998,8.664295354959998,0.94,8.664295354959998,8.664295354959998,8.664295354959998,0.938118,8.64694832957911,8.64694832957911,8.64694832957911
3,2022-10-10 17:43:05,4.0,1,4.76172,4.76172,4.76172,mc,0,0,10416.32015,0.94,4.4760168,4.4760168,4.4760168,0.94,4.4760168,4.4760168,4.4760168,0.938118,4.467055242960001,4.467055242960001,4.467055242960001
4,2022-10-10 17:55:26,5.0,0,0.0,0.0,0.0,mc,0,0,10371.44592,0.94,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.938118,0.0,0.0,0.0
5,2022-10-10 18:07:14,6.0,0,97.58740645,97.58740645,97.58740645,mc,1,1,10396.95146,0.94,91.732162063,91.732162063,91.732162063,0.94,91.732162063,91.732162063,91.732162063,0.938118,91.54850256406111,91.54850256406111,91.54850256406111
6,2022-10-10 18:18:54,7.0,1,99.4068,99.4068,99.4068,mc,0,0,10330.29742,0.94,93.442392,93.442392,93.442392,0.94,93.442392,93.442392,93.442392,0.938118,93.2553084024,93.2553084024,93.2553084024
7,2022-10-10 18:30:38,8.0,0,42.26074839,42.26074839,42.26074839,mc,0,0,10364.923490000001,0.94,39.7251034866,39.7251034866,39.7251034866,0.94,39.7251034866,39.7251034866,39.7251034866,0.938118,39.645568758130025,39.645568758130025,39.645568758130025
8,2022-10-10 18:43:29,9.0,0,42.00886452,42.00886452,42.00886452,mc,0,0,10393.96195,0.94,39.488332648800004,39.488332648800004,39.488332648800004,0.94,39.488332648800004,39.488332648800004,39.488332648800004,0.938118,39.409271965773364,39.409271965773364,39.409271965773364
9,2022-10-10 18:56:08,10.0,1,36.1827871,36.1827871,36.1827871,mc,0,0,10387.311310000001,0.94,34.011819874,34.011819874,34.011819874,0.94,34.011819874,34.011819874,34.011819874,0.938118,33.9437238686778,33.9437238686778,33.9437238686778
10,2022-10-10 19:08:35,11.0,1,147.338129,147.338129,147.338129,mc,0,0,10356.373810000001,0.94,138.49784126,138.49784126,138.49784126,0.94,138.49784126,138.49784126,138.49784126,0.938118,138.220550901222,138.220550901222,138.220550901222
11,2022-10-10 19:20:19,12.0,1,63.00232258,63.00232258,63.00232258,mc,0,0,10258.25682,0.94,59.22218322519999,59.22218322519999,59.22218322519999,0.94,59.22218322519999,59.22218322519999,59.22218322519999,0.938118,59.10361285410444,59.10361285410444,59.10361285410444
12,2022-10-10 19:31:50,13.0,1,84.59338065,84.59338065,84.59338065,mc,0,0,10290.66358,0.94,79.517777811,79.517777811,79.517777811,0.94,79.517777811,79.517777811,79.517777811,0.938118,79.3585730686167,79.3585730686167,79.3585730686167
13,2022-10-10 19:44:20,14.0,0,131.652,131.652,131.652,mc,0,0,10424.39464,0.94,123.75287999999998,123.75287999999998,123.75287999999998,0.94,123.75287999999998,123.75287999999998,123.75287999999998,0.938118,123.505110936,123.505110936,123.505110936
14,2022-10-10 19:56:37,15.0,1,225.7411355,225.7411355,225.7411355,mc,0,0,10370.436310000001,0.94,212.19666737,212.19666737,212.19666737,0.94,212.19666737,212.19666737,212.19666737,0.938118,211.77182255298902,211.77182255298902,211.77182255298902
15,2022-10-10 20:08:41,16.0,1,223.3164774,223.3164774,223.3164774,mc,0,0,10401.61686,0.94,209.91748875599998,209.91748875599998,209.91748875599998,0.94,209.91748875599998,209.91748875599998,209.91748875599998,0.938118,209.4972071455332,209.4972071455332,209.4972071455332
16,2022-10-10 20:20:08,17.0,1,245.016929,245.016929,245.016929,mc,0,0,10250.436310000001,0.94,230.31591326,230.31591326,230.31591326,0.94,230.31591326,230.31591326,230.31591326,0.938118,229.854791399622,229.854791399622,229.854791399622
17,2022-10-10 20:31:35,18.0,0,78.10211613,78.10211613,78.10211613,mc,0,0,10295.436310000001,0.94,73.41598916219999,73.41598916219999,73.41598916219999,0.94,73.41598916219999,73.41598916219999,73.41598916219999,0.938118,73.26900097964334,73.26900097964334,73.26900097964334
18,2022-10-10 20:43:12,19.0,0,25.64091871,25.64091871,25.64091871,mc,0,0,10339.63502,0.94,24.1024635874,24.1024635874,24.1024635874,0.94,24.1024635874,24.1024635874,24.1024635874,0.938118,24.05420737838778,24.05420737838778,24.05420737838778
19,2022-10-10 20:55:31,20.0,1,47.99450323,47.99450323,47.99450323,mc,0,0,10402.311310000001,0.94,45.1148330362,45.1148330362,45.1148330362,0.94,45.1148330362,45.1148330362,45.1148330362,0.938118,45.02450738112114,45.02450738112114,45.02450738112114
20,2022-10-10 21:07:18,21.0,0,176.0567226,176.0567226,176.0567226,mc,0,0,10425.29742,0.94,165.493319244,165.493319244,165.493319244,0.94,165.493319244,165.493319244,165.493319244,0.938118,165.1619804920668,165.1619804920668,165.1619804920668
21,2022-10-10 21:19:04,22.0,0,189.1567742,189.1567742,189.1567742,mc,0,0,10440.60992,0.94,177.807367748,177.807367748,177.807367748,0.94,177.807367748,177.807367748,177.807367748,0.938118,177.4513746989556,177.4513746989556,177.4513746989556
22,2022-10-10 21:30:23,23.0,0,29.42023355,29.42023355,29.42023355,mc,0,0,10474.325200000001,0.94,27.655019536999998,27.655019536999998,27.655019536999998,0.94,27.655019536999998,27.655019536999998,27.655019536999998,0.938118,27.5996506574589,27.5996506574589,27.5996506574589
23,2022-10-11 17:16:20,24.0,1,28.33592516,28.33592516,28.33592516,mc,0,0,10374.88075,0.94,26.635769650399997,26.635769650399997,26.635769650399997,0.94,26.635769650399997,26.635769650399997,26.635769650399997,0.938118,26.58244143924888,26.58244143924888,26.58244143924888
24,2022-10-11 17:28:25,25.0,1,0.0,0.0,0.0,mc,0,0,10307.55169,0.94,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.938118,0.0,0.0,0.0
25,2022-10-11 17:40:14,26.0,0,51.18689032,51.18689032,51.18689032,mc,0,0,10237.96607,0.94,48.1156769008,48.1156769008,48.1156769008,0.94,48.1156769008,48.1156769008,48.1156769008,0.938118,48.01934317321776,48.01934317321776,48.01934317321776
