,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_90_mean,gas_kgh_90_std,meter_sigma,methane_fraction_su_raw,methane_fraction_su_raw_sigma,ch4_kgh_90_mean_su_raw,ch4_kgh_sigma
37,2022-10-31 19:05:50,38.0,0,bc,1,1,6560.64464,0.7100668,0.010853965256060817,0.005779283325292137,0.9600000000000001,0.022499999999999996,0.681664128,0.019864605843664153
38,2022-10-31 19:09:24,39.0,0,pc,0,1,6579.08214,1167.5092000000002,13.51602830367035,1.4891698979591836,0.9600000000000001,0.022499999999999996,1120.808832,29.333641764161346
39,2022-10-31 19:12:53,40.0,0,pc,0,1,6597.631819,1191.2784000000001,19.438431996688617,1.5194877551020407,0.9600000000000001,0.022499999999999996,1143.627264,32.69248516010536
40,2022-10-31 19:16:41,41.0,1,mc,0,0,6551.686307,95.11704,0.29023114414843115,0.12132275510204078,0.9600000000000001,0.022499999999999996,91.31235840000001,2.161334392643669
41,2022-10-31 19:19:58,42.0,0,None,1,1,6572.51964,0.0,0.0,0.0,0.9600000000000001,0.0,0.0,0.0
42,2022-10-31 19:23:33,43.0,0,None,0,0,6575.131819,0.0,0.0,0.0,0.9600000000000001,0.0,0.0,0.0
43,2022-10-31 19:26:49,44.0,1,bc,0,1,6573.76964,3.0688896,0.032523792184882,0.005821096963263004,0.9600000000000001,0.022499999999999996,2.9461340160000002,0.07598683472069864
44,2022-10-31 19:30:28,45.0,0,mc,0,0,6586.790472999999,329.22979999999995,0.8212942972507699,0.4199359693877552,0.9600000000000001,0.022499999999999996,316.060608,7.460411820216874
45,2022-10-31 19:33:50,46.0,0,mc,0,0,6558.352972999999,334.09227999999996,0.46176847138857635,0.426138112244898,0.9600000000000001,0.022499999999999996,320.7285888,7.541240330678154
46,2022-10-31 19:37:15,47.0,0,bc,1,1,6570.852972999999,7.525984,0.05497861771900167,0.009599469387755055,0.9600000000000001,0.022499999999999996,7.2249446399999995,0.17760860998947312
47,2022-10-31 19:40:41,48.0,1,pc,0,1,6593.977972999999,860.1388,30.651141773626748,1.0971158163265307,0.9600000000000001,0.022499999999999996,825.733248,35.23476899926326
48,2022-10-31 19:44:24,49.0,1,pc,0,0,6543.977972999999,898.2720000000002,6.831747594211251,1.1457551020408163,0.9600000000000001,0.022499999999999996,862.3411199999999,21.27704951471388
49,2022-10-31 19:47:36,50.0,0,bc,1,1,6564.458742999999,9.655456,0.02841734668840477,0.012315632653061173,0.9600000000000001,0.022499999999999996,9.26923776,0.21927290472394464
50,2022-10-31 19:51:06,51.0,0,bc,0,0,6561.061307,9.645927999999998,0.0181574934665764,0.012303479591836693,0.9600000000000001,0.022499999999999996,9.26009088,0.21805238432826624
51,2022-10-31 19:54:17,52.0,0,pc,0,0,6588.040472999999,403.1384,0.8510474814781678,0.514207142857143,0.9600000000000001,0.022499999999999996,387.01286400000004,9.120702592435208
52,2022-10-31 19:57:45,53.0,1,mc,1,1,6570.95714,74.53614400000001,20.7458830641733,0.10218633431506864,0.9600000000000001,0.021249999999999995,71.55469823999998,19.979171611002844
53,2022-10-31 20:00:57,54.0,1,mc,0,0,6591.26964,80.04220000000001,0.11687950580150626,0.1020946428571428,0.9600000000000001,0.022499999999999996,76.84051199999999,1.807101281152946
54,2022-10-31 20:04:26,55.0,1,None,0,0,6593.526583999999,0.0,0.0,0.0,0.9600000000000001,0.0,0.0,0.0
55,2022-10-31 20:11:39,56.0,1,mc,0,1,6560.852972999999,244.90524000000002,0.42644121920635514,0.3123791326530612,0.9600000000000001,0.022499999999999996,235.1090304,5.533685904979318
56,2022-10-31 20:15:03,57.0,1,pc,0,1,6592.102972999999,1115.6836,15.732452614783378,1.4230658163265306,0.9600000000000001,0.022499999999999996,1071.0562559999998,29.327909196824653
57,2022-10-31 20:18:40,58.0,1,pc,0,0,6617.51964,1135.8935999999999,11.944926321537805,1.4488438775510208,0.9600000000000001,0.022499999999999996,1090.457856,28.04676190665322
58,2022-10-31 20:22:02,59.0,0,bc,1,1,6578.76964,1.8265247999999998,0.012692345362992729,0.005806240614393893,0.9600000000000001,0.022499999999999996,1.7534638079999998,0.04322594980681329
59,2022-10-31 20:32:24,60.0,0,bc,1,1,6588.14464,8.08323227586207,4.35659384913937,0.010364344938386293,0.9599999999999996,0.01784482758620689,7.759902984827587,4.184828589282685
60,2022-10-31 20:35:52,61.0,1,bc,0,0,6592.51964,10.514632,0.014040740977277864,0.01341152040816322,0.9600000000000001,0.022499999999999996,10.094046720000001,0.2373124121022096
61,2022-10-31 20:38:50,62.0,0,None,1,1,6646.964083999999,0.0,0.0,0.0,0.9600000000000001,0.0,0.0,0.0
62,2022-10-31 20:42:26,63.0,0,None,0,0,6614.282461000001,0.0,0.0,0.0,0.9600000000000001,0.0,0.0,0.0
