,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,kgh_gas_30_mean,kgh_gas_30_std,kgh_ch4_30_mean_su_raw,kgh_ch4_30_std_su_raw
0,2022-10-10 17:00:39,1.0,1,mc,0,0,10351.26648,0.9400000000000002,11.655372000000003,0.06744051061286647,10.956049680000001,0.06339407997609446
1,2022-10-10 17:14:15,2.0,1,mc,0,0,10398.14464,0.9400000000000002,7.042908,0.0666597595824211,6.620333519999998,0.06266017400747582
2,2022-10-10 17:28:37,3.0,1,mc,0,0,10419.39464,0.9400000000000002,9.215316000000001,0.06610644068991799,8.66239704,0.06214005424852304
3,2022-10-10 17:43:05,4.0,1,mc,0,0,10416.32015,0.9400000000000002,4.762968000000001,0.06669060826191955,4.47718992,0.06268917176620442
4,2022-10-10 17:55:26,5.0,0,mc,0,0,10371.44592,0.9400000000000002,0.0,0.0,0.0,0.0
5,2022-10-10 18:07:14,6.0,0,mc,1,1,10396.95146,0.9400000000000002,97.57991999999999,0.12963700621084462,91.72512479999999,0.12185878583819308
6,2022-10-10 18:18:54,7.0,1,mc,0,0,10330.29742,0.9400000000000002,99.40583999999998,0.10353789111504903,93.44148960000001,0.09732561764814532
7,2022-10-10 18:30:38,8.0,0,mc,0,0,10364.923490000001,0.9400000000000002,42.283800000000014,0.06481206784180758,39.746772,0.06092334377129934
8,2022-10-10 18:43:29,9.0,0,mc,0,0,10393.96195,0.9400000000000002,42.00696,0.060503049794887326,39.4865424,0.05687286680719543
9,2022-10-10 18:56:08,10.0,1,mc,0,0,10387.311310000001,0.9400000000000002,36.18312,0.0546436127447031,34.012132799999996,0.051364995980020416
10,2022-10-10 19:08:35,11.0,1,mc,0,0,10356.373810000001,0.9400000000000002,146.86763999999997,10.388265396394676,138.05558159999998,9.764969472610996
11,2022-10-10 19:20:19,12.0,1,mc,0,0,10258.25682,0.9400000000000002,63.00419999999999,0.07472947071339062,59.22394799999999,0.07024570247058769
12,2022-10-10 19:31:50,13.0,1,mc,0,0,10290.66358,0.9400000000000002,84.60408000000001,0.09150308982911973,79.5278352,0.08601290443937246
13,2022-10-10 19:44:20,14.0,0,mc,0,0,10424.39464,0.9400000000000002,131.65188,0.21683730815267216,123.75276720000001,0.2038270696635125
14,2022-10-10 19:56:37,15.0,1,mc,0,0,10370.436310000001,0.9400000000000002,225.71304000000003,0.4455592081867464,212.17025760000004,0.4188256556955401
15,2022-10-10 20:08:41,16.0,1,mc,0,0,10401.61686,0.9400000000000002,223.63920000000002,3.2365043211294604,210.22084800000002,3.042314061861691
16,2022-10-10 20:20:08,17.0,1,mc,0,0,10250.436310000001,0.9400000000000002,244.99524,0.554107056505296,230.2955256,0.5208606331149798
17,2022-10-10 20:31:35,18.0,0,mc,0,0,10295.436310000001,0.9400000000000002,78.09648,0.06666779401345603,73.4106912,0.06266772637264971
18,2022-10-10 20:43:12,19.0,0,mc,0,0,10339.63502,0.9400000000000002,25.71834,2.9239103267677877,24.1752396,2.7484757071617207
19,2022-10-10 20:55:31,20.0,1,mc,0,0,10402.311310000001,0.9400000000000002,48.07355999999999,3.6113902175162984,45.189146400000006,3.3947068044653204
20,2022-10-10 21:07:18,21.0,0,mc,0,0,10425.29742,0.9400000000000002,176.13767999999996,5.332906199631581,165.56941919999997,5.012931827653685
21,2022-10-10 21:19:04,22.0,0,mc,0,0,10440.60992,0.9400000000000002,189.17999999999998,0.39342536075189477,177.82920000000001,0.36981983910678295
22,2022-10-10 21:30:23,23.0,0,mc,0,0,10474.325200000001,0.9400000000000001,27.473622857142853,2.714046712628843,25.825205485714285,2.551203909871112
23,2022-10-11 17:16:20,24.0,1,mc,0,0,10374.88075,0.9400000000000002,28.336152000000002,0.07044043071007383,26.635982879999997,0.06621400486746921
24,2022-10-11 17:28:25,25.0,1,mc,0,0,10307.55169,0.9400000000000002,0.0,0.0,0.0,0.0
25,2022-10-11 17:40:14,26.0,0,mc,0,0,10237.96607,0.9400000000000002,51.184920000000005,0.08052333309304717,48.1138248,0.07569193310746432
26,2022-10-11 17:52:20,27.0,0,mc,0,0,10247.65853,0.9400000000000002,156.44712,0.32869118763299365,147.06029279999998,0.3089697163750123
27,2022-10-11 18:04:37,28.0,0,mc,0,0,10368.561310000001,0.9400000000000002,112.95144000000002,0.14515789643195973,106.17435359999999,0.13644842264604207
28,2022-10-11 18:17:11,29.0,0,mc,0,0,10324.82733,0.9400000000000002,127.50623999999999,0.16881685158570547,119.85586559999999,0.15868784049056364
29,2022-10-11 18:29:30,30.0,1,mc,0,0,10305.85297,0.9400000000000002,43.27104,0.05560993213198509,40.6747776,0.052273336204066496
30,2022-10-11 18:41:30,31.0,0,mc,0,0,10263.561310000001,0.9400000000000002,80.52924000000002,0.10060777237405304,75.69748560000001,0.09457130603161024
31,2022-10-11 18:53:37,32.0,0,mc,0,0,10305.436310000001,0.9400000000000002,164.34636,0.25791176999789744,154.48557839999998,0.24243706379802202
32,2022-10-11 19:05:39,33.0,0,mc,0,0,10322.311310000001,0.9400000000000002,177.69084000000004,8.695743265791126,167.02938959999994,8.173998669843659
33,2022-10-11 19:17:52,34.0,0,mc,0,0,10346.44821,0.9400000000000002,7.034651999999999,0.06675480126862621,6.61257288,0.06274951319250861
34,2022-10-11 19:30:41,35.0,0,mc,0,0,10361.07733,0.9400000000000002,22.388135999999996,0.06596497177055141,21.044847840000003,0.06200707346431831
35,2022-10-11 19:42:49,36.0,0,mc,0,0,10365.71408,0.9400000000000002,0.0,0.0,0.0,0.0
36,2022-10-11 19:54:25,37.0,1,mc,0,0,10369.60297,0.9400000000000002,43.487159999999996,4.36624059469455,40.87793039999999,4.104266159012877
37,2022-10-11 20:05:50,38.0,1,mc,0,0,10314.404110000001,0.9400000000000002,17.601828,0.06823531790543061,16.54571832,0.06414119883110511
38,2022-10-11 20:17:29,39.0,1,mc,0,0,10273.00041,0.9400000000000002,186.61056,0.37202901777813796,175.41392639999998,0.34970727671145196
39,2022-10-11 20:29:33,40.0,1,mc,0,0,10412.51964,0.9400000000000002,148.89299999999997,0.2563412757539699,139.95942000000002,0.2409607992087308
40,2022-10-11 20:41:39,41.0,1,mc,0,0,10398.561310000001,0.9400000000000002,31.352411999999998,0.06389285613296333,29.47126728,0.06005928476498557
41,2022-10-11 20:53:40,42.0,1,mc,0,0,10369.39464,0.9400000000000002,40.216440000000006,0.06270890383900629,37.803453600000005,0.058946369608665734
42,2022-10-11 21:05:19,43.0,0,mc,0,0,10271.2994,0.9400000000000002,103.85508000000003,0.1301625148645407,97.62377519999998,0.12235276397266838
43,2022-10-11 21:16:39,44.0,0,mc,0,0,10325.33214,0.9400000000000001,94.11800000000001,0.08824002231675607,88.47091999999999,0.08294562097774993
44,2022-10-12 17:16:03,45.0,0,mc,0,0,10150.64464,0.9400000000000002,295.75752,0.7918361962269581,278.0120688,0.7443260244533357
45,2022-10-12 17:27:44,46.0,1,mc,0,0,10169.498810000001,0.9400000000000002,70.01496,0.09782374579507404,65.8140624,0.09195432104737046
