,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,kgh_gas_90_mean,kgh_gas_90_std,kgh_ch4_90_mean_km,kgh_ch4_90_std_km
0,2022-10-25 17:15:08,1.0,0,mc,0,1,41623.97797,0.9467719999999998,216.82272000000003,0.39517220117851065,205.28168025984002,0.37413797525418185
1,2022-10-25 17:32:52,2.0,0,mc,0,0,41630.46886,0.9467719999999998,102.63000000000001,0.1603652348214094,97.16721035999998,0.15182931410233533
2,2022-10-25 17:50:42,3.0,0,pc,1,1,42633.14464,0.9487210000000003,1040.588,27.966889096801758,987.2276879479998,26.532774990806864
3,2022-10-25 18:09:11,4.0,0,pc,0,0,42635.03948,0.9487210000000003,1034.2948000000001,26.095741244179024,981.2571969508,24.75757772891876
4,2022-10-25 18:27:57,5.0,0,None,1,1,43640.086839999996,0.9487210000000003,0.0,0.0,0.0,0.0
5,2022-10-25 18:47:09,6.0,0,pc,0,0,43643.14464,0.9487210000000003,492.7559999999999,2.269325455387986,467.4879650760001,2.152956715361145
6,2022-10-25 19:07:10,7.0,0,bc,0,0,43626.23549,0.9487210000000003,25.700648,0.03908338729239311,24.382744471208007,0.03707923027542664
7,2022-10-25 19:28:04,8.0,0,pc,0,0,43632.51964,0.9487210000000003,667.3860000000001,5.211595791754121,633.1631133060001,4.944350371148753
8,2022-10-25 20:10:31,9.0,0,mc,0,0,44646.26964,0.9487210000000003,149.53856,0.16555184448831536,141.87037218176,0.1570625114548005
9,2022-10-25 20:29:58,10.0,0,mc,0,1,44667.51964,0.9487210000000003,78.58003999999998,0.12199542522275471,74.55053412884,0.11573962181275703
10,2022-10-25 20:46:41,11.0,0,mc,0,0,44667.51964,0.9487210000000003,66.31193499999999,0.04613966976913183,62.911525285135,0.04377367364304056
11,2022-10-29 16:25:02,12.0,0,None,0,0,42617.543679999995,0.9513610000000003,0.0,0.0,0.0,0.0
12,2022-10-29 16:50:52,13.0,0,mc,0,0,42642.51964,0.9513610000000003,356.69048000000004,0.7812246317247536,339.34141174328,0.7432266468622974
13,2022-10-29 17:17:02,14.0,0,pc,0,0,42642.51964,0.9513610000000003,704.3796,4.771043710279054,670.1192806355999,4.538984915254787
14,2022-10-29 17:42:47,15.0,0,pc,0,0,43641.474559999995,0.9513610000000003,425.32880000000006,1.7533199276057192,404.64123249679994,1.668040199646905
15,2022-10-29 18:07:14,16.0,0,bc,0,0,43640.198209999995,0.9513610000000003,35.264468,0.04469032339269732,33.549239540948,0.042516630753200065
16,2022-10-29 18:31:01,17.0,0,mc,0,0,43625.62149,0.9513610000000003,353.9164,0.8261260278750356,336.70226022040003,0.7859440840052198
17,2022-10-29 18:54:09,18.0,0,pc,0,0,43635.8699,0.9513610000000003,858.9524,11.71303860517381,817.1738142164,11.143328120456763
18,2022-10-29 19:16:43,19.0,0,pc,0,0,43617.51964,0.9513610000000003,1112.4932000000001,32.02133914596833,1058.3826432452,30.46385323124757
19,2022-10-29 19:38:38,20.0,0,pc,0,0,44617.51964,0.9513610000000003,1354.7772,36.009193569907346,1288.8821917692,34.25774240386063
20,2022-10-29 19:59:57,21.0,0,pc,0,0,44608.46226,0.9513610000000003,614.0148000000002,4.136357772542401,584.1497341428,3.935169466843709
21,2022-10-29 20:21:33,22.0,0,mc,1,1,44617.51964,0.9513610000000003,210.80136,15.096770243332015,200.54819265096003,14.36247843546659
22,2022-10-29 20:42:37,23.0,0,pc,1,1,44617.51964,0.9513610000000003,517.6184000000001,2.2827752713146907,492.4419586424001,2.171743364893218
23,2022-10-29 21:02:19,24.0,0,mc,0,0,44627.869099999996,0.9513610000000002,177.09759204545455,0.13907434770248467,168.48374226595567,0.13230991050458277
