,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,kgh_gas_90_mean,kgh_gas_90_std,kgh_ch4_90_mean_km,kgh_ch4_90_std_km
0,2022-10-10 17:00:39,1.0,1,mc,0,0,10351.26648,0.938118,11.662084,0.06241810744190511,10.940410917911999,0.058555550117185134
1,2022-10-10 17:14:15,2.0,1,mc,0,0,10398.14464,0.938118,7.761883999999999,1.7032428239986572,7.281563094311999,1.5978427515639726
2,2022-10-10 17:28:37,3.0,1,mc,0,0,10419.39464,0.938118,9.233548,0.08002136106950271,8.662157582664,0.0750694792037999
3,2022-10-10 17:43:05,4.0,1,mc,0,0,10416.32015,0.938118,5.141496,1.4129236121855495,4.823329944528,1.3254890732162834
4,2022-10-10 17:55:26,5.0,0,mc,0,0,10371.44592,0.938118,0.0,0.0,0.0,0.0
5,2022-10-10 18:07:14,6.0,0,mc,1,1,10396.95146,0.938118,97.57492,0.12856163930630204,91.53678880055999,0.12060598794274967
6,2022-10-10 18:18:54,7.0,1,mc,0,0,10330.29742,0.938118,99.43376000000002,0.12330113753268482,93.28060006368,0.11567101653988661
7,2022-10-10 18:30:38,8.0,0,mc,0,0,10364.923490000001,0.938118,35.67184400000001,5.091867322218437,33.464398949591995,4.776772388584916
8,2022-10-10 18:43:29,9.0,0,mc,0,0,10393.96195,0.938118,42.02452,0.0683291294587034,39.423958653359996,0.06410078626953974
9,2022-10-10 18:56:08,10.0,1,mc,0,0,10387.311310000001,0.938118,30.151667999999997,5.705461774921888,28.285822480824002,5.352396389366172
10,2022-10-10 19:08:35,11.0,1,mc,0,0,10356.373810000001,0.938118,156.36872,8.99407097971407,146.69231086896002,8.437499879347405
11,2022-10-10 19:20:19,12.0,1,mc,0,0,10258.25682,0.938118,63.24296,0.59822913140612,59.329359149279995,0.5612095162964461
12,2022-10-10 19:31:50,13.0,1,mc,0,0,10290.66358,0.938118,82.28608,4.217540601702754,77.19405279744,3.956550754188185
13,2022-10-10 19:44:20,14.0,0,mc,0,0,10424.39464,0.938118,131.63191999999998,0.2287062603605131,123.48627352656,0.21455345955688232
14,2022-10-10 19:56:37,15.0,1,mc,0,0,10370.436310000001,0.938118,225.67976000000002,0.5083656891329715,211.71424509168,0.4769070035580438
15,2022-10-10 20:08:41,16.0,1,mc,0,0,10401.61686,0.938118,217.67396000000005,4.645967072121365,204.20386000727999,4.358465337764349
16,2022-10-10 20:20:08,17.0,1,mc,0,0,10250.436310000001,0.938118,244.84259999999998,0.5777657555745286,229.69125022679998,0.542012455088067
17,2022-10-10 20:31:35,18.0,0,mc,0,0,10295.436310000001,0.938118,74.49367999999998,4.495670301078583,69.88386209424,4.217469231507238
18,2022-10-10 20:43:12,19.0,0,mc,0,0,10339.63502,0.938118,24.076407999999997,2.037744568484778,22.586511720144003,1.911644859097803
19,2022-10-10 20:55:31,20.0,1,mc,0,0,10402.311310000001,0.938118,46.38712000000001,2.385500636368047,43.51659224016001,2.23788108598832
20,2022-10-10 21:07:18,21.0,0,mc,0,0,10425.29742,0.938118,176.86079999999998,5.951276356879678,165.9162999744,5.582999473363251
21,2022-10-10 21:19:04,22.0,0,mc,0,0,10440.60992,0.938118,189.15384,0.5309796172054436,177.44862207312,0.4981215365335375
22,2022-10-10 21:30:23,23.0,0,mc,0,0,10474.325200000001,0.9381180000000001,25.832528888888888,1.8516923059083006,24.233960336186666,1.7371058826340833
23,2022-10-11 17:16:20,24.0,1,mc,0,0,10374.88075,0.938118,28.348007999999997,0.07091697546736048,26.593776568944,0.06652849119148918
24,2022-10-11 17:28:25,25.0,1,mc,0,0,10307.55169,0.938118,0.0,0.0,0.0,0.0
25,2022-10-11 17:40:14,26.0,0,mc,0,0,10237.96607,0.938118,51.208480000000016,0.07602540557034111,48.039596840639994,0.07132080142283746
26,2022-10-11 17:52:20,27.0,0,mc,0,0,10247.65853,0.938118,156.40528,0.26676469419212134,146.72660846303998,0.2502567613861235
27,2022-10-11 18:04:37,28.0,0,mc,0,0,10368.561310000001,0.938118,112.99156,0.13718177950884564,105.99941628408003,0.12869269662927915
28,2022-10-11 18:17:11,29.0,0,mc,0,0,10324.82733,0.938118,127.55568000000001,0.18170792417466275,119.66227941024,0.1704634744108872
29,2022-10-11 18:29:30,30.0,1,mc,0,0,10305.85297,0.938118,43.29468,0.06879261653613426,40.61551861224,0.0645355918396452
30,2022-10-11 18:41:30,31.0,0,mc,0,0,10263.561310000001,0.938118,80.56896,0.11214837363004998,75.58319161728001,0.1052084079730755
31,2022-10-11 18:53:37,32.0,0,mc,0,0,10305.436310000001,0.938118,164.37716,0.42529224764873513,154.20517258488002,0.3989743127797374
32,2022-10-11 19:05:39,33.0,0,mc,0,0,10322.311310000001,0.938118,175.77119999999996,9.055940826225065,164.8941266016,8.495541096016606
33,2022-10-11 19:17:52,34.0,0,mc,0,0,10346.44821,0.938118,8.953004,2.7243725765962457,8.398974206472,2.5557829528113163
34,2022-10-11 19:30:41,35.0,0,mc,0,0,10361.07733,0.938118,22.39838,0.06435885858723485,21.012323448839997,0.0603762037001395
35,2022-10-11 19:42:49,36.0,0,mc,0,0,10365.71408,0.938118,0.0,0.0,0.0,0.0
36,2022-10-11 19:54:25,37.0,1,mc,0,0,10369.60297,0.938118,44.32612,3.9419438651793,41.58313104216,3.6980084949142746
37,2022-10-11 20:05:50,38.0,1,mc,0,0,10314.404110000001,0.938118,17.621924,0.06348408801433024,16.531444099032,0.05955556567982741
38,2022-10-11 20:17:29,39.0,1,mc,0,0,10273.00041,0.938118,187.85548,4.59368404364666,176.23060718664001,4.309417687657718
39,2022-10-11 20:29:33,40.0,1,mc,0,0,10412.51964,0.938118,148.8818,0.2422360943238196,139.6686964524,0.22724604033487283
40,2022-10-11 20:41:39,41.0,1,mc,0,0,10398.561310000001,0.938118,31.359576000000004,0.07476454842152223,29.418982717968003,0.0701379686361015
41,2022-10-11 20:53:40,42.0,1,mc,0,0,10369.39464,0.938118,34.18636,6.195682790925532,32.070839670480005,5.812281548457479
42,2022-10-11 21:05:19,43.0,0,mc,0,0,10271.2994,0.938118,90.65831999999999,10.360779890509956,85.04820184175999,9.719634109325419
