,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_normalized,kgh_gas_30_mean,kgh_gas_30_std,kgh_ch4_30_mean_su_normalized,kgh_ch4_30_std_su_normalized
0,2022-10-25 17:15:08,1.0,0,mc,0,1,41623.97797,0.8999999999999998,217.06044000000003,0.3238022614987791,195.354396,0.2914220353489022
1,2022-10-25 17:32:52,2.0,0,mc,0,0,41630.46886,0.8999999999999998,102.47891999999999,0.15677072738721712,92.23102800000001,0.14109365464849388
2,2022-10-25 17:50:42,3.0,0,pc,1,1,42633.14464,0.8799999999999998,1040.472,25.151665765086417,915.61536,22.133465873276045
3,2022-10-25 18:09:11,4.0,0,pc,0,0,42635.03948,0.8799999999999998,1039.6176,29.98849987578572,914.8634880000001,26.389879890691425
4,2022-10-25 18:27:57,5.0,0,None,1,1,43640.086839999996,0.8799999999999998,0.0,0.0,0.0,0.0
5,2022-10-25 18:47:09,6.0,0,pc,0,0,43643.14464,0.8799999999999998,492.16439999999994,1.880353114306661,433.1046720000001,1.6547107405898582
6,2022-10-25 19:07:10,7.0,0,bc,0,0,43626.23549,0.8799999999999998,25.673340000000007,0.025358589648588864,22.592539200000008,0.022315558890758216
7,2022-10-25 19:28:04,8.0,0,pc,0,0,43632.51964,0.8799999999999998,668.2872000000002,4.276464075974854,588.0927360000001,3.763288386857868
8,2022-10-25 20:10:31,9.0,0,mc,0,0,44646.26964,0.8799999999999998,149.50224,0.14622230029461733,131.5619712,0.12867562425926699
9,2022-10-25 20:29:58,10.0,0,mc,0,1,44667.51964,0.8799999999999998,78.47220000000002,0.09032506812084011,69.055536,0.07948605994633977
10,2022-10-25 20:46:41,11.0,0,mc,0,0,44667.51964,0.8799999999999998,66.314745,0.057548254639639765,58.35697560000001,0.05064246408288373
11,2022-10-29 16:25:02,12.0,0,None,0,0,42617.543679999995,0.9200000000000004,0.0,0.0,0.0,0.0
12,2022-10-29 16:50:52,13.0,0,mc,0,0,42642.51964,0.9200000000000004,356.89848,0.7530324416696087,328.34660160000004,0.692789846336036
13,2022-10-29 17:17:02,14.0,0,pc,0,0,42642.51964,0.9200000000000004,704.4071999999998,5.4663760573162286,648.054624,5.0290659727309235
14,2022-10-29 17:42:47,15.0,0,pc,0,0,43641.474559999995,0.9200000000000004,425.80080000000004,1.3563665052454448,391.73673599999995,1.2478571848258115
15,2022-10-29 18:07:14,16.0,0,bc,0,0,43640.198209999995,0.9200000000000004,35.23541999999999,0.03557003582055996,32.4165864,0.032724432954915596
16,2022-10-29 18:31:01,17.0,0,mc,0,0,43625.62149,0.9200000000000004,354.4206000000001,0.7512227880205606,326.0669520000001,0.6911249649789121
17,2022-10-29 18:54:09,18.0,0,pc,0,0,43635.8699,0.9200000000000004,856.1808000000001,12.011607324182075,787.686336,11.050678738247509
18,2022-10-29 19:16:43,19.0,0,pc,0,0,43617.51964,0.9200000000000004,1115.6123999999998,33.44863271428552,1026.3634080000002,30.7727420971427
19,2022-10-29 19:38:38,20.0,0,pc,0,0,44617.51964,0.9200000000000004,1355.3004000000005,39.25852256921089,1246.8763680000002,36.11784076367404
20,2022-10-29 19:59:57,21.0,0,pc,0,0,44608.46226,0.9200000000000004,613.5984000000002,3.7366591163396454,564.510528,3.4377263870324675
21,2022-10-29 20:21:33,22.0,0,mc,1,1,44617.51964,0.9200000000000004,203.74836,24.941305768842504,187.4484912,22.946001307335106
22,2022-10-29 20:42:37,23.0,0,pc,1,1,44617.51964,0.9200000000000004,517.788,2.2165090912793826,476.36495999999994,2.0391883639770327
23,2022-10-29 21:02:19,24.0,0,mc,0,0,44627.869099999996,0.9200000000000003,177.07501607142856,0.058278231202937895,162.9090147857143,0.05361597270670016
