PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),Kairos Flag for Dropped Passes or Uncertain Rate Quantification,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported
1,1,1,10/24/22,9:46:16,N/A,N/A,N/A,Methane,,,0,,,,,,N,N/A
2,1,1,10/24/22,9:49:22,N/A,N/A,N/A,Methane,,,0,,,,,,S,N/A
3,1,1,10/24/22,9:52:33,N/A,N/A,N/A,Methane,,Plane deviated from flightline,,,,,,,N,N/A
4,1,1,10/24/22,9:55:42,N/A,N/A,N/A,Methane,,,17.57448,,,,4.25,159,S,N/A
5,1,1,10/24/22,9:59:02,N/A,N/A,N/A,Methane,,,30.7568,,,,4.2,160,N,N/A
6,1,1,10/24/22,10:02:04,N/A,N/A,N/A,Methane,,,119.00672,,,,4.15,160,S,N/A
7,1,1,10/24/22,10:05:21,N/A,N/A,N/A,Methane,,,253.1824,,,,4.09,160,N,N/A
8,1,1,10/24/22,10:08:22,N/A,N/A,N/A,Methane,,,128.58496,,,,4.04,160,S,N/A
9,1,1,10/24/22,10:11:38,N/A,N/A,N/A,Methane,,,0,,,,,,N,N/A
10,1,1,10/24/22,10:14:38,N/A,N/A,N/A,Methane,,,0,,,,,,S,N/A
11,1,1,10/24/22,10:17:54,N/A,N/A,N/A,Methane,,,0,,,,,,N,N/A
12,1,1,10/24/22,10:20:59,N/A,N/A,N/A,Methane,,,11.50552,,,,3.8,161,S,N/A
13,1,1,10/24/22,10:24:13,N/A,N/A,N/A,Methane,,,18.436,,,,3.75,161,N,N/A
14,1,1,10/24/22,10:27:12,N/A,N/A,N/A,Methane,,,0,,,,,,S,N/A
15,1,1,10/24/22,10:30:28,N/A,N/A,N/A,Methane,,PARTIAL DETECTION,PD,,,,3.63,161,N,N/A
16,1,1,10/24/22,10:33:39,N/A,N/A,N/A,Methane,,,0,,,,,,S,N/A
17,1,1,10/24/22,10:36:53,N/A,N/A,N/A,Methane,,,0,,,,,,N,N/A
18,1,1,10/24/22,10:40:00,N/A,N/A,N/A,Methane,,,31.02192,,,,3.46,161,S,N/A
19,1,1,10/24/22,10:43:18,N/A,N/A,N/A,Methane,,,55.4736,,,,3.41,161,N,N/A
20,1,1,10/24/22,10:46:21,N/A,N/A,N/A,Methane,,,22.92096,,,,3.36,161,S,N/A
21,1,1,10/24/22,10:49:37,N/A,N/A,N/A,Methane,,,149.85984,,,,3.31,161,N,N/A
22,1,1,10/24/22,10:52:40,N/A,N/A,N/A,Methane,,,213.39264,,,,3.27,161,S,N/A
23,1,1,10/24/22,10:57:59,N/A,N/A,N/A,Methane,,,140.61312,,,,3.21,161,N,N/A
24,1,1,10/24/22,11:01:12,N/A,N/A,N/A,Methane,,,67.00464,,,,3.18,161,S,N/A
25,1,1,10/24/22,11:04:31,N/A,N/A,N/A,Methane,,,72.9816,,,,3.15,161,N,N/A
26,1,1,10/24/22,11:07:34,N/A,N/A,N/A,Methane,,,190.568,,,,3.13,161,S,N/A
27,1,1,10/24/22,11:10:51,N/A,N/A,N/A,Methane,,,0,,,,,,N,N/A
28,1,1,10/24/22,11:13:54,N/A,N/A,N/A,Methane,,Cutoff - low confidence quantification,702.2544,,,,3.08,161,S,N/A
29,1,1,10/24/22,11:17:18,N/A,N/A,N/A,Methane,,Excessive methane pooling near site,,,,,,,N,N/A
30,1,1,10/24/22,11:20:26,N/A,N/A,N/A,Methane,,Excessive methane pooling near site,,,,,,,S,N/A
31,1,1,10/24/22,11:23:39,N/A,N/A,N/A,Methane,,Cutoff - low confidence quantification,720.60696,,,,3.04,161,N,N/A
32,1,1,10/24/22,11:26:41,N/A,N/A,N/A,Methane,,,447.5488,,,,3.04,161,S,N/A
