,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,kgh_gas_30_mean,kgh_gas_30_std,kgh_ch4_30_mean_su_raw,kgh_ch4_30_std_su_raw
0,2022-10-10 17:00:00,1.0,1,mc,0,0,10351.26648,0.9400000000000002,11.665032000000002,0.06103084615232655,10.96513008,0.057368995383187
1,2022-10-10 17:13:50,2.0,1,mc,0,0,10398.14464,0.9400000000000002,7.082496000000002,0.06738834738112096,6.657546239999999,0.06334504653825358
2,2022-10-10 17:28:52,3.0,1,mc,0,0,10419.39464,0.9400000000000002,9.207336000000002,0.07431494626668755,8.65489584,0.06985604949068655
3,2022-10-10 17:43:03,4.0,1,mc,0,0,10416.32015,0.9400000000000002,4.763856000000001,0.06893217584123454,4.478024639999999,0.06479624529076052
4,2022-10-10 17:55:13,5.0,0,mc,0,0,10371.44592,0.9400000000000002,0.0,0.0,0.0,0.0
5,2022-10-10 18:06:52,6.0,0,mc,1,1,10396.95146,0.9400000000000002,97.6392,0.09884809662758624,91.780848,0.09291721082993358
6,2022-10-10 18:19:23,7.0,1,mc,0,0,10330.29742,0.9400000000000002,99.52680000000001,0.12798418005686313,93.55519199999999,0.12030512925345008
7,2022-10-10 18:30:43,8.0,0,mc,0,0,10364.923490000001,0.9400000000000002,42.290879999999994,0.07413898597485256,39.753427200000004,0.06969064681636108
8,2022-10-10 18:43:24,9.0,0,mc,0,0,10393.96195,0.9400000000000002,42.00828,0.06580247558491518,39.487783199999996,0.06185432704982174
9,2022-10-10 18:56:03,10.0,1,mc,0,0,10387.311310000001,0.9400000000000002,36.1914,0.054801636018871024,34.019915999999995,0.05151353785773832
10,2022-10-10 19:08:27,11.0,1,mc,0,0,10356.373810000001,0.9400000000000002,152.55924000000002,10.664500757236757,143.40568560000003,10.024630711802551
11,2022-10-10 19:20:08,12.0,1,mc,0,0,10258.25682,0.9400000000000002,63.01044,0.07830538625944874,59.22981359999999,0.07360706308388135
12,2022-10-10 19:31:49,13.0,1,mc,0,0,10290.66358,0.9400000000000002,84.59796,0.10663698523819018,79.52208239999999,0.1002387661238992
13,2022-10-10 19:44:20,14.0,0,mc,0,0,10424.39464,0.9400000000000002,131.65188,0.21683730815267216,123.75276720000001,0.2038270696635125
14,2022-10-10 19:56:28,15.0,1,mc,0,0,10370.436310000001,0.9400000000000002,225.72467999999995,0.6182177734813824,212.18119919999998,0.5811247070724939
15,2022-10-10 20:08:55,16.0,1,mc,0,0,10401.61686,0.9400000000000002,224.3652,0.44319024015146935,210.90328799999997,0.4165988257423801
16,2022-10-10 20:20:19,17.0,1,mc,0,0,10250.436310000001,0.9400000000000002,245.02380000000002,0.527957655041802,230.32237199999997,0.4962801957392969
17,2022-10-10 20:31:52,18.0,0,mc,0,0,10295.436310000001,0.9400000000000002,77.02524,1.1914424169163975,72.40372559999997,1.1199558719014149
18,2022-10-10 20:43:22,19.0,0,mc,0,0,10339.63502,0.9400000000000002,27.711911999999998,2.5476085439654024,26.049197279999998,2.3947520313274784
19,2022-10-10 20:56:17,20.0,1,mc,0,0,10402.311310000001,0.9400000000000002,53.115120000000005,0.06899782305411371,49.9282128,0.06485795367086748
20,2022-10-10 21:07:28,21.0,0,mc,0,0,10425.29742,0.9400000000000002,181.03824,7.488119995059761,170.1759456,7.038832795356173
21,2022-10-10 21:19:04,22.0,0,mc,0,0,10440.60992,0.9400000000000002,189.17999999999998,0.39342536075189477,177.82920000000001,0.36981983910678295
22,2022-10-10 21:30:28,23.0,0,mc,0,0,10474.325200000001,0.94,27.815084999999996,3.0491960128663425,26.1461799,2.8662442520943614
23,2022-10-11 17:16:17,24.0,1,mc,0,0,10374.88075,0.9400000000000002,28.336956,0.07250272183237991,26.636738639999997,0.06815255852243701
24,2022-10-11 17:28:17,25.0,1,mc,0,0,10307.55169,0.9400000000000002,0.0,0.0,0.0,0.0
25,2022-10-11 17:40:09,26.0,0,mc,0,0,10237.96607,0.9400000000000002,51.1878,0.08078707646732863,48.116532,0.07593985187928885
26,2022-10-11 17:52:17,27.0,0,mc,0,0,10247.65853,0.9400000000000002,156.44256000000001,0.32621440971154186,147.05600639999997,0.3066415451288478
27,2022-10-11 18:04:34,28.0,0,mc,0,0,10368.561310000001,0.9400000000000002,112.93212,0.14205176909650988,106.15619280000001,0.13352866295071977
28,2022-10-11 18:17:11,29.0,0,mc,0,0,10324.82733,0.9400000000000002,127.50623999999999,0.16881685158570547,119.85586559999999,0.15868784049056364
