,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,kgh_ch4_30_su_raw,kgh_ch4_60_su_raw,kgh_ch4_90_su_raw,methane_fraction_su_normalized,kgh_ch4_30_su_normalized,kgh_ch4_60_su_normalized,kgh_ch4_90_su_normalized,methane_fraction_km,kgh_ch4_30_km,kgh_ch4_60_km,kgh_ch4_90_km
0,2022-10-31 17:03:58,1.0,0,224.207071,224.207071,224.207071,mc,0.0,0.0,6587.102972999999,0.96,215.23878816,215.23878816,215.23878816,0.93,208.51257603000002,208.51257603000002,208.51257603000002,0.949013,212.775425070923,212.775425070923,212.775425070923
1,2022-10-31 17:07:11,2.0,0,224.6186323,224.6186323,224.6186323,mc,0.0,0.0,6323.76964,0.96,215.633887008,215.633887008,215.633887008,0.93,208.89532803900002,208.89532803900002,208.89532803900002,0.949013,213.1660020949199,213.1660020949199,213.1660020949199
2,2022-10-31 17:10:55,3.0,1,315.7815484,315.7815484,315.7815484,mc,0.0,0.0,6457.866862000001,0.96,303.15028646400003,303.15028646400003,303.15028646400003,0.93,293.676840012,293.676840012,293.676840012,0.949013,299.68079459172924,299.68079459172924,299.68079459172924
3,2022-10-31 17:14:15,4.0,0,115.6769419,115.6769419,115.6769419,mc,0.0,0.0,6475.540472999999,0.96,111.049864224,111.049864224,111.049864224,0.93,107.579555967,107.579555967,107.579555967,0.949013,109.7789216633447,109.7789216633447,109.7789216633447
4,2022-10-31 17:17:11,5.0,0,114.3163742,114.3163742,114.3163742,mc,0.0,0.0,6556.686307,0.96,109.74371923199999,109.74371923199999,109.74371923199999,0.93,106.31422800600001,106.31422800600001,106.31422800600001,0.949013,108.4877252286646,108.4877252286646,108.4877252286646
5,2022-10-31 17:20:09,6.0,0,62.59610323,62.59610323,62.59610323,mc,0.0,0.0,6488.665472999999,0.96,60.09225910079999,60.09225910079999,60.09225910079999,0.93,58.2143760039,58.2143760039,58.2143760039,0.949013,59.40451571461199,59.40451571461199,59.40451571461199
6,2022-10-31 17:23:18,7.0,1,115.3769806,115.3769806,115.3769806,mc,0.0,0.0,6541.89464,0.96,110.761901376,110.761901376,110.761901376,0.93,107.300591958,107.300591958,107.300591958,0.949013,109.4942544901478,109.4942544901478,109.4942544901478
7,2022-10-31 17:26:03,8.0,0,692.8861935,692.8861935,692.8861935,pc,0.0,0.0,6553.352972999999,0.96,665.1707457599999,665.1707457599999,665.1707457599999,0.93,644.384159955,644.384159955,644.384159955,0.949013,657.5580051520155,657.5580051520155,657.5580051520155
8,2022-10-31 17:29:18,9.0,0,712.584,712.584,712.584,pc,0.0,0.0,6526.061307,0.96,684.0806399999999,684.0806399999999,684.0806399999999,0.93,662.70312,662.70312,662.70312,0.949013,676.2514795919999,676.2514795919999,676.2514795919999
9,2022-10-31 17:32:10,10.0,0,21.46755484,21.46755484,21.46755484,bc,0.0,0.0,6566.998807,0.96,20.6088526464,20.6088526464,20.6088526464,0.93,19.9648260012,19.9648260012,19.9648260012,0.949013,20.37298862137292,20.37298862137292,20.37298862137292
10,2022-10-31 17:35:30,11.0,0,287.5488387,287.5488387,287.5488387,mc,0.0,0.0,6564.186307,0.96,276.04688515199996,276.04688515199996,276.04688515199996,0.93,267.420419991,267.420419991,267.420419991,0.949013,272.8875860612031,272.8875860612031,272.8875860612031
11,2022-10-31 17:38:24,12.0,1,330.509729,330.509729,330.509729,mc,0.0,1.0,6521.165472999999,0.96,317.28933983999997,317.28933983999997,317.28933983999997,0.93,307.37404797,307.37404797,307.37404797,0.949013,313.658029447477,313.658029447477,313.658029447477
12,2022-10-31 17:41:48,13.0,1,331.3760516,331.3760516,331.3760516,mc,0.0,0.0,6585.748807,0.96,318.121009536,318.121009536,318.121009536,0.93,308.179727988,308.179727988,308.179727988,0.949013,314.48018085707076,314.48018085707076,314.48018085707076
13,2022-10-31 17:44:49,14.0,1,273.0924,273.0924,273.0924,mc,0.0,0.0,6580.94767,0.96,262.168704,262.168704,262.168704,0.93,253.975932,253.975932,253.975932,0.949013,259.1682378012,259.1682378012,259.1682378012
14,2022-10-31 17:48:18,15.0,1,272.2171355,272.2171355,272.2171355,mc,0.0,0.0,6545.436307,0.96,261.32845008,261.32845008,261.32845008,0.93,253.161936015,253.161936015,253.161936015,0.949013,258.3376004122615,258.3376004122615,258.3376004122615
15,2022-10-31 17:51:26,16.0,0,998.8966452,998.8966452,998.8966452,pc,0.0,1.0,6564.39464,0.96,958.940779392,958.940779392,958.940779392,0.93,928.973880036,928.973880036,928.973880036,0.949013,947.9659019511876,947.9659019511876,947.9659019511876
16,2022-10-31 17:54:42,17.0,1,448.4949677,448.4949677,448.4949677,pc,0.0,1.0,6584.186307,0.96,430.555168992,430.555168992,430.555168992,0.93,417.100319961,417.100319961,417.100319961,0.949013,425.6275547818801,425.6275547818801,425.6275547818801
17,2022-10-31 17:57:55,18.0,0,174.2590452,174.2590452,174.2590452,mc,1.0,1.0,6538.561307,0.96,167.288683392,167.288683392,167.288683392,0.93,162.06091203600002,162.06091203600002,162.06091203600002,0.949013,165.3740992623876,165.3740992623876,165.3740992623876
18,2022-10-31 18:01:26,19.0,0,1175.317548,1175.317548,1175.317548,pc,1.0,1.0,6562.415472999999,0.96,1128.3048460799998,1128.3048460799998,1128.3048460799998,0.93,1093.0453196400001,1093.0453196400001,1093.0453196400001,0.949013,1115.391632180124,1115.391632180124,1115.391632180124
19,2022-10-31 18:04:21,20.0,0,1192.774065,1192.774065,1192.774065,pc,0.0,0.0,6532.51964,0.96,1145.0631024,1145.0631024,1145.0631024,0.93,1109.27988045,1109.27988045,1109.27988045,0.949013,1131.9580937478452,1131.9580937478452,1131.9580937478452
20,2022-10-31 18:07:42,21.0,0,18.85925032,18.85925032,18.85925032,bc,1.0,1.0,6566.061307,0.96,18.104880307200002,18.104880307200002,18.104880307200002,0.93,17.539102797600002,17.539102797600002,17.539102797600002,0.949013,17.89767372393416,17.89767372393416,17.89767372393416
21,2022-10-31 18:11:01,22.0,0,649.232129,649.232129,649.232129,pc,1.0,1.0,6568.526583999999,0.96,623.26284384,623.26284384,623.26284384,0.93,603.78587997,603.78587997,603.78587997,0.949013,616.129730438677,616.129730438677,616.129730438677
22,2022-10-31 18:14:42,23.0,0,657.7931613,657.7931613,657.7931613,pc,0.0,1.0,6569.811307,0.96,631.4814348479999,631.4814348479999,631.4814348479999,0.93,611.747640009,611.747640009,611.747640009,0.949013,624.2542613847969,624.2542613847969,624.2542613847969
23,2022-10-31 18:17:44,24.0,0,23.66496,23.66496,23.66496,bc,1.0,1.0,6559.498807,0.96,22.7183616,22.7183616,22.7183616,0.93,22.008412800000002,22.008412800000002,22.008412800000002,0.949013,22.45835468448,22.45835468448,22.45835468448
24,2022-10-31 18:21:20,25.0,0,23.26738065,23.26738065,23.26738065,bc,0.0,0.0,6568.352972999999,0.96,22.336685424,22.336685424,22.336685424,0.93,21.6386640045,21.6386640045,21.6386640045,0.949013,22.08104671279845,22.08104671279845,22.08104671279845
25,2022-10-31 18:24:22,26.0,0,482.7495484,482.7495484,482.7495484,pc,0.0,1.0,6556.477972999999,0.96,463.43956646399994,463.43956646399994,463.43956646399994,0.93,448.957080012,448.957080012,448.957080012,0.949013,458.1355971757292,458.1355971757292,458.1355971757292
