,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,kgh_gas_90_mean,kgh_gas_90_std,kgh_ch4_90_mean_km,kgh_ch4_90_std_km
0,2022-10-31 17:03:58,1.0,0,mc,0.0,0.0,6587.102972999999,0.949013,224.10207999999997,0.14263133841000378,212.67578724703995,0.13535899435849286
1,2022-10-31 17:07:11,2.0,0,mc,0.0,0.0,6323.76964,0.949013,224.59771999999995,0.1749095067472368,213.14615605036,0.16599139572671695
2,2022-10-31 17:10:55,3.0,1,mc,0.0,0.0,6457.866862000001,0.949013,320.22884,3.747383239961727,303.90133213492004,3.5563154107058024
3,2022-10-31 17:14:15,4.0,0,mc,0.0,0.0,6475.540472999999,0.949013,115.25831999999997,2.174998703199923,109.38164403816,2.064102044319869
4,2022-10-31 17:17:11,5.0,0,mc,0.0,0.0,6556.686307,0.949013,114.49535999999999,0.1727146980466576,108.65758507968,0.1639084937373534
5,2022-10-31 17:20:09,6.0,0,mc,0.0,0.0,6488.665472999999,0.949013,62.73136,0.11791055532130919,59.53287614767999,0.11189864983714178
6,2022-10-31 17:23:18,7.0,1,mc,0.0,0.0,6541.89464,0.949013,115.46996000000001,0.08727950298007811,109.58249314948002,0.08282938296163365
7,2022-10-31 17:26:03,8.0,0,pc,0.0,0.0,6553.352972999999,0.949013,687.0308,5.945982020177134,652.0011606004,5.642814234914364
8,2022-10-31 17:29:18,9.0,0,pc,0.0,0.0,6526.061307,0.949013,710.2836,2.8734197016834275,674.0683700868,2.7269126513536945
9,2022-10-31 17:32:10,10.0,0,bc,0.0,0.0,6566.998807,0.949013,22.596964,0.9946828732690796,21.444812596532,0.9439669776097089
10,2022-10-31 17:35:30,11.0,0,mc,0.0,0.0,6564.186307,0.949013,287.62679999999995,0.23482774944651053,272.9615723484,0.22285458698548222
11,2022-10-31 17:38:24,12.0,1,mc,0.0,1.0,6521.165472999999,0.949013,329.7532,0.8783584628233977,312.94007359159997,0.8335735998794247
12,2022-10-31 17:41:48,13.0,1,mc,0.0,0.0,6585.748807,0.949013,331.34568,0.25733723914677836,314.45135781384,0.24421638533440373
13,2022-10-31 17:44:49,14.0,1,mc,0.0,0.0,6580.94767,0.949013,273.76432,0.6975572072226882,259.80589861616005,0.661990857898022
14,2022-10-31 17:48:18,15.0,1,mc,0.0,0.0,6545.436307,0.949013,272.171,0.2301833426552749,258.293817223,0.21844698456330475
