,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_30_mean,gas_kgh_30_std,meter_sigma,methane_fraction_su_normalized,methane_fraction_su_normalized_sigma,ch4_kgh_30_mean_su_normalized,ch4_kgh_sigma
29,2022-10-31 18:37:51,30.0,0,pc,1.0,1.0,6568.561307,593.9916,27.60430979544244,0.7576423469387756,0.9299999999999999,0.022499999999999996,552.412188,28.951107837474353
30,2022-10-31 18:41:25,31.0,0,mc,1.0,1.0,6553.352972999999,169.32995999999997,0.12240857982099641,0.21598209183673467,0.9299999999999999,0.022499999999999996,157.47686280000002,3.816913317349669
31,2022-10-31 18:44:50,32.0,0,pc,1.0,1.0,6586.89464,587.4635999999999,2.0283467975261047,0.7493158163265308,0.9299999999999999,0.022499999999999996,546.341148,13.370029263737974
32,2022-10-31 18:48:28,33.0,1,pc,0.0,0.0,6547.966069,588.5004,1.3238957558712154,0.7506382653061227,0.9299999999999999,0.022499999999999996,547.3053720000001,13.316688205671177
33,2022-10-31 18:51:56,34.0,0,bc,1.0,1.0,6568.109918,2.3699471999999995,0.011373790968410834,0.005813693552395163,0.9299999999999999,0.022499999999999996,2.204050896,0.05463101566838027
34,2022-10-31 18:55:34,35.0,0,bc,1.0,1.0,6565.64464,7.359372000000001,0.00813716988842598,0.009386954081632608,0.9299999999999999,0.022499999999999996,6.8442159600000005,0.16598843035597058
35,2022-10-31 18:58:59,36.0,0,None,1.0,1.0,6542.102972999999,0.0,0.0,0.0,0.9299999999999999,0.0,0.0,0.0
36,2022-10-31 19:02:29,37.0,0,mc,1.0,1.0,6560.64464,350.52912000000003,0.37705406764950244,0.4471034693877552,0.9299999999999999,0.022499999999999996,325.99208160000006,7.9056391952720695
37,2022-10-31 19:05:51,38.0,0,bc,1.0,1.0,6560.64464,0.7080239999999999,0.0105755152479026,0.005779201541210844,0.9299999999999999,0.022499999999999996,0.65846232,0.01947821296349175
38,2022-10-31 19:09:23,39.0,0,pc,0.0,1.0,6579.08214,1164.5459999999998,13.469020177864623,1.4853903061224492,0.9299999999999999,0.022499999999999996,1083.02778,29.075306465148252
39,2022-10-31 19:12:50,40.0,0,pc,0.0,1.0,6597.631819,1204.0787999999998,14.530712041788544,1.5358147959183672,0.9299999999999999,0.022499999999999996,1119.793284,30.308754356521092
40,2022-10-31 19:16:43,41.0,1,mc,0.0,0.0,6551.686307,94.74804000000003,0.1290413822958654,0.12085209183673468,0.9299999999999999,0.022499999999999996,88.1156772,2.1381620809892024
41,2022-10-31 19:19:57,42.0,0,None,1.0,1.0,6572.51964,0.0,0.0,0.0,0.9299999999999999,0.0,0.0,0.0
42,2022-10-31 19:23:23,43.0,0,None,0.0,0.0,6575.131819,0.0,0.0,0.0,0.9299999999999999,0.0,0.0,0.0
43,2022-10-31 19:26:49,44.0,1,bc,0.0,1.0,6573.76964,3.0372276,0.021124701001107825,0.005820800574633684,0.9299999999999999,0.022499999999999996,2.8246216680000003,0.07131128210951398
44,2022-10-31 19:30:30,45.0,0,mc,0.0,0.0,6586.790472999999,330.0944400000001,0.16431137304016374,0.42103882653061225,0.9299999999999999,0.022499999999999996,306.9878292,7.439009279767192
45,2022-10-31 19:33:50,46.0,0,mc,0.0,0.0,6558.352972999999,334.47024000000005,0.2375484583594821,0.4266202040816326,0.9299999999999999,0.022499999999999996,311.0573232,7.539269326850974
