,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_90_mean,gas_kgh_90_std,meter_sigma,methane_fraction_ms,methane_fraction_ms_sigma,ch4_kgh_90_mean_ms,ch4_kgh_sigma
29,2022-10-31 18:37:51,30.0,0,pc,1.0,1.0,6568.561307,637.2764000000001,34.62561741040418,0.812852551020408,0.9542874999999998,0.0036450716270969006,608.144902565,33.13342539527771
30,2022-10-31 18:41:25,31.0,0,mc,1.0,1.0,6553.352972999999,169.58280000000002,0.21897413114877165,0.21630459183673467,0.9542874999999998,0.0036450716270969006,161.830746255,0.6843776782457391
31,2022-10-31 18:44:50,32.0,0,pc,1.0,1.0,6586.89464,585.3335999999999,2.6665667561807833,0.7465989795918367,0.9542874999999998,0.0036450716270969006,558.57653781,3.396342404904229
32,2022-10-31 18:48:28,33.0,1,pc,0.0,0.0,6547.966069,589.6528,1.6577956068699535,0.7521081632653063,0.9542874999999998,0.0036450716270969006,562.69829638,2.7636036226664267
33,2022-10-31 18:51:56,34.0,0,bc,1.0,1.0,6568.109918,2.3746164,0.011786660966409379,0.005813749877400833,0.9542874999999998,0.0036450716270969006,2.2660667478150005,0.015238596718471718
34,2022-10-31 18:55:34,35.0,0,bc,1.0,1.0,6565.64464,7.418871999999999,0.06591028541923426,0.009462846938775468,0.9542874999999998,0.0036450716270969006,7.0797368136999985,0.06905730258075976
35,2022-10-31 18:58:59,36.0,0,None,1.0,1.0,6542.102972999999,0.0,0.0,0.0,0.9542874999999998,0.0,0.0,0.0
36,2022-10-31 19:02:29,37.0,0,mc,1.0,1.0,6560.64464,349.34224,1.0516152512132324,0.4455895918367348,0.9542874999999998,0.0036450716270969006,333.372932854,1.6761270528947163
37,2022-10-31 19:05:51,38.0,0,bc,1.0,1.0,6560.64464,0.7097323999999999,0.010956035731017215,0.005779269853638398,0.9542874999999998,0.0036450716270969006,0.6772887576649999,0.012100422974716151
38,2022-10-31 19:09:23,39.0,0,pc,0.0,1.0,6579.08214,1167.4032,13.457613314286228,1.4890346938775512,0.9542874999999998,0.0036450716270969006,1114.03828122,13.603474550616042
39,2022-10-31 19:12:50,40.0,0,pc,0.0,1.0,6597.631819,1191.178,19.46395529858124,1.519359693877551,0.9542874999999998,0.0036450716270969006,1136.726275675,19.12997189869394
40,2022-10-31 19:16:43,41.0,1,mc,0.0,0.0,6551.686307,95.09559999999999,0.2956722449004877,0.12129540816326527,0.9542874999999998,0.0036450716270969006,90.748542385,0.4616957463564506
