,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,methane_fraction_km_sigma,kgh_gas_60_mean,kgh_gas_60_std,kgh_ch4_60_mean_km,kgh_ch4_60_std_km,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
9,2022-10-31 17:32:10,10.0,0,bc,0.0,0.0,6566.998807,0.9542874999999997,0.003645071627096901,22.027854000000005,0.6744996870982176,21.020905724024995,0.6436666201517404,0.25,0.12755102040816327,0.028096752551020416,0.6492092146725328
10,2022-10-31 17:35:30,11.0,0,mc,0.0,0.0,6564.186307,0.9542874999999997,0.003645071627096901,287.60351999999995,0.2518495628447364,274.456444092,0.24033688970319722,0.25,0.12755102040816327,0.3668412244897959,1.1310700231676134
11,2022-10-31 17:38:24,12.0,1,mc,0.0,1.0,6521.165472999999,0.9542874999999997,0.003645071627096901,330.29688000000004,0.43160497193221514,315.198183873,0.41187522965276324,0.25,0.12755102040816327,0.42129704081632663,1.3344608253263843
12,2022-10-31 17:41:48,13.0,1,mc,0.0,0.0,6585.748807,0.9542874999999997,0.003645071627096901,331.3183200000001,0.2849162189076147,316.17293129699993,0.27189198625080624,0.25,0.12755102040816327,0.42259989795918385,1.3019408774231447
13,2022-10-31 17:44:49,14.0,1,mc,0.0,0.0,6580.94767,0.9542874999999997,0.003645071627096901,273.3414,0.39807312504281755,260.8462812525,0.37987620731429333,0.25,0.12755102040816327,0.34864974489795925,1.1170114427515112
14,2022-10-31 17:48:18,15.0,1,mc,0.0,0.0,6545.436307,0.9542874999999997,0.003645071627096901,272.19017999999994,0.27294013424441066,259.74768639675,0.26046335835776463,0.25,0.12755102040816327,0.3471813520408163,1.077949446001284
15,2022-10-31 17:51:26,16.0,0,pc,0.0,1.0,6564.39464,0.9542874999999997,0.003645071627096901,992.1587999999999,10.931365744684776,946.8047408549999,10.431665688080889,0.25,0.12755102040816327,1.2655086734693877,11.106623640178665
16,2022-10-31 17:54:42,17.0,1,pc,0.0,1.0,6584.186307,0.9542874999999997,0.003645071627096901,448.90560000000005,0.8423003852445091,428.38500275999996,0.8037967288840183,0.25,0.12755102040816327,0.5725836734693879,1.903183505917393
17,2022-10-31 17:57:55,18.0,0,mc,1.0,1.0,6538.561307,0.9542874999999997,0.003645071627096901,174.53633999999997,0.347724924012733,166.55784755774997,0.33182954842379814,0.25,0.12755102040816327,0.2226228826530612,0.7483257718208775
18,2022-10-31 18:01:26,19.0,0,pc,1.0,1.0,6562.415472999999,0.9542874999999997,0.003645071627096901,1166.9778000000001,15.206306834749268,1113.6323273175,14.511188533565777,0.25,0.12755102040816327,1.488492091836735,15.188363412409172
19,2022-10-31 18:04:21,20.0,0,pc,0.0,0.0,6532.51964,0.9542874999999997,0.003645071627096901,1190.0747999999999,14.246440503163216,1135.673505705,13.595200091662386,0.25,0.12755102040816327,1.5179525510204082,14.343822557422053
20,2022-10-31 18:07:42,21.0,0,bc,1.0,1.0,6566.061307,0.9542874999999997,0.003645071627096901,18.841434000000003,0.026000763300399212,17.980144948274997,0.02481220340802971,0.25,0.12755102040816327,0.02403244132653062,0.07653970664830889
21,2022-10-31 18:11:01,22.0,0,pc,1.0,1.0,6568.526583999999,0.9542874999999997,0.003645071627096901,648.6084,2.5355176464764018,618.958888515,2.4196127960618328,0.25,0.12755102040816327,0.8273066326530613,3.4738125256597283
