,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_30_mean,gas_kgh_30_std,meter_sigma,methane_fraction_su_raw,methane_fraction_su_raw_sigma,ch4_kgh_30_mean_su_raw,ch4_kgh_sigma
0,2022-10-24 16:46:28,1,0,None,0,0,1341.440878556028,0.0,0.0,0.0,0.8999999999999998,0.0,0.0,0.0
1,2022-10-24 16:49:20,2,0,None,0,0,1366.343000743972,0.0,0.0,0.0,0.8999999999999998,0.0,0.0,0.0
2,2022-10-24 16:52:30,3,1,bc,0,1,1308.693174096028,19.82988,0.03217397020295582,0.02529321428571424,0.8999999999999998,0.022499999999999996,17.846892,0.44769007051283183
3,2022-10-24 16:55:39,4,1,bc,0,0,1324.65883504,19.794587999999997,0.026472640189839133,0.0252481989795918,0.8999999999999998,0.022499999999999996,17.815129199999998,0.4465935156991234
4,2022-10-24 16:59:00,5,1,bc,0,0,1342.620887123972,19.813415999999997,0.028183723549301657,0.025272214285714252,0.8999999999999998,0.022499999999999996,17.832074400000003,0.4471018162798548
5,2022-10-24 17:02:02,6,0,mc,0,0,1351.0280396239718,119.84544000000001,0.12920145616773046,0.15286408163265305,0.8999999999999998,0.022499999999999996,107.86089600000001,2.702532518420909
6,2022-10-24 17:05:20,7,0,mc,0,0,1355.3910102360278,119.71032,0.10039900535295235,0.15269173469387756,0.8999999999999998,0.022499999999999996,107.73928800000002,2.6984988586015355
7,2022-10-24 17:08:20,8,0,mc,0,0,1339.943175096028,119.36771999999999,0.12283426007542055,0.15225474489795915,0.8999999999999998,0.022499999999999996,107.430948,2.6915383845439376
8,2022-10-24 17:11:37,9,1,bc,0,0,1358.929942763972,1.8117672,0.02786005221967035,0.005806006069799463,0.8999999999999998,0.022499999999999996,1.63059048,0.048143312266716164
9,2022-10-24 17:14:37,10,1,bc,0,0,1346.9559705960282,1.7509224,0.028285239227896018,0.005805029036626404,0.8999999999999998,0.022499999999999996,1.57583016,0.047194972832578015
10,2022-10-24 17:17:53,11,1,bc,0,0,1353.0430223,1.7033843999999998,0.02824853141327699,0.005804241943754311,0.8999999999999998,0.022499999999999996,1.5330459600000002,0.04628763750640676
11,2022-10-24 17:21:03,12,1,bc,0,0,1341.3774487639719,13.655111999999999,0.029021931112819532,0.017417234693877504,0.8999999999999998,0.022499999999999996,12.289600799999999,0.3087464854132245
12,2022-10-24 17:24:11,13,1,bc,0,0,1333.7484022600001,13.676975999999998,0.027263393873786887,0.017445122448979545,0.8999999999999998,0.022499999999999996,12.3092784,0.309107643724789
