,strict,lax,lax_not_strict
Carbon Mapper,56.39180714905435,58.27453479529404,89.810222869809
GHGSat,36.718858832521505,36.65345200571878,36.25331612410222
Kairos,41.85119115674852,44.48088697715699,62.231333764914154
Methane Air,45.65214564644598,42.411485040816366,16.486200195779542
