,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,10351.26648,False,10.92213624004875,0.071399846870293,11.062079939914526,10.782192540182976,0.0618936657639124,0.039719988816543,0.0016174275550494,True,13.8964605732141,3.5014759537503,24.29144519267789,pass_all,10.394984619463791,20.37416985414903,True
2,3.0,2022-10-10 17:28:37,False,True,True,True,1,True,10419.39464,False,8.638673389503753,0.0824638090212345,8.800302455185372,8.477044323822133,0.0770077481199681,0.0396475741413778,0.0016174275550494,True,14.0787155590067,9.75552397314667,18.40190714486673,pass_all,4.32319158586003,8.473455508285658,True
6,7.0,2022-10-10 18:18:54,False,True,True,True,1,True,10330.29742,False,93.0819379419,0.2246665886775423,93.52228445570798,92.641591428092,0.1095738877714755,0.1267965306122448,0.0016174275550494,True,154.490765450528,100.54652987437068,208.43500102668528,pass_all,53.9442355761573,105.7307017292683,True
8,9.0,2022-10-10 18:43:29,False,True,True,True,0,True,10393.96195,False,39.336592102875,0.1063214108329694,39.54498206810762,39.12820213764238,0.0689628934860338,0.0535844387755101,0.0016174275550494,True,62.8542872722769,26.2015017450212,99.5070727995326,pass_all,36.652785527255695,71.83945963342116,True
9,10.0,2022-10-10 18:56:08,False,True,True,True,1,True,10387.31131,False,30.76062848971875,4.853967306765028,40.27440441097821,21.246852568459296,5.183379352094734,0.0442810516069658,0.0016174275550494,True,46.2605178997971,29.7682212751256,62.75281452446861,pass_all,16.49229662467151,32.32490138435616,True
10,11.0,2022-10-10 19:08:35,False,True,True,True,1,True,10356.37381,False,144.1779333748875,9.57747777678959,162.94978981739507,125.40607693237988,10.223089442443676,0.1963996683673469,0.0016174275550494,True,162.114979674609,108.5718749420882,215.65808440712985,pass_all,53.543104732520845,104.94448527574086,True
11,12.0,2022-10-10 19:20:19,False,True,True,True,1,True,10258.25682,False,59.014270462725,0.1479944570524006,59.304339598547706,58.724201326902296,0.081647154869628,0.0803894387755101,0.0016174275550494,True,100.584720025342,58.26508302409889,142.9043570265851,pass_all,42.31963700124311,82.9464885224365,True
12,13.0,2022-10-10 19:31:50,False,True,True,True,1,True,10290.66358,False,79.22561677233752,0.1949770871827603,79.60777186321573,78.8434616814593,0.1017437239142163,0.1079214030612244,0.0016174275550494,True,99.5545147192296,33.5246975179262,165.584331920533,pass_all,66.0298172013034,129.41844171455466,True
13,14.0,2022-10-10 19:44:20,False,True,True,True,0,True,10424.39464,False,123.28594834421251,0.3311056737648346,123.9349154647916,122.63698122363344,0.2123913040449146,0.1679405357142857,0.0016174275550494,True,128.442203377513,81.9471950567316,174.93721169829442,pass_all,46.49500832078141,91.13021630873156,True
14,15.0,2022-10-10 19:56:37,False,True,True,True,1,True,10370.43631,False,211.31233895193748,0.6702460153424143,212.6260211420086,209.9986567618664,0.5268323896455699,0.2878503826530613,0.0016174275550494,True,217.807869434648,161.10968028803552,274.5060585812605,pass_all,56.69818914661249,111.12845072736049,True
15,16.0,2022-10-10 20:08:41,False,True,True,True,1,True,10401.61686,False,205.1446228912125,4.828394751179971,214.60827660352524,195.68096917889972,5.135064458552739,0.2794486989795918,0.0016174275550494,True,146.235790487351,52.474893929635314,239.99668704506672,pass_all,93.76089655771571,183.7713572531228,True
16,17.0,2022-10-10 20:20:08,False,True,True,True,1,True,10250.43631,False,229.217210473725,0.7694326152615362,230.7252983996376,227.7091225478124,0.6316176500576954,0.3122404591836734,0.0016174275550494,True,261.894054450007,190.59214175534456,333.1959671446694,pass_all,71.3019126946624,139.7517488815383,True
17,18.0,2022-10-10 20:31:35,False,True,True,True,0,True,10295.43631,False,72.36422788545,2.438536656151333,77.14375973150662,67.58469603939339,2.598985350073813,0.0985747959183673,0.0016174275550494,True,118.857582257902,101.46077281153268,136.25439170427128,pass_all,17.39680944636929,34.09774651488381,False
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,10339.63502,False,22.923732344625,2.247746112382093,27.329314724893905,18.5181499643561,2.399814688540679,0.0399484031937386,0.0016174275550494,True,35.6772353376174,30.92205702255784,40.43241365267696,pass_all,4.755178315059567,9.32014949751675,False
19,20.0,2022-10-10 20:55:31,False,True,True,True,1,True,10402.31131,False,43.83481908105001,2.6544225637326058,49.03748730596591,38.6321508561341,2.8330541112052465,0.0597119387755101,0.0016174275550494,True,49.1865030010551,40.39158300117902,57.98142300093118,pass_all,8.794919999876079,17.238043199757115,True
20,21.0,2022-10-10 21:07:18,False,True,True,True,0,True,10425.29742,False,163.88224175981256,3.679699128208294,171.0944520511008,156.67003146852431,3.9117876990848894,0.223240943877551,0.0016174275550494,True,224.988179784443,159.8101716153872,290.1661879534988,pass_all,65.17800816905583,127.74889601134942,True
21,22.0,2022-10-10 21:19:04,False,True,True,True,0,True,10440.60992,False,177.0606771012,0.5570281335301147,178.15245224291905,175.968901959481,0.4347725605300208,0.2411926530612244,0.0016174275550494,True,290.355307037442,250.9059822740051,329.8046318008789,pass_all,39.44932476343689,77.32067653633631,False
23,24.0,2022-10-11 17:16:20,False,True,True,True,1,True,10374.88075,False,26.54053920171,0.0896977280910938,26.716346748768544,26.364731654651457,0.0719703538965874,0.0399953005283407,0.0016174275550494,True,44.1129007406353,31.4133403875464,56.8124610937242,pass_all,12.699560353088906,24.891138292054254,True
25,26.0,2022-10-11 17:40:14,False,True,True,True,0,True,10237.96607,False,47.94556233993751,0.1260965984050598,48.19271167281143,47.69841300706359,0.0777593549879089,0.0653116071428571,0.0016174275550494,True,74.4294557289771,58.76951245039511,90.08939900755912,pass_all,15.65994327858202,30.693488826020758,True
