datetime,windspeed,winddirection,day,month,u_east,u_north
2022-11-28 16:24:22,3.330662,120.5193,28,11,-1.69140533,2.869225918
2022-11-28 16:24:23,3.49848,114.6473,28,11,-1.458975529,3.179740983
2022-11-28 16:24:24,4.172112,122.9079,28,11,-2.266667615,3.502675615
2022-11-28 16:24:25,3.77263,122.9651,28,11,-2.05279393,3.16524473
2022-11-28 16:24:26,3.873688,121.948,28,11,-2.049759611,3.28693539
2022-11-28 16:24:27,3.81592,127.1078,28,11,-2.302207734,3.043203081
2022-11-28 16:24:28,3.431146,126.3373,28,11,-2.033083424,2.763934635
2022-11-28 16:24:29,3.708033,129.1728,28,11,-2.342221102,2.874631983
2022-11-28 16:24:30,3.702774,127.1491,28,11,-2.23607286,2.951357901
2022-11-28 16:24:31,3.781506,124.5656,28,11,-2.145435301,3.113983783
2022-11-28 16:24:32,3.835663,123.8188,28,11,-2.134808243,3.186676077
2022-11-28 16:24:33,4.030578,118.1064,28,11,-1.898847265,3.555269058
2022-11-28 16:24:34,3.38159,120.3879,28,11,-1.710582722,2.917028913
2022-11-28 16:24:35,3.513432,126.8544,28,11,-2.107298859,2.811315695
2022-11-28 16:24:36,3.518188,122.8641,28,11,-1.909138597,2.955137327
2022-11-28 16:24:37,3.240565,114.8704,28,11,-1.362875227,2.940039564
2022-11-28 16:24:38,3.06456,116.9906,28,11,-1.390833132,2.730771172
2022-11-28 16:24:39,3.113597,119.0675,28,11,-1.512708941,2.721433067
2022-11-28 16:24:40,3.033018,124.2366,28,11,-1.706411093,2.507460742
2022-11-28 16:24:41,3.47911,124.7573,28,11,-1.983445632,2.858347393
2022-11-28 16:24:42,3.555735,112.4661,28,11,-1.35877697,3.285875308
2022-11-28 16:24:43,3.782368,123.0615,28,11,-2.063428996,3.169947707
2022-11-28 16:24:44,3.43484,124.2396,28,11,-1.93262949,2.83955438
2022-11-28 16:24:45,3.086162,123.4039,28,11,-1.699048113,2.576360107
2022-11-28 16:24:46,3.339994,131.0378,28,11,-2.192895753,2.519279289
2022-11-28 16:24:47,3.43339,127.2803,28,11,-2.079655333,2.731885904
2022-11-28 16:24:48,3.527969,123.4182,28,11,-1.943014468,2.944700331
2022-11-28 16:24:49,3.209481,113.9778,28,11,-1.304277386,2.932512368
2022-11-28 16:24:50,3.481523,122.2298,28,11,-1.85675302,2.945075656
2022-11-28 16:24:51,2.87241,120.0218,28,11,-1.437151375,2.4870334
2022-11-28 16:24:52,3.042545,126.0379,28,11,-1.789990902,2.460287107
2022-11-28 16:24:53,2.705794,120.8759,28,11,-1.388560132,2.322331141
2022-11-28 16:24:54,2.945429,124.2819,28,11,-1.659057221,2.433738099
2022-11-28 16:24:55,2.933077,131.6432,28,11,-1.948999897,2.191880492
2022-11-28 16:24:56,2.586226,133.2363,28,11,-1.771587594,1.884155598
2022-11-28 16:24:57,2.449889,127.6447,28,11,-1.496301782,1.939854914
2022-11-28 16:24:58,2.799969,132.7866,28,11,-1.901934061,2.054865744
2022-11-28 16:24:59,2.389867,140.852,28,11,-1.853384353,1.508784517
2022-11-28 16:25:00,2.709692,133.794,28,11,-1.875290005,1.955944307
2022-11-28 16:25:01,2.701905,122.3355,28,11,-1.445184042,2.282922187
2022-11-28 16:25:02,2.107744,114.7311,28,11,-0.881796092,1.914424306
2022-11-28 16:25:03,2.432395,117.7337,28,11,-1.131945984,2.152961617
2022-11-28 16:25:04,1.912552,123.7052,28,11,-1.061313224,1.591059205
2022-11-28 16:25:05,2.508763,121.1729,28,11,-1.298591869,2.146520661
2022-11-28 16:25:06,2.105528,126.4459,28,11,-1.250817336,1.693724934
2022-11-28 16:25:07,2.120352,124.1205,28,11,-1.189380142,1.755353948
2022-11-28 16:25:08,2.817277,123.6357,28,11,-1.560519088,2.345597977
2022-11-28 16:25:09,2.714108,127.2177,28,11,-1.641615068,2.161361193
2022-11-28 16:25:10,2.454931,131.1209,28,11,-1.614485574,1.849357333
2022-11-28 16:25:11,2.584868,122.9332,28,11,-1.405291601,2.169492589
2022-11-28 16:25:12,2.493411,122.299,28,11,-1.332323241,2.107608407
2022-11-28 16:25:13,2.760153,137.7558,28,11,-2.043303139,1.855628428
2022-11-28 16:25:14,3.126106,134.4457,28,11,-2.189002559,2.231772058
2022-11-28 16:25:15,2.505582,117.5326,28,11,-1.158213366,2.22181974
2022-11-28 16:25:16,2.228581,127.0102,28,11,-1.341510355,1.779585131
2022-11-28 16:25:17,2.304817,123.707,28,11,-1.279049126,1.917345753
2022-11-28 16:25:18,2.563736,127.0578,28,11,-1.544959564,2.045933094
2022-11-28 16:25:19,2.82826,134.2871,28,11,-1.974844229,2.024609814
2022-11-28 16:25:20,3.418244,124.6018,28,11,-1.941116868,2.813619972
2022-11-28 16:25:21,3.05699,122.7749,28,11,-1.654870737,2.57032891
2022-11-28 16:25:22,2.57751,126.2726,28,11,-1.524926313,2.078017695
2022-11-28 16:25:23,2.196736,130.8814,28,11,-1.437753619,1.660877354
