datetime,windspeed,winddirection,day,month,u_east,u_north
2022-11-07 17:57:48,1.134645,67.37421,7,11,0.43651023,1.047319481
2022-11-07 17:57:49,0.7681981,76.3822,7,11,0.180867679,0.74660244
2022-11-07 17:57:50,1.353837,75.68091,7,11,0.334833484,1.311777863
2022-11-07 17:57:51,1.357848,64.83963,7,11,0.577293618,1.229017196
2022-11-07 17:57:52,1.346455,71.68939,7,11,0.423013431,1.27828037
2022-11-07 17:57:53,1.248912,77.46661,7,11,0.271024556,1.219150062
2022-11-07 17:57:54,1.363731,75.14444,7,11,0.349637678,1.318148601
2022-11-07 17:57:55,1.331137,81.6528,7,11,0.193242914,1.317035645
2022-11-07 17:57:56,1.59583,82.40277,7,11,0.210982241,1.581821698
2022-11-07 17:57:57,1.611422,74.05429,7,11,0.442700163,1.549418416
2022-11-07 17:57:58,1.731197,86.83084,7,11,0.095707628,1.728549422
2022-11-07 17:57:59,1.286769,84.76593,7,11,0.117385181,1.281403597
2022-11-07 17:58:00,1.346588,90.2951,7,11,-0.006935526,1.346570139
2022-11-07 17:58:01,1.069315,91.3746,7,11,-0.025651792,1.069007275
2022-11-07 17:58:02,1.072825,84.61444,7,11,0.100692569,1.068089176
2022-11-07 17:58:03,1.131033,84.61029,7,11,0.106237381,1.126032533
2022-11-07 17:58:04,1.057391,73.25952,7,11,0.304567899,1.012577958
2022-11-07 17:58:05,1.052484,79.13068,7,11,0.198466497,1.033602254
2022-11-07 17:58:06,0.9959276,74.81116,7,11,0.260934235,0.961137404
2022-11-07 17:58:07,1.224825,91.75653,7,11,-0.037543862,1.224249459
2022-11-07 17:58:08,1.177129,76.12726,7,11,0.282235713,1.142792932
2022-11-07 17:58:09,1.223422,75.59564,7,11,0.304342851,1.184962792
2022-11-07 17:58:10,1.121846,80.92267,7,11,0.176990691,1.107796345
2022-11-07 17:58:11,1.109188,80.23114,7,11,0.188200264,1.093105064
2022-11-07 17:58:12,1.113394,67.6358,7,11,0.4236382,1.029648908
2022-11-07 17:58:13,1.014016,83.99988,7,11,0.105995646,1.008460892
2022-11-07 17:58:14,1.276157,85.69394,7,11,0.095819222,1.272554661
2022-11-07 17:58:15,1.238865,83.9696,7,11,0.130150353,1.232009486
2022-11-07 17:58:16,1.152646,81.48761,7,11,0.17061844,1.13994831
2022-11-07 17:58:17,1.235092,85.85446,7,11,0.089285061,1.231860555
2022-11-07 17:58:18,1.109387,88.60757,7,11,0.026958211,1.109059408
2022-11-07 17:58:19,1.304155,86.513,7,11,0.079321405,1.301740519
2022-11-07 17:58:20,1.343308,81.98773,7,11,0.187237208,1.330194952
2022-11-07 17:58:21,1.247132,69.07846,7,11,0.445337346,1.164908955
2022-11-07 17:58:22,1.61414,89.81641,7,11,0.005172099,1.614131714
2022-11-07 17:58:23,1.108379,72.88562,7,11,0.326173993,1.059299077
2022-11-07 17:58:24,1.068768,102.8303,7,11,-0.237335068,1.04208306
2022-11-07 17:58:25,1.247614,81.12906,7,11,0.192393657,1.232690299
2022-11-07 17:58:26,1.546729,91.3205,7,11,-0.03564442,1.546318232
2022-11-07 17:58:27,1.530455,90.83078,7,11,-0.022190585,1.530294117
2022-11-07 17:58:28,1.411688,88.82605,7,11,0.028922465,1.411391689
2022-11-07 17:58:29,1.173983,91.60999,7,11,-0.032984143,1.173519548
2022-11-07 17:58:30,1.39742,92.25415,7,11,-0.05496359,1.396338662
2022-11-07 17:58:31,1.52409,106.326,7,11,-0.428425091,1.462635385
2022-11-07 17:58:32,1.223263,99.24359,7,11,-0.196495358,1.207378127
2022-11-07 17:58:33,1.335654,90.99738,7,11,-0.023249309,1.335451638
2022-11-07 17:58:34,1.382691,78.64767,7,11,0.27217123,1.355639046
2022-11-07 17:58:35,1.450402,89.77606,7,11,0.005668868,1.450390922
2022-11-07 17:58:36,1.438324,94.19156,7,11,-0.105128951,1.43447685
2022-11-07 17:58:37,1.491656,88.90933,7,11,0.028393124,1.491385749
2022-11-07 17:58:38,1.479315,72.63947,7,11,0.441402984,1.411926441
2022-11-07 17:58:39,1.382938,79.30035,7,11,0.256757117,1.358894144
2022-11-07 17:58:40,1.326892,74.24979,7,11,0.360176842,1.277072833
2022-11-07 17:58:41,1.215326,73.12634,7,11,0.352763316,1.163002721
2022-11-07 17:58:42,1.411492,67.51364,7,11,0.539844142,1.304177123
2022-11-07 17:58:43,1.237792,48.37708,7,11,0.822172764,0.925289675
2022-11-07 17:58:44,1.45732,57.18109,7,11,0.789846459,1.224713907
2022-11-07 17:58:45,1.246608,54.83505,7,11,0.71796185,1.019098763
2022-11-07 17:58:46,1.202446,52.96933,7,11,0.724164014,0.959928573
2022-11-07 17:58:47,1.378941,45.6972,7,11,0.9631217,0.986850988
2022-11-07 17:58:48,1.397188,52.21939,7,11,0.855972718,1.104284842
2022-11-07 17:58:49,1.391283,50.37881,7,11,0.887233564,1.071673919
2022-11-07 17:58:50,1.76316,56.72101,7,11,0.967474624,1.474016973
2022-11-07 17:58:51,1.767849,53.83459,7,11,1.043240207,1.427214055
2022-11-07 17:58:52,1.76082,48.55493,7,11,1.165489774,1.319894185
2022-11-07 17:58:53,1.762205,51.41257,7,11,1.099101577,1.377440447
2022-11-07 17:58:54,1.68659,53.70575,7,11,0.998347091,1.359370779
2022-11-07 17:58:55,1.734006,54.05527,7,11,1.017869439,1.403822856
2022-11-07 17:58:56,1.565138,57.13818,7,11,0.849267097,1.314687171
2022-11-07 17:58:57,1.652186,57.5751,7,11,0.885891689,1.394601913
2022-11-07 17:58:58,1.732252,55.30859,7,11,0.985922066,1.424308489
2022-11-07 17:58:59,1.728787,56.08084,7,11,0.964702282,1.434591927
2022-11-07 17:59:00,1.67396,53.75232,7,11,0.989774036,1.349996088
2022-11-07 17:59:01,1.745803,59.08377,7,11,0.89696616,1.497758266
2022-11-07 17:59:02,1.720019,57.13861,7,11,0.933296982,1.44479137
2022-11-07 17:59:03,1.626484,53.94308,7,11,0.957330059,1.314902795
2022-11-07 17:59:04,1.675869,55.50845,7,11,0.949018954,1.381267508
2022-11-07 17:59:05,1.686956,56.49927,7,11,0.931111332,1.406716828
2022-11-07 17:59:06,1.527887,57.84244,7,11,0.813216847,1.293490257
2022-11-07 17:59:07,1.519071,56.22342,7,11,0.844536484,1.262669724
2022-11-07 17:59:08,1.443604,54.43619,7,11,0.839613471,1.174326074
2022-11-07 17:59:09,1.36604,54.55649,7,11,0.792166606,1.112895929
2022-11-07 17:59:10,1.363552,49.35187,7,11,0.888233857,1.034560134
2022-11-07 17:59:11,1.393858,52.72955,7,11,0.844089821,1.109212558
2022-11-07 17:59:12,1.334001,48.93317,7,11,0.876357121,1.005761833
2022-11-07 17:59:13,1.334292,53.25919,7,11,0.798168238,1.069234589
2022-11-07 17:59:14,1.400528,52.63412,7,11,0.849984159,1.113106288
2022-11-07 17:59:15,1.390972,60.08759,7,11,0.693643649,1.205678893
2022-11-07 17:59:16,1.469857,61.31421,7,11,0.705540092,1.28945445
2022-11-07 17:59:17,1.378372,55.94028,7,11,0.771966493,1.141918169
2022-11-07 17:59:18,1.458819,60.70871,7,11,0.713727014,1.272299738
2022-11-07 17:59:19,1.345498,52.68637,7,11,0.815610771,1.070113984
2022-11-07 17:59:20,1.387903,51.43878,7,11,0.865150016,1.085260424
2022-11-07 17:59:21,1.378663,56.90259,7,11,0.75283836,1.154965832
2022-11-07 17:59:22,1.564779,46.18124,7,11,1.083420836,1.129040571
2022-11-07 17:59:23,1.515086,50.48944,7,11,0.963928659,1.168899965
2022-11-07 17:59:24,1.685831,45.40106,7,11,1.183689176,1.20037748
2022-11-07 17:59:25,1.603832,43.58224,7,11,1.161792787,1.105673824
2022-11-07 17:59:26,1.472027,50.15054,7,11,0.943234677,1.130120274
2022-11-07 17:59:27,1.663802,55.4137,7,11,0.944452062,1.369761803
