datetime,windspeed,winddirection,day,month,u_east,u_north
2022-11-29 17:27:20,4.568009,196.3938,29,11,-4.382294407,-1.289264114
2022-11-29 17:27:21,4.643283,190.783,29,11,-4.561295645,-0.868711147
2022-11-29 17:27:22,4.512014,198.791,29,11,-4.271523066,-1.453396377
2022-11-29 17:27:23,4.488127,199.1632,29,11,-4.239428215,-1.473272676
2022-11-29 17:27:24,5.144475,199.4764,29,11,-4.850102509,-1.715263442
2022-11-29 17:27:25,4.603224,199.1398,29,11,-4.348764154,-1.50927848
2022-11-29 17:27:26,5.312746,204.5561,29,11,-4.832233606,-2.207892307
2022-11-29 17:27:27,5.239005,201.8792,29,11,-4.861647841,-1.95232007
2022-11-29 17:27:28,4.628597,192.0023,29,11,-4.527412416,-0.962521171
2022-11-29 17:27:29,3.322857,178.041,29,11,-3.320914939,0.113589669
2022-11-29 17:27:30,4.063014,199.8537,29,11,-3.821520135,-1.379879206
2022-11-29 17:27:31,4.108632,192.6211,29,11,-4.009352501,-0.897746865
2022-11-29 17:27:32,3.349839,203.5724,29,11,-3.070313278,-1.339625955
2022-11-29 17:27:33,3.205112,205.4631,29,11,-2.893774977,-1.377972901
2022-11-29 17:27:34,3.686175,196.4942,29,11,-3.534483298,-1.046572476
2022-11-29 17:27:35,3.918612,197.7988,29,11,-3.731050752,-1.197823148
2022-11-29 17:27:36,4.096322,187.1379,29,11,-4.064575344,-0.509000194
2022-11-29 17:27:37,3.644497,192.5076,29,11,-3.558003206,-0.789285482
2022-11-29 17:27:38,5.249558,192.7372,29,11,-5.120374779,-1.157420112
2022-11-29 17:27:39,5.913263,203.3747,29,11,-5.427960939,-2.346043341
2022-11-29 17:27:40,3.5443,204.1443,29,11,-3.234238225,-1.449746735
2022-11-29 17:27:41,3.490323,184.3221,29,11,-3.480397006,-0.263042445
2022-11-29 17:27:42,3.669324,187.9603,29,11,-3.633967361,-0.508153361
2022-11-29 17:27:43,3.584004,194.2445,29,11,-3.473812128,-0.881880929
2022-11-29 17:27:44,3.331792,198.591,29,11,-3.157934097,-1.062210041
2022-11-29 17:27:45,3.483121,201.847,29,11,-3.232966314,-1.29617156
2022-11-29 17:27:46,4.675166,183.6605,29,11,-4.665628054,-0.298482817
2022-11-29 17:27:47,4.89712,193.0698,29,11,-4.770261563,-1.10742445
2022-11-29 17:27:48,5.338452,187.1507,29,11,-5.296930464,-0.664527968
2022-11-29 17:27:49,4.7031,192.9651,29,11,-4.58320343,-1.055175779
2022-11-29 17:27:50,5.236333,180.6423,29,11,-5.236003979,-0.058699371
2022-11-29 17:27:51,4.62289,190.614,29,11,-4.543794072,-0.851497143
2022-11-29 17:27:52,3.938787,185.386,29,11,-3.921396979,-0.369714434
2022-11-29 17:27:53,3.125767,194.6325,29,11,-3.024385976,-0.789625737
2022-11-29 17:27:54,3.531087,194.8184,29,11,-3.413647654,-0.903097502
2022-11-29 17:27:55,4.341541,191.9548,29,11,-4.247378687,-0.899306701
2022-11-29 17:27:56,5.23285,186.6817,29,11,-5.197307766,-0.608860502
2022-11-29 17:27:57,4.495823,188.1315,29,11,-4.450622192,-0.635913953
2022-11-29 17:27:58,5.107036,192.2505,29,11,-4.990744985,-1.083642563
2022-11-29 17:27:59,5.408216,186.9925,29,11,-5.367990207,-0.65839307
2022-11-29 17:28:00,5.285448,186.0779,29,11,-5.255737747,-0.559626034
2022-11-29 17:28:01,4.640563,199.9993,29,11,-4.360722198,-1.587112746
2022-11-29 17:28:02,5.060611,194.586,29,11,-4.897511221,-1.274428317
2022-11-29 17:28:03,4.666634,194.6933,29,11,-4.514023028,-1.183667603
2022-11-29 17:28:04,4.875277,200.3311,29,11,-4.571549586,-1.693889077
2022-11-29 17:28:05,4.50843,195.0255,29,11,-4.354289217,-1.168805579
2022-11-29 17:28:06,4.366039,189.7618,29,11,-4.302823823,-0.740272716
2022-11-29 17:28:07,4.152525,199.8858,29,11,-3.904920136,-1.412466852
2022-11-29 17:28:08,4.809076,187.5767,29,11,-4.767089121,-0.634092492
2022-11-29 17:28:09,5.00903,185.2769,29,11,-4.987801022,-0.460676144
2022-11-29 17:28:10,5.321936,181.237,29,11,-5.320695728,-0.114890197
2022-11-29 17:28:11,5.216842,186.9966,29,11,-5.177994169,-0.635465842
2022-11-29 17:28:12,5.009072,188.7937,29,11,-4.950191346,-0.765772772
2022-11-29 17:28:13,4.934642,191.6952,29,11,-4.832197825,-1.000277887
2022-11-29 17:28:14,5.003449,184.1794,29,11,-4.990143552,-0.364649462
2022-11-29 17:28:15,4.883818,189.3165,29,11,-4.819396225,-0.79063157
2022-11-29 17:28:16,4.084188,192.0652,29,11,-3.993969812,-0.853695941
2022-11-29 17:28:17,4.628752,182.2045,29,11,-4.625326253,-0.178050921
2022-11-29 17:28:18,5.34015,194.2034,29,11,-5.17690584,-1.310285443
2022-11-29 17:28:19,4.374763,194.8013,29,11,-4.229597831,-1.117610617
2022-11-29 17:28:20,4.97486,196.9839,29,11,-4.757890804,-1.453171398
2022-11-29 17:28:21,5.102449,188.1163,29,11,-5.051340487,-0.720378428
2022-11-29 17:28:22,5.075638,190.3839,29,11,-4.99251,-0.914846984
2022-11-29 17:28:23,5.116382,192.4619,29,11,-4.995838593,-1.104065904
2022-11-29 17:28:24,4.942772,193.0441,29,11,-4.815231843,-1.11558834
2022-11-29 17:28:25,4.779955,182.987,29,11,-4.773460875,-0.249080458
2022-11-29 17:28:26,4.069723,187.6339,29,11,-4.033653513,-0.540633546
2022-11-29 17:28:27,4.200635,184.9846,29,11,-4.184748568,-0.364984697
2022-11-29 17:28:28,4.50611,190.8713,29,11,-4.425240237,-0.849868328
2022-11-29 17:28:29,4.775357,185.8489,29,11,-4.750496961,-0.486634461
2022-11-29 17:28:30,4.181069,197.3762,29,11,-3.990263676,-1.248652785
2022-11-29 17:28:31,4.694238,187.5963,29,11,-4.653041738,-0.620542494
2022-11-29 17:28:32,4.629694,192.8306,29,11,-4.514094674,-1.028112743
2022-11-29 17:28:33,3.849428,192.2449,29,11,-3.76185347,-0.816427826
2022-11-29 17:28:34,3.362431,202.5295,29,11,-3.105818259,-1.288345906
2022-11-29 17:28:35,4.601802,199.4876,29,11,-4.338181844,-1.535174235
2022-11-29 17:28:36,4.067974,201.3073,29,11,-3.789907387,-1.478179441
2022-11-29 17:28:37,4.793555,199.599,29,11,-4.515832277,-1.607926734
2022-11-29 17:28:38,3.981265,199.3971,29,11,-3.755286284,-1.322231418
2022-11-29 17:28:39,4.301877,195.7084,29,11,-4.141210773,-1.16469698
2022-11-29 17:28:40,3.745973,192.87,29,11,-3.651866494,-0.834376908
2022-11-29 17:28:41,3.618095,189.6777,29,11,-3.566605788,-0.608222475
2022-11-29 17:28:42,3.949792,187.8645,29,11,-3.912641965,-0.540453231
2022-11-29 17:28:43,4.054274,184.5186,29,11,-4.04167255,-0.319406742
2022-11-29 17:28:44,3.255009,178.9841,29,11,-3.254497356,0.057710889
2022-11-29 17:28:45,2.858253,171.34,29,11,-2.82566676,0.430369111
2022-11-29 17:28:46,3.448346,176.1658,29,11,-3.440627676,0.2305891
2022-11-29 17:28:47,3.685156,177.1034,29,11,-3.680447689,0.186224475
2022-11-29 17:28:48,4.111946,182.51,29,11,-4.108000972,-0.18007755
2022-11-29 17:28:49,3.610752,183.9388,29,11,-3.602223371,-0.248025785
2022-11-29 17:28:50,3.793316,183.1802,29,11,-3.787474275,-0.210439763
2022-11-29 17:28:51,4.297159,181.1886,29,11,-4.296234383,-0.089138099
2022-11-29 17:28:52,4.637901,183.5366,29,11,-4.62906857,-0.286094146
2022-11-29 17:28:53,5.091237,178.0109,29,11,-5.088169266,0.176713634
2022-11-29 17:28:54,4.89467,180.7725,29,11,-4.894225124,-0.065991214
2022-11-29 17:28:55,4.34614,182.7395,29,11,-4.341173067,-0.207724105
2022-11-29 17:28:56,4.601545,177.0548,29,11,-4.595466977,0.236431076
2022-11-29 17:28:57,4.123728,174.1649,29,11,-4.102361373,0.419241911
2022-11-29 17:28:58,3.749368,180.3026,29,11,-3.74931571,-0.019801694
2022-11-29 17:28:59,5.094678,181.6464,29,11,-5.092574792,-0.14637594
2022-11-29 17:29:00,5.182127,184.0756,29,11,-5.169022128,-0.368307589
2022-11-29 17:29:01,4.775997,185.6371,29,11,-4.752900301,-0.469133319
2022-11-29 17:29:02,4.779856,185.9031,29,11,-4.754509638,-0.491590768
2022-11-29 17:29:03,4.928997,189.5733,29,11,-4.860354037,-0.819737802
2022-11-29 17:29:04,4.645806,185.8026,29,11,-4.622001457,-0.469697692
2022-11-29 17:29:05,4.911991,188.7381,29,11,-4.854977935,-0.746220369
2022-11-29 17:29:06,4.211595,195.5411,29,11,-4.057612799,-1.128410747
2022-11-29 17:29:07,4.80545,190.1486,29,11,-4.730264287,-0.84672869
2022-11-29 17:29:08,4.813201,194.3627,29,11,-4.662763704,-1.193959171
2022-11-29 17:29:09,5.354267,191.2017,29,11,-5.252264958,-1.040138415
2022-11-29 17:29:10,4.94712,192.0361,29,11,-4.838364537,-1.031612767
2022-11-29 17:29:11,5.064382,190.1673,29,11,-4.984853548,-0.893979948
2022-11-29 17:29:12,4.949414,187.5905,29,11,-4.90604454,-0.653778186
2022-11-29 17:29:13,4.729581,185.4519,29,11,-4.708185844,-0.449357871
2022-11-29 17:29:14,4.660939,188.4647,29,11,-4.610166185,-0.68609045
2022-11-29 17:29:15,4.762606,188.1005,29,11,-4.715086756,-0.6710982
2022-11-29 17:29:16,4.918732,188.168,29,11,-4.868835082,-0.698834339
2022-11-29 17:29:17,4.511062,189.5484,29,11,-4.448564969,-0.748298127
2022-11-29 17:29:18,4.582224,189.2479,29,11,-4.522665432,-0.736392678
2022-11-29 17:29:19,4.449132,188.6309,29,11,-4.398748213,-0.667674853
2022-11-29 17:29:20,4.231498,179.2885,29,11,-4.231171741,0.052545466
2022-11-29 17:29:21,4.427215,185.2071,29,11,-4.408944592,-0.401796271
2022-11-29 17:29:22,4.110143,186.2148,29,11,-4.085987828,-0.444948257
2022-11-29 17:29:23,4.136583,182.2517,29,11,-4.133389024,-0.162524127
2022-11-29 17:29:24,4.181012,179.5726,29,11,-4.180895675,0.031188125
2022-11-29 17:29:25,3.806938,186.0553,29,11,-3.78569736,-0.401587396
2022-11-29 17:29:26,4.001456,183.7629,29,11,-3.992829552,-0.262606726
2022-11-29 17:29:27,4.036775,188.5182,29,11,-3.992244777,-0.597941502
2022-11-29 17:29:28,3.985449,189.4084,29,11,-3.931837562,-0.651503737
2022-11-29 17:29:29,3.77166,192.2411,29,11,-3.685907739,-0.799689501
2022-11-29 17:29:30,3.801957,193.5977,29,11,-3.695389814,-0.893851861
2022-11-29 17:29:31,3.82736,183.4886,29,11,-3.820267616,-0.232894634
2022-11-29 17:29:32,3.799665,184.9652,29,11,-3.785406569,-0.328863526
2022-11-29 17:29:33,3.81288,189.2468,29,11,-3.763332931,-0.61268193
2022-11-29 17:29:34,4.118379,181.1822,29,11,-4.117502368,-0.084969648
2022-11-29 17:29:35,4.547012,184.379,29,11,-4.533738382,-0.347180663
2022-11-29 17:29:36,4.637833,181.5267,29,11,-4.636186652,-0.123564805
2022-11-29 17:29:37,4.507824,187.6694,29,11,-4.467499785,-0.601600267
2022-11-29 17:29:38,5.36471,190.2828,29,11,-5.278545619,-0.957637473
2022-11-29 17:29:39,5.351739,191.6798,29,11,-5.240927197,-1.083417022
2022-11-29 17:29:40,5.223104,190.5846,29,11,-5.134231612,-0.959417087
2022-11-29 17:29:41,5.364516,184.5203,29,11,-5.347829528,-0.422789847
2022-11-29 17:29:42,6.669679,179.5123,29,11,-6.66943738,0.056771427
2022-11-29 17:29:43,7.091546,183.9505,29,11,-7.074696084,-0.488569327
2022-11-29 17:29:44,7.083704,186.9221,29,11,-7.03207038,-0.853726264
2022-11-29 17:29:45,7.499939,187.0102,29,11,-7.443872758,-0.915337841
2022-11-29 17:29:46,7.84021,193.4013,29,11,-7.626725941,-1.817125276
2022-11-29 17:29:47,6.891779,194.6849,29,11,-6.666656253,-1.747086772
2022-11-29 17:29:48,7.191997,191.7388,29,11,-7.04157826,-1.463214426
2022-11-29 17:29:49,7.892284,187.9663,29,11,-7.816121531,-1.093796573
2022-11-29 17:29:50,7.627554,189.7994,29,11,-7.516265553,-1.298203436
2022-11-29 17:29:51,7.912064,188.3593,29,11,-7.828005071,-1.150257946
2022-11-29 17:29:52,7.11421,194.1453,29,11,-6.898500763,-1.738583086
2022-11-29 17:29:53,8.447171,183.8254,29,11,-8.42835062,-0.563563427
2022-11-29 17:29:54,7.224736,191.0832,29,11,-7.08998797,-1.388841549
2022-11-29 17:29:55,7.491705,189.5694,29,11,-7.387457646,-1.245437006
2022-11-29 17:29:56,7.343641,191.0775,29,11,-7.206815687,-1.410982206
2022-11-29 17:29:57,7.173223,195.4045,29,11,-6.915521697,-1.905436399
2022-11-29 17:29:58,7.285038,193.8934,29,11,-7.071908002,-1.749255804
2022-11-29 17:29:59,6.557472,191.6716,29,11,-6.421884506,-1.326589016
2022-11-29 17:30:00,6.113538,190.8863,29,11,-6.003518154,-1.154606707
2022-11-29 17:30:01,6.826716,195.7397,29,11,-6.570741576,-1.851865677
2022-11-29 17:30:02,7.18092,191.7737,29,11,-7.029841728,-1.465243094
2022-11-29 17:30:03,7.418948,193.29,29,11,-7.220261222,-1.70546689
2022-11-29 17:30:04,7.214566,194.8853,29,11,-6.972459727,-1.85331269
2022-11-29 17:30:05,7.209081,195.231,29,11,-6.955858391,-1.893906785
2022-11-29 17:30:06,6.853763,197.0147,29,11,-6.553771824,-2.005527896
2022-11-29 17:30:07,6.846393,194.3775,29,11,-6.631969084,-1.700024466
2022-11-29 17:30:08,7.015026,198.2327,29,11,-6.662827081,-2.194840558
2022-11-29 17:30:09,6.811121,197.7248,29,11,-6.487795682,-2.073614348
2022-11-29 17:30:10,6.502434,197.2894,29,11,-6.208626715,-1.932511899
2022-11-29 17:30:11,6.334676,199.2528,29,11,-5.98039599,-2.088775678
2022-11-29 17:30:12,5.969401,194.4408,29,11,-5.7808027,-1.488646515
2022-11-29 17:30:13,6.175445,196.0805,29,11,-5.933821325,-1.710521976
2022-11-29 17:30:14,5.071343,186.6327,29,11,-5.037400535,-0.585760767
2022-11-29 17:30:15,5.154477,183.2767,29,11,-5.146050168,-0.294619776
2022-11-29 17:30:16,5.296983,185.755,29,11,-5.270284995,-0.53115438
2022-11-29 17:30:17,4.587678,200.463,29,11,-4.298187022,-1.603863385
2022-11-29 17:30:18,4.796521,188.5218,29,11,-4.743565264,-0.710775836
2022-11-29 17:30:19,5.356023,186.7565,29,11,-5.318826044,-0.63013641
2022-11-29 17:30:20,5.582389,185.8959,29,11,-5.552859113,-0.573430574
2022-11-29 17:30:21,4.33352,185.0325,29,11,-4.316814715,-0.380139851
2022-11-29 17:30:22,4.040885,193.1891,29,11,-3.934295857,-0.921991159
2022-11-29 17:30:23,4.698913,186.2207,29,11,-4.67124524,-0.509167252
