,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
84,85.0,2022-11-02 17:41:58,False,True,True,True,0,True,6565.01964,False,32.113429739820006,0.1017852214756808,32.31292877391234,31.913930705727672,0.0210718271874312,0.0431013673469387,0.0026930537344558,True,31.0,24.0,37.0,pass_all,6.0,11.76,True
85,86.0,2022-11-02 17:45:18,False,True,True,True,0,True,6616.686307,False,32.03548275049501,0.1007040991029652,32.23286278473682,31.838102716253196,0.0159717433538974,0.0429967499999999,0.0026930537344558,True,48.0,38.0,58.0,pass_all,10.0,19.6,True
86,87.0,2022-11-02 17:49:44,False,True,True,True,0,True,6549.186307,False,809.3218225267501,9.292916878821314,827.5359396092399,791.1077054442603,9.41357232719449,1.0862395408163266,0.0026930537344558,True,452.0,361.0,542.0,pass_all,90.0,176.4,False
87,88.0,2022-11-02 17:52:45,False,True,True,True,0,True,6618.873807,False,800.2778049870001,6.903344055892799,813.80835933655,786.7472506374502,6.776321317897321,1.0741010204081636,0.0026930537344558,True,543.0,434.0,651.0,pass_all,108.0,211.68,False
91,92.0,2022-11-04 16:51:31,False,True,True,True,0,True,6592.936307,False,9.2625599142825,0.0321744017837447,9.32562174177864,9.19949808678636,0.0151265494289714,0.0124318392857142,0.0026930537344558,True,12.0,9.0,14.0,pass_all,2.0,3.92,True
92,93.0,2022-11-04 16:55:06,False,True,True,True,0,True,6585.32267,False,9.2475977416425,0.0300836132976947,9.30656162370598,9.188633859579015,0.0093619769750494,0.0124117576530611,0.0026930537344558,True,9.0,7.0,11.0,pass_all,2.0,3.92,True
99,100.0,2022-11-04 17:22:04,False,True,True,True,0,True,6551.307519,False,12.0565403810925,0.0390779614213116,12.13313318547827,11.97994757670673,0.011684917527613,0.0161818086734693,0.0026930537344558,True,9.0,7.0,11.0,pass_all,2.0,3.92,True
100,101.0,2022-11-04 17:25:59,False,True,True,True,0,True,6518.561307,False,22.2966080003475,0.0715570699274728,22.43685985740535,22.156356143289653,0.0188068445167701,0.0299256198979591,0.0026930537344558,True,35.0,28.0,42.0,pass_all,7.0,13.719999999999999,True
101,102.0,2022-11-04 17:29:58,False,True,True,True,0,True,6581.686307,False,22.203419438055,0.0706996864885051,22.34199082357247,22.06484805253753,0.0162170035059459,0.0298005459183673,0.0026930537344558,True,25.0,20.0,30.0,pass_all,5.0,9.8,True
105,106.0,2022-11-04 17:45:51,False,True,True,True,0,True,6599.811307,False,18.205685425567506,0.0581957177062385,18.319749032271737,18.09162181886328,0.0143465248612066,0.0244349464285713,0.0026930537344558,True,22.0,17.0,26.0,pass_all,4.0,7.84,True
106,107.0,2022-11-04 17:50:26,False,True,True,True,0,True,6594.356760999999,False,18.139678523707506,0.0575810831470401,18.252537446675703,18.02681960073931,0.0123565305316522,0.0243463545918366,0.0026930537344558,True,19.0,15.0,23.0,pass_all,4.0,7.84,True
110,111.0,2022-11-04 18:05:17,False,True,True,True,0,True,6579.621913000001,False,35.25621585630001,0.1108234872647906,35.473429891339,35.03900182126102,0.0175422473097946,0.0473194897959183,0.0026930537344558,True,38.0,31.0,46.0,pass_all,8.0,15.68,True
111,112.0,2022-11-04 18:09:25,False,True,True,True,0,True,6490.783529,False,35.139951107775,0.1107682492768858,35.357056876357696,34.9228453391923,0.0195369896888353,0.0471634438775509,0.0026930537344558,True,45.0,36.0,54.0,pass_all,9.0,17.64,True
118,119.0,2022-11-04 18:33:39,False,True,True,True,0,True,6688.76964,False,39.795216727725,0.1260382709390426,40.04225173876552,39.548181716684475,0.0256006170476496,0.0534115561224489,0.0026930537344558,True,52.0,42.0,63.0,pass_all,11.0,21.56,True
119,120.0,2022-11-04 18:37:25,False,True,True,True,0,True,6612.102972999999,False,39.81648536490001,0.1324846904924184,40.076155358265154,39.55681537153487,0.0498251968113342,0.0534401020408162,0.0026930537344558,True,60.0,48.0,72.0,pass_all,12.0,23.52,True
120,121.0,2022-11-04 18:40:25,False,True,True,True,0,True,6666.165472999999,False,39.8303983608,0.1305365430133834,40.08624998510623,39.574546736493765,0.043627377503084,0.053458775510204,0.0026930537344558,True,43.0,34.0,51.0,pass_all,8.0,15.68,True
128,129.0,2022-11-04 19:09:12,False,True,True,True,0,True,6616.616862000001,False,62.109438352800005,0.1944539106547158,62.490568017683245,61.728308687916766,0.0248750967973592,0.0833608163265306,0.0026930537344558,True,67.0,54.0,81.0,pass_all,14.0,27.439999999999998,True
132,133.0,2022-11-04 19:24:29,False,True,True,True,0,True,6623.908529,False,50.60920683195,0.160239176797373,50.92327561847285,50.295138045427144,0.0322899827044061,0.067925663265306,0.0026930537344558,True,33.0,27.0,40.0,pass_all,7.0,13.719999999999999,False
