,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
51,CarbonMapper,2,52.0,2022-10-12,18:42:12,True,False,,,,1-sigma,0.599359493,CM-1
52,CarbonMapper,2,53.0,2022-10-12,18:54:29,True,True,126.5982572,190.96911109,62.22740331,1-sigma,0.659836457,nan
53,CarbonMapper,2,54.0,2022-10-12,19:06:38,True,True,145.9795391,217.73248241000002,74.22659579,1-sigma,0.792902082,nan
54,CarbonMapper,2,55.0,2022-10-12,19:18:49,True,True,5.18514438,7.179147069,3.1911416909999994,1-sigma,0.73160713,nan
55,CarbonMapper,2,56.0,2022-10-12,19:29:58,True,False,,,,1-sigma,1.318539133,CM-1
56,CarbonMapper,2,57.0,2022-10-12,19:41:44,True,True,82.11099999,114.95966748,49.2623325,1-sigma,2.5699108,nan
57,CarbonMapper,2,58.0,2022-10-12,19:53:38,True,True,11.09671556,17.657137503999998,4.536293616,1-sigma,0.213657651,nan
58,CarbonMapper,2,59.0,2022-10-12,20:05:25,True,True,183.3676289,213.55145077,153.18380703,1-sigma,2.704942083,nan
59,CarbonMapper,2,60.0,2022-10-12,20:17:07,False,False,,,,1-sigma,,nan
60,CarbonMapper,2,61.0,2022-10-12,20:28:52,True,True,93.1518987,140.72216241,45.581634990000005,1-sigma,0.71240252,nan
61,CarbonMapper,2,62.0,2022-10-12,20:40:43,True,True,191.117027,240.13049727,142.10355673,1-sigma,2.166482572,nan
62,CarbonMapper,2,63.0,2022-10-12,20:52:28,True,True,115.2250517,159.95358179,70.49652161,1-sigma,2.188321472,nan
63,CarbonMapper,2,64.0,2022-10-12,21:04:24,False,False,,,,1-sigma,,nan
64,CarbonMapper,2,65.0,2022-10-12,21:15:37,True,True,213.8823976,328.5437872,99.22100799999998,1-sigma,3.11076555,nan
65,CarbonMapper,2,66.0,2022-10-28,17:51:18,True,True,651.6886139,782.7923091,520.5849186999999,1-sigma,2.702990017,nan
66,CarbonMapper,2,67.0,2022-10-28,18:03:30,True,True,607.4198549,846.974201,367.86550880000004,1-sigma,3.610023283,nan
67,CarbonMapper,2,68.0,2022-10-28,18:15:22,True,True,358.2208684,447.46549576999996,268.97624103,1-sigma,2.311959467,nan
68,CarbonMapper,2,69.0,2022-10-28,18:27:31,True,False,,,,1-sigma,2.694301483,CM-1
69,CarbonMapper,2,70.0,2022-10-28,18:39:45,True,True,541.0078811,734.8865711999999,347.129191,1-sigma,1.9734638,nan
70,CarbonMapper,2,71.0,2022-10-28,19:31:15,True,True,91.55675146,121.19840007,61.91510285,1-sigma,1.560237762,nan
71,CarbonMapper,2,72.0,2022-10-28,19:43:21,True,True,691.7165,926.3551396,457.07786039999996,1-sigma,1.9710746,nan
72,CarbonMapper,2,73.0,2022-10-28,19:55:38,True,True,571.1878164,871.885735,270.4898978,1-sigma,1.408462125,nan
73,CarbonMapper,2,74.0,2022-10-28,20:07:38,True,False,,,,1-sigma,2.206236067,CM-1
74,CarbonMapper,2,75.0,2022-10-28,20:19:30,True,False,,,,1-sigma,1.82921022,CM-1
75,CarbonMapper,2,76.0,2022-10-28,20:31:26,True,True,679.7771509,857.7953911000001,501.7589107,1-sigma,3.200806067,nan
76,CarbonMapper,2,77.0,2022-10-28,20:43:37,True,True,225.9142242,264.20053381,187.62791459,1-sigma,4.151329017,nan
77,CarbonMapper,2,78.0,2022-10-28,20:55:30,True,True,238.7409508,285.80140314,191.68049846000002,1-sigma,4.783987817,nan
78,CarbonMapper,2,79.0,2022-10-28,21:07:03,True,True,627.7643175,781.6020604999999,473.92657449999996,1-sigma,2.35560055,nan
79,CarbonMapper,2,80.0,2022-10-29,17:13:29,True,True,315.8293874,467.4364993,164.22227549999997,1-sigma,0.704413075,nan
80,CarbonMapper,2,81.0,2022-10-29,17:25:11,True,False,,,,1-sigma,0.773543708,CM-1
81,CarbonMapper,2,82.0,2022-10-29,17:37:22,True,False,,,,1-sigma,0.847860405,CM-1
82,CarbonMapper,2,83.0,2022-10-29,17:49:24,True,True,564.7179703,716.7605903000001,412.67535030000005,1-sigma,1.777623417,nan
83,CarbonMapper,2,84.0,2022-10-29,18:01:47,True,True,97.9955917,119.87136069,76.11982271000001,1-sigma,2.976283617,nan
84,CarbonMapper,2,85.0,2022-10-29,18:13:21,True,True,74.31519839,102.34875996000001,46.28163682,1-sigma,2.87534255,nan
85,CarbonMapper,2,86.0,2022-10-29,18:25:08,True,True,237.9956332,335.97495662999995,140.01630977,1-sigma,1.32513871,nan
86,CarbonMapper,2,87.0,2022-10-29,18:36:54,True,True,250.6417058,312.47845718,188.80495442,1-sigma,0.931696648,nan
87,CarbonMapper,2,88.0,2022-10-29,18:49:05,True,True,472.62486,649.5458815,295.7038385,1-sigma,1.690187583,nan
