,overpass_id,overpass_datetime,overpass_datetime_end,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1,2022-11-08 21:36:22,2022-11-08 22:14:22,False,True,False,True,0,False,,False,575.9273148656624,3.7946319006884655,583.3647933910119,568.489836340313,3.814359548414753,0.7705309277658433,0.0013196138560831,True,4.5,-0.4,9.4,fail_operator
1,2,2022-11-08 22:32:13,2022-11-08 22:56:06,False,True,False,True,0,False,,False,229.68099800550476,0.5247608907493356,230.70952935137345,228.65246665963608,0.3120019824879561,0.3072893191819645,0.0013196138560831,True,139.8,38.0,241.6,fail_operator
2,3,2022-11-08 23:05:50,2022-11-08 23:26:34,False,True,False,True,0,False,,False,7.095313352764062,0.0305018368599001,7.155096953009466,7.035529752518658,0.0287639576854459,0.0094927923010039,0.0013196138560831,True,7.5,3.5,11.5,fail_operator
3,4,2022-11-08 23:45:18,2022-11-08 23:55:32,False,True,False,True,0,False,,False,108.15600732593306,0.2287087427659463,108.60427646175431,107.70773819011181,0.1093325374299906,0.1447015040218041,0.0013196138560831,False,-3.0,-5.3,-0.7,fail_operator
4,5,2022-11-10 18:05:56,2022-11-10 18:28:08,False,True,True,False,0,False,,False,1322.4724428616755,188.5682556221758,1692.06622388114,952.8786618422109,197.70552146960932,1.768766995311638,0.0016625803238741,True,921.8,646.4,1197.2,fail_stanford
5,6,2022-11-10 18:46:34,2022-11-10 19:14:37,False,True,True,True,0,True,,False,200.48339842410692,0.7643334391778648,201.98149196489553,198.98530488331832,0.6603996004417346,0.2681404971079341,0.0016625803238741,True,155.525,95.8,215.3,pass_all
6,7,2022-11-10 19:26:04,2022-11-10 19:51:01,False,True,True,True,0,True,,False,342.5184302231952,1.9446776132978407,346.32999834525896,338.70686210113143,1.8857884952623736,0.4581080671547176,0.0016625803238741,True,275.9,204.6,347.2,pass_all
7,8,2022-11-10 20:04:59,2022-11-10 20:24:03,True,False,True,True,0,True,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.6,-0.3,5.5,pass_all
8,9,2022-11-10 20:47:38,2022-11-10 21:12:57,False,True,True,True,0,True,,False,80.05311405669045,0.2088600829094559,80.46247981919298,79.64374829418792,0.1228195156920598,0.1070686249680912,0.0016625803238741,True,31.185,9.4,53.0,pass_all
9,10,2022-11-10 21:25:50,2022-11-10 21:50:37,False,True,True,True,0,True,,False,118.16415310854,10.258957319861972,138.27170945546948,98.05659676161054,10.753984377932955,0.1580422917771779,0.0016569899394629,True,70.4,44.7,96.1,pass_all
10,11,2022-11-10 21:55:06,2022-11-10 22:01:22,False,True,False,True,0,False,,False,4.062655044550532,0.0203107228537305,4.102464061343843,4.02284602775722,0.0190899700587128,0.0058305079079483,0.0016625803238741,True,6.5,-3.6,16.6,fail_operator
11,12,2022-11-11 19:14:36,2022-11-11 19:27:44,False,True,True,True,0,True,,False,156.10891064833325,0.5171550462066782,157.12253453889835,155.09528675776815,0.3588833169276022,0.2087427768569356,0.0020321852923637,True,91.6,61.3,121.9,pass_all
12,13,2022-11-11 19:49:30,2022-11-11 20:05:50,False,True,True,True,0,True,,False,3.773421855090184,0.0288904175553955,3.830047073498759,3.7167966366816088,0.0285008544110386,0.0058283804739921,0.0020321852923637,True,2.9,-0.3,6.1,pass_all
13,14,2022-11-11 20:25:26,2022-11-11 20:42:02,False,True,False,True,0,False,,False,12.467596761370256,0.0364250418761651,12.53898984344754,12.396203679292972,0.0201215003572122,0.0166711865318416,0.0020321852923637,False,4.9,-1.2,11.0,fail_operator
14,15,2022-11-11 20:56:01,2022-11-11 21:16:26,False,True,True,True,0,True,,False,27.08834242707844,2.1145455208142114,31.232851647874295,22.943833206282587,2.215628991508173,0.0362214802165763,0.0020321852923637,True,18.07,5.9,30.3,pass_all
15,16,2022-11-11 21:30:40,2022-11-11 21:48:22,True,False,True,True,0,True,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09,-11.3,11.5,pass_all
16,17,2022-11-11 22:42:59,2022-11-11 23:04:02,False,True,True,True,0,True,,False,802.5251649983484,13.661662945021648,829.3020243705909,775.7483056261059,14.16881668416235,1.0731055052757446,0.0020321852923637,True,402.79,216.3,589.3,pass_all
17,18,2022-11-11 23:17:51,2022-11-11 23:39:33,False,True,False,True,0,False,,False,205.90367068055332,0.9341703116532796,207.73464449139374,204.0726968697129,0.8196316390988142,0.2753263974771936,0.0020321852923637,True,151.6,35.8,267.4,fail_operator
