,overpass_id,zero_release,non_zero_release,operator_kept,stanford_kept,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,qc_summary
0,1.0,True,False,True,True,True,False,False,0.0,0.0,pass_all
1,2.0,True,False,True,True,True,False,False,0.0,0.0,pass_all
2,3.0,False,True,False,True,False,False,False,17.83461187,,fail_operator
3,4.0,False,True,True,True,True,False,True,17.80782079,17.57448,pass_all
4,5.0,False,True,True,True,True,False,True,17.82770164,30.7568,pass_all
5,6.0,False,True,True,True,True,False,True,107.8950807,119.00672,pass_all
6,7.0,False,True,True,True,True,False,True,107.7361082,253.1824,pass_all
7,8.0,False,True,True,True,True,False,True,107.4295298,128.58496,pass_all
8,9.0,False,True,True,True,True,False,False,1.634379226,0.0,pass_all
9,10.0,False,True,True,True,True,False,False,1.578518439,0.0,pass_all
10,11.0,False,True,True,True,True,False,False,1.538374839,0.0,pass_all
11,12.0,False,True,True,True,True,False,True,12.28234072,11.50552,pass_all
12,13.0,False,True,True,True,True,False,True,12.30635921,18.436,pass_all
13,14.0,False,True,True,True,True,False,False,3.31660741,0.0,pass_all
14,15.0,False,True,False,True,False,False,False,3.24780362,,fail_operator
15,16.0,False,True,True,True,True,False,False,3.232429554,0.0,pass_all
16,17.0,False,True,True,True,True,False,False,3.219373416,0.0,pass_all
17,18.0,False,True,True,True,True,False,True,28.23733298,31.02192,pass_all
18,19.0,False,True,True,True,True,False,True,28.28146072,55.4736,pass_all
19,20.0,False,True,True,True,True,False,True,28.27144859,22.92096,pass_all
20,21.0,False,True,True,True,True,False,True,186.7824413,149.85984,pass_all
21,22.0,False,True,True,True,True,False,True,187.2593056,213.39264,pass_all
22,23.0,False,True,True,True,True,False,True,188.4077528,140.61312,pass_all
23,24.0,False,True,True,False,False,False,True,59.86101836,67.00464,fail_stanford
24,25.0,False,True,True,True,True,False,True,59.1051423,72.9816,pass_all
25,26.0,False,True,True,False,False,False,True,116.036457,190.568,fail_stanford
26,27.0,True,False,True,False,False,False,False,0.0,0.0,fail_stanford
27,28.0,False,True,False,True,False,False,False,714.1117832,,fail_operator
28,29.0,False,True,False,True,False,False,False,714.4015566,,fail_operator
29,30.0,False,True,False,True,False,False,False,716.1023284,,fail_operator
30,31.0,False,True,False,True,False,False,False,711.0719074,,fail_operator
31,32.0,False,True,True,False,False,False,True,437.0654348,447.5488,fail_stanford
32,33.0,False,True,True,True,True,False,True,432.4751619,367.09632,pass_all
33,34.0,False,True,False,True,False,False,False,430.9851343,,fail_operator
34,35.0,False,True,True,True,True,False,True,161.3540742,146.66496,pass_all
35,36.0,False,True,True,True,True,False,True,160.5635089,141.58144,pass_all
36,37.0,False,True,True,True,True,False,True,159.8150376,128.63,pass_all
37,38.0,False,True,True,True,True,False,True,42.2739766,19.36368,pass_all
38,39.0,False,True,True,True,True,False,True,41.85122586,45.30288,pass_all
39,40.0,False,True,False,True,False,False,False,41.7086991,,fail_operator
40,41.0,False,True,True,True,True,False,True,8.729311641,4.79424,pass_all
41,42.0,False,True,True,True,True,False,False,8.665770058,0.0,pass_all
42,43.0,False,True,True,True,True,False,True,8.630508816,15.092,pass_all
43,44.0,False,True,True,True,True,False,False,4.083904983,0.0,pass_all
44,45.0,False,True,True,True,True,False,False,4.055158152,0.0,pass_all
45,46.0,False,True,True,False,False,False,True,17.87383882,10.77712,fail_stanford
46,47.0,False,True,True,True,True,False,True,17.91043917,18.24768,pass_all
47,48.0,False,True,True,True,True,False,True,17.85519564,45.156,pass_all
48,49.0,False,True,True,True,True,False,True,17.79617628,10.0672,pass_all
49,50.0,False,True,True,True,True,False,True,17.74774901,4.55672,pass_all
50,51.0,False,True,True,True,True,False,True,26.30609439,17.35552,pass_all
51,52.0,False,True,True,True,True,False,True,26.40434291,15.91312,pass_all
52,53.0,False,True,True,True,True,False,True,31.37092049,18.79176,pass_all
53,54.0,False,True,True,True,True,False,False,5.329469276,0.0,pass_all
54,55.0,False,True,True,True,True,False,True,5.265296559,13.01184,pass_all
55,56.0,False,True,True,False,False,False,False,1.567779607,0.0,fail_stanford
56,57.0,False,True,True,True,True,False,False,1.553485769,0.0,pass_all
57,58.0,False,True,True,True,True,False,True,13.90789573,30.8416,pass_all
58,59.0,False,True,True,True,True,False,True,13.89295703,34.58224,pass_all
59,60.0,False,True,True,True,True,False,True,13.91354301,57.72888,pass_all
60,61.0,False,True,False,True,False,False,False,13.85968249,,fail_operator
61,62.0,False,True,False,True,False,False,False,13.8081709,,fail_operator
62,63.0,False,True,True,False,False,False,True,3.662109176,7.37592,fail_stanford
63,64.0,False,True,True,False,False,False,True,3.57699375,4.83936,fail_stanford
64,65.0,False,True,True,False,False,False,True,0.7410607024,11.05104,fail_stanford
65,66.0,True,False,True,False,False,False,False,0.0,0.0,fail_stanford
66,67.0,False,True,True,False,False,False,True,11.34440064,15.9344,fail_stanford
67,68.0,False,True,True,False,False,False,True,11.35531105,14.3724,fail_stanford
68,69.0,False,True,False,False,False,True,False,199.8415147,,fail_all
69,70.0,False,True,False,True,False,False,False,201.2051507,,fail_operator
70,71.0,False,True,False,True,False,False,False,202.6471571,,fail_operator
71,72.0,False,True,True,False,False,False,True,22.91896802,27.82816,fail_stanford
72,73.0,False,True,True,False,False,False,True,22.85352206,18.49384,fail_stanford
73,74.0,False,True,True,False,False,False,True,96.03927661,108.19776,fail_stanford
74,75.0,False,True,True,True,True,False,True,95.72804469,89.6796,pass_all
75,76.0,False,True,True,True,True,False,True,95.36637685,140.8008,pass_all
76,77.0,False,True,False,True,False,False,False,95.19114082,,fail_operator
77,78.0,False,True,False,False,False,True,False,48.91137729,,fail_all
78,79.0,False,True,False,False,False,True,False,48.76780778,,fail_all
79,80.0,False,True,False,False,False,True,False,944.8712336,,fail_all
80,81.0,False,True,False,False,False,True,False,967.9883396,,fail_all
81,82.0,False,True,False,True,False,False,False,965.852359,,fail_operator
82,83.0,False,True,False,True,False,False,False,969.8751591,,fail_operator
83,84.0,False,True,False,True,False,False,False,971.3662843,,fail_operator
84,85.0,False,True,False,True,False,False,False,958.9367649,,fail_operator
85,86.0,False,True,False,True,False,False,False,962.1275644,,fail_operator
86,87.0,False,True,False,True,False,False,False,964.7174134,,fail_operator
87,88.0,False,True,False,False,False,True,False,76.52450304,,fail_all
88,89.0,False,True,False,False,False,True,False,23.56357646,,fail_all
