,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,10351.26648,False,10.92213624004875,0.071399846870293,True,13.1654166,4.790284888,21.540548312,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,10398.14464,False,6.612948731013749,0.0753212588051101,False,,,,pass_all
2,3.0,2022-10-10 17:28:37,False,True,False,True,1,False,10419.39464,False,8.638673389503753,0.0824638090212345,True,,,,fail_operator
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,10416.32015,False,4.4451804176775,0.0732354438450547,False,,,,pass_all
4,5.0,2022-10-10 17:55:26,True,False,True,True,0,True,10371.44592,False,0.0,0.0,False,,,,pass_all
5,6.0,2022-10-10 18:07:14,False,True,False,False,0,False,10396.95146,True,91.38784136782502,0.2281410398890126,True,,,,fail_all
6,7.0,2022-10-10 18:18:54,False,True,True,True,1,True,10330.29742,False,93.0819379419,0.2246665886775423,True,172.1313526,120.22175556000002,224.04094964,pass_all
7,8.0,2022-10-10 18:30:38,False,True,False,True,0,False,10364.92349,False,35.00659497087,4.777575351545,True,,,,fail_operator
8,9.0,2022-10-10 18:43:29,False,True,True,True,0,True,10393.96195,False,39.336592102875,0.1063214108329694,True,48.06807558,16.43381441,79.70233675,pass_all
9,10.0,2022-10-10 18:56:08,False,True,True,True,1,True,10387.31131,False,30.76062848971875,4.853967306765028,True,50.26225492,27.586977829999995,72.93753201,pass_all
10,11.0,2022-10-10 19:08:35,False,True,True,True,1,True,10356.37381,False,144.1779333748875,9.57747777678959,True,215.0162166,150.87381235,279.15862085000003,pass_all
11,12.0,2022-10-10 19:20:19,False,True,True,True,1,True,10258.25682,False,59.014270462725,0.1479944570524006,True,66.43268212,43.73063952,89.13472472,pass_all
12,13.0,2022-10-10 19:31:50,False,True,False,True,1,False,10290.66358,False,79.22561677233752,0.1949770871827603,True,,,,fail_operator
13,14.0,2022-10-10 19:44:20,False,True,True,True,0,True,10424.39464,False,123.28594834421251,0.3311056737648346,True,222.4485923,119.8709334,325.0262512,pass_all
14,15.0,2022-10-10 19:56:37,False,True,False,True,1,False,10370.43631,False,211.31233895193748,0.6702460153424143,True,,,,fail_operator
