,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,release_kgh_stdev,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,10351.26648,False,True,10.942664277348,0.05806356193911,13.8964605732141,3.5014759537502997,24.291445192677894,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,10398.14464,False,False,6.625377696852,0.064699320451543,,,,pass_all
2,3.0,2022-10-10 17:28:37,False,True,True,True,1,True,10419.39464,False,True,8.654909682996001,0.0722423546508085,14.0787155590067,9.75552397314667,18.40190714486673,pass_all
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,10416.32015,False,False,4.453535086344,0.0628908418746801,,,,pass_all
4,5.0,2022-10-10 17:55:26,True,False,True,True,0,True,10371.44592,False,False,0.0,0.0,,,,pass_all
5,6.0,2022-10-10 18:07:14,False,True,False,False,0,False,10396.95146,True,True,91.55960383032,0.1165844584935239,,,,fail_all
6,7.0,2022-10-10 18:18:54,False,True,True,True,1,True,10330.29742,False,True,93.25688444064,0.1027932364484013,154.490765450528,100.54652987437068,208.43500102668528,pass_all
7,8.0,2022-10-10 18:30:38,False,True,False,True,0,False,10364.92349,False,True,35.072389488671995,4.785965784696994,,,,fail_operator
8,9.0,2022-10-10 18:43:29,False,True,True,True,0,True,10393.96195,False,True,39.410524803600005,0.0646953317113309,62.8542872722769,26.2015017450212,99.5070727995326,pass_all
9,10.0,2022-10-10 18:56:08,False,True,True,True,1,True,10387.31131,False,True,30.8184427593,4.862621471028408,46.2605178997971,29.7682212751256,62.75281452446861,pass_all
10,11.0,2022-10-10 19:08:35,False,True,True,True,1,True,10356.37381,False,True,144.44891424611998,9.590464221566378,162.114979674609,108.5718749420882,215.65808440712985,pass_all
11,12.0,2022-10-10 19:20:19,False,True,True,True,1,True,10258.25682,False,True,59.12518714776,0.0765946656319854,100.584720025342,58.26508302409889,142.9043570265851,pass_all
12,13.0,2022-10-10 19:31:50,False,True,True,True,1,True,10290.66358,False,True,79.37452046484002,0.0954476187909568,99.5545147192296,33.5246975179262,165.584331920533,pass_all
13,14.0,2022-10-10 19:44:20,False,True,True,True,0,True,10424.39464,False,True,123.51766295484,0.1992481053680052,128.442203377513,81.9471950567316,174.93721169829442,pass_all
14,15.0,2022-10-10 19:56:37,False,True,True,True,1,True,10370.43631,False,True,211.7094982146,0.4942309477095221,217.807869434648,161.10968028803552,274.5060585812605,pass_all
15,16.0,2022-10-10 20:08:41,False,True,True,True,1,True,10401.61686,False,True,205.53018999804,4.817296399728577,146.235790487351,52.474893929635314,239.99668704506672,pass_all
16,17.0,2022-10-10 20:20:08,False,True,True,True,1,True,10250.43631,False,True,229.64802174936,0.5925318866368271,261.894054450007,190.59214175534456,333.1959671446694,pass_all
17,18.0,2022-10-10 20:31:35,False,True,True,True,0,True,10295.43631,False,True,72.50023567152,2.4381549386405457,118.857582257902,101.46077281153268,136.25439170427128,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,10339.63502,False,True,22.9668172524,2.251309355984404,35.6772353376174,30.92205702255784,40.43241365267696,pass_all
19,20.0,2022-10-10 20:55:31,False,True,True,True,1,True,10402.31131,False,True,43.91720615088001,2.657739056695644,49.1865030010551,40.39158300117902,57.98142300093118,pass_all
20,21.0,2022-10-10 21:07:18,False,True,True,True,0,True,10425.29742,False,True,164.1902566662,3.669718452690119,224.988179784443,159.8101716153872,290.1661879534988,pass_all
21,22.0,2022-10-10 21:19:04,False,True,True,True,0,True,10440.60992,False,True,177.39346073472,0.407867964939302,290.355307037442,250.9059822740051,329.8046318008789,pass_all
22,23.0,2022-10-10 21:30:23,False,True,False,True,0,False,10474.3252,False,True,24.97008105160941,1.8252114863651567,,,,fail_operator
23,24.0,2022-10-11 17:16:20,False,True,True,True,1,True,10374.88075,False,True,26.590421858976,0.0675166844567585,44.1129007406353,31.4133403875464,56.8124610937242,pass_all
24,25.0,2022-10-11 17:28:25,True,False,True,True,1,True,10307.55169,False,False,0.0,0.0,,,,pass_all
25,26.0,2022-10-11 17:40:14,False,True,True,True,0,True,10237.96607,False,True,48.03567550739999,0.0729474505825472,74.4294557289771,58.76951245039511,90.08939900755912,pass_all
26,27.0,2022-10-11 17:52:20,False,True,False,True,0,False,10247.65853,False,True,146.73158048844002,0.2679284108340428,,,,fail_operator
27,28.0,2022-10-11 18:04:37,False,True,True,True,0,True,10368.56131,False,True,105.97528788912,0.1272107088223009,189.079806716744,130.7059292342793,247.4536841992087,pass_all
28,29.0,2022-10-11 18:17:11,False,True,True,True,0,True,10324.82733,False,True,119.64961481724,0.1738567249617213,169.92209398945,94.1891100663364,245.6550779125636,pass_all
29,30.0,2022-10-11 18:29:30,False,True,True,True,1,True,10305.85297,False,True,40.60206600012,0.0593922121665982,69.5438279142901,56.941054492572704,82.1466013360075,pass_all
30,31.0,2022-10-11 18:41:30,False,True,True,True,0,True,10263.56131,False,True,75.56000134032001,0.0920117422769212,98.6823867279235,72.99908273075721,124.3656907250898,pass_all
31,32.0,2022-10-11 18:53:37,False,True,False,True,0,False,10305.43631,False,True,154.17560310552005,0.288570557024761,,,,fail_operator
32,33.0,2022-10-11 19:05:39,False,True,True,True,0,True,10322.31131,False,True,169.47915956424,6.381313748530833,175.090687217357,74.42522952558,275.756144909134,pass_all
33,34.0,2022-10-11 19:17:52,False,True,True,True,0,True,10346.44821,False,False,6.613298489484001,0.0754817951154476,,,,pass_all
34,35.0,2022-10-11 19:30:41,False,True,True,True,0,True,10361.07733,False,True,21.010480985088,0.0634184015081135,41.5236604302098,34.48881904809427,48.55850181232533,pass_all
35,36.0,2022-10-11 19:42:49,True,False,True,True,0,True,10365.71408,False,False,0.0,0.0,,,,pass_all
36,37.0,2022-10-11 19:54:25,False,True,True,True,1,True,10369.60297,False,True,42.22622969352001,3.2138718342152948,50.7384903991008,30.729161084441696,70.7478197137599,pass_all
37,38.0,2022-10-11 20:05:50,False,True,True,True,1,True,10314.40411,False,True,16.530569773055998,0.0624773066578032,29.4820162102753,21.91856363275222,37.045468787798384,pass_all
38,39.0,2022-10-11 20:17:29,False,True,True,True,1,True,10273.00041,False,True,175.07505219660004,0.3542195827244866,203.042128847191,117.6069779940567,288.4772797003253,pass_all
39,40.0,2022-10-11 20:29:33,False,True,True,True,1,True,10412.51964,False,True,139.62944559527998,0.2231450613503003,191.539694091702,135.21055516440327,247.8688330190007,pass_all
40,41.0,2022-10-11 20:41:39,False,True,True,True,1,True,10398.56131,False,True,29.413455326712,0.0685774797189358,47.368655369211,27.7046555751929,67.0326551632291,pass_all
41,42.0,2022-10-11 20:53:40,False,True,True,True,1,True,10369.39464,False,True,35.07200673652801,4.845570459962712,53.50172995845,38.7268711840979,68.2765887328021,pass_all
42,43.0,2022-10-11 21:05:19,False,True,False,True,0,False,10271.2994,False,True,89.63734376123999,7.938198982336947,,,,fail_operator
43,44.0,2022-10-11 21:16:39,False,True,True,True,0,True,10325.33214,False,True,88.28344100122105,0.1095334150067722,95.7119808178359,38.5320982789496,152.89186335672218,pass_all
44,45.0,2022-10-12 17:16:03,False,True,False,True,0,False,10150.64464,False,True,277.49704929948,0.7230647912727766,,,,fail_operator
45,46.0,2022-10-12 17:27:44,False,True,False,True,1,False,10169.49881,False,True,67.03532307432,2.3773351993744347,,,,fail_operator
46,47.0,2022-10-12 17:40:47,False,True,False,True,0,False,10328.76964,False,True,14.445786389184,0.0559359101964959,,,,fail_operator
47,48.0,2022-10-12 17:53:21,False,True,True,True,0,True,10277.63328,False,True,46.383036180228,9.017370260501435,80.6105385363987,64.496727823892,96.7243492489054,pass_all
48,49.0,2022-10-12 18:05:46,False,True,True,True,0,True,10145.64464,False,True,48.629279053080005,0.064185319692289,63.0694785698506,44.6800641389241,81.4588930007771,pass_all
49,50.0,2022-10-12 18:18:02,False,True,True,True,0,True,10149.60297,False,True,103.126264752,6.170288803442319,234.558467895901,193.4909338896647,275.6260019021373,pass_all
50,51.0,2022-10-12 18:29:53,False,True,True,True,1,True,10182.72797,False,True,62.895595741440005,0.0964307177067902,88.4661558680701,52.3212423502649,124.61106938587533,pass_all
51,52.0,2022-10-12 18:42:20,False,True,False,False,0,False,10273.58802,True,True,41.65281653568,0.0756822651665929,,,,fail_all
52,53.0,2022-10-12 18:54:32,False,True,True,True,0,True,10270.22797,False,True,83.6914883616,0.1023132052187354,64.6551968240023,30.4632998743035,98.8470937737011,pass_all
53,54.0,2022-10-12 19:06:41,False,True,True,False,0,False,10311.2002,False,True,61.3005262128,0.0780895649387607,93.1599944512605,67.1315214615476,119.1884674409734,fail_stanford
54,55.0,2022-10-12 19:18:47,False,True,True,True,1,True,10177.31131,False,True,11.500741805952,0.0637688058477629,14.7829778239026,9.5516837997394,20.0142718480658,pass_all
55,56.0,2022-10-12 19:29:56,False,True,False,True,0,False,10267.51964,False,True,212.69761462656,0.5168488648841019,,,,fail_operator
56,57.0,2022-10-12 19:41:45,False,True,True,True,1,True,10187.62381,False,True,22.368764339712,3.407219513357464,44.3601396172303,33.4631001307346,55.257179103726,pass_all
57,58.0,2022-10-12 19:53:45,False,True,True,True,1,True,10248.45714,False,True,23.322131781312,0.0614335499548073,11.09671556,4.536293616,17.657137503999998,pass_all
58,59.0,2022-10-12 20:05:30,False,True,True,True,1,True,10244.18364,False,True,88.47154056384001,0.10517987012585,226.894355030555,195.1822640554945,258.6064460056155,pass_all
