,strict,lax,lax_not_strict
Carbon Mapper,55.57327673326728,57.419803533529496,88.34912743792158
GHGSat,36.88428737755972,36.81186282895927,36.36879500222705
Kairos,41.70299337654911,44.28130378928,61.68489907521353
Methane Air,45.82676022055334,42.59136126623885,16.708169631722917
