,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
0,Kairos - LS23,3,1.0,10/24/22,16:46:16,True,True,0.0,0.0,0.0,nan,3.53,clear,True
1,Kairos - LS23,3,2.0,10/24/22,16:49:22,True,True,0.0,0.0,0.0,nan,3.18,clear,True
2,Kairos - LS23,3,3.0,10/24/22,16:52:33,True,True,18.70632281,18.70632281,18.70632281,nan,3.34,clear,True
3,Kairos - LS23,3,4.0,10/24/22,16:55:42,True,True,18.040743355,20.26588248,15.81560423,nan,4.11,clear,True
4,Kairos - LS23,3,5.0,10/24/22,16:59:02,True,True,20.975753535000003,23.79773425,18.15377282,nan,3.49,clear,True
5,Kairos - LS23,3,6.0,10/24/22,17:02:04,True,True,121.91044984999999,124.4332704,119.3876293,nan,4.65,clear,True
6,Kairos - LS23,3,7.0,10/24/22,17:05:21,True,True,397.6462936,400.6163607,394.6762265,nan,6.85,clear,True
7,Kairos - LS23,3,8.0,10/24/22,17:08:22,True,True,89.854613975,110.5615942,69.14763375,nan,3.73,clear,True
8,Kairos - LS23,3,9.0,10/24/22,17:11:38,True,True,0.0,0.0,0.0,nan,4.24,clear,True
9,Kairos - LS23,3,10.0,10/24/22,17:14:38,True,True,0.0,0.0,0.0,nan,2.78,clear,True
10,Kairos - LS23,3,11.0,10/24/22,17:17:54,True,True,0.0,0.0,0.0,nan,3.72,clear,True
11,Kairos - LS23,3,12.0,10/24/22,17:20:59,True,True,12.349605325,13.16771798,11.53149267,nan,4.67,clear,True
12,Kairos - LS23,3,13.0,10/24/22,17:24:13,True,True,14.393457815000001,15.18485068,13.60206495,nan,2.97,clear,True
13,Kairos - LS23,3,14.0,10/24/22,17:27:12,True,True,0.0,0.0,0.0,nan,4.45,clear,True
14,Kairos - LS23,3,15.0,10/24/22,17:30:28,False,False,,,,nan,3.86,KA-Combo,False
15,Kairos - LS23,3,16.0,10/24/22,17:33:39,True,True,3.013573361,6.027146722,0.0,nan,2.53,clear,True
16,Kairos - LS23,3,17.0,10/24/22,17:36:53,True,True,0.0,0.0,0.0,nan,5.77,clear,True
17,Kairos - LS23,3,18.0,10/24/22,17:40:00,True,True,28.343055555,29.21784122,27.46826989,nan,3.5,clear,True
18,Kairos - LS23,3,19.0,10/24/22,17:43:18,True,True,30.97448536,36.34659146,25.60237926,nan,2.39,clear,True
19,Kairos - LS23,3,20.0,10/24/22,17:46:21,True,True,31.21897573,31.70299086,30.7349606,nan,4.84,clear,True
20,Kairos - LS23,3,21.0,10/24/22,17:49:37,True,True,186.42005475,189.9647124,182.8753971,nan,4.34,clear,True
21,Kairos - LS23,3,22.0,10/24/22,17:52:40,True,True,145.66526464999998,148.602854,142.7276753,nan,2.35,clear,True
22,Kairos - LS23,3,23.0,10/24/22,17:57:59,True,True,145.80234130000002,171.9519399,119.6527427,nan,2.93,clear,True
