,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
14,GHGSat-AV,2,15.0,2022-10-31,17:48:10,True,True,257.0,308.0,206.0,1-sigma,2.25,GH-1,True
15,GHGSat-AV,2,16.0,2022-10-31,17:51:19,True,True,864.0,1037.0,691.0,1-sigma,1.88,GH-1,True
16,GHGSat-AV,2,17.0,2022-10-31,17:54:34,True,True,386.0,463.0,309.0,1-sigma,1.862,GH-1,True
17,GHGSat-AV,2,18.0,2022-10-31,17:57:48,True,True,161.0,193.0,129.0,1-sigma,1.519,GH-1,True
18,GHGSat-AV,2,19.0,2022-10-31,18:01:08,True,True,1019.0,1222.0,815.0,1-sigma,1.915,GH-2,True
19,GHGSat-AV,2,20.0,2022-10-31,18:04:17,True,True,1352.0,1622.0,1082.0,1-sigma,1.956,GH-1,True
20,GHGSat-AV,2,21.0,2022-10-31,18:07:32,True,True,28.0,34.0,23.0,1-sigma,1.567,GH-1,True
21,GHGSat-AV,2,22.0,2022-10-31,18:10:53,True,True,405.0,486.0,324.0,1-sigma,1.183,GH-1,True
22,GHGSat-AV,2,23.0,2022-10-31,18:14:30,True,True,386.0,463.0,309.0,1-sigma,0.867,GH-1,True
23,GHGSat-AV,2,24.0,2022-10-31,18:17:42,True,True,262.0,314.0,209.0,1-sigma,1.097,GH-1,True
24,GHGSat-AV,2,25.0,2022-10-31,18:21:14,True,True,25.0,30.0,20.0,1-sigma,0.844,GH-1,True
25,GHGSat-AV,2,26.0,2022-10-31,18:24:19,True,True,370.0,444.0,296.0,1-sigma,1.304,GH-1,True
26,GHGSat-AV,2,27.0,2022-10-31,18:27:41,True,True,587.0,705.0,470.0,1-sigma,0.851,GH-1,True
27,GHGSat-AV,2,28.0,2022-10-31,18:30:54,True,True,227.0,273.0,182.0,1-sigma,0.786,GH-1,True
28,GHGSat-AV,2,29.0,2022-10-31,18:34:19,True,True,325.0,390.0,260.0,1-sigma,0.497,GH-1,True
