,ls23,ls25,qc_ls23,qc_ls25,qc,pod_average,lower_bound,upper_bound
0,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
1,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
2,,20.07188437,KA-1,clear,clear,20.07188437,20.07188437,20.07188437
3,16.97014334,21.7452919,clear,clear,clear,19.357717620000003,16.97014334,21.7452919
4,25.53496885,19.47899824,clear,clear,clear,22.506983544999997,19.47899824,25.53496885
5,133.5168991,128.1029262,clear,clear,clear,130.80991265,128.1029262,133.5168991
6,423.487591,429.861355,clear,clear,clear,426.67447300000003,423.487591,429.861355
7,118.6325906,74.19541101,clear,clear,clear,96.414000805,74.19541101,118.6325906
8,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
9,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
10,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
11,14.12896139,12.37329163,clear,clear,clear,13.25112651,12.37329163,14.12896139
12,14.59501569,16.29334478,clear,clear,clear,15.444180235000001,14.59501569,16.29334478
13,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
14,,,KA-2,KA-2,fail_both_qc,nan,,
15,0.0,6.467128433,clear,clear,clear,3.2335642165,0.0,6.467128433
16,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
17,31.35074363,29.47345359,clear,clear,clear,30.41209861,29.47345359,31.35074363
18,38.99989264,27.47135295,clear,clear,clear,33.235622795,27.47135295,38.99989264
19,32.97861272,34.01730919,clear,clear,clear,33.497960954999996,32.97861272,34.01730919
20,196.2253011,203.8321364,clear,clear,clear,200.02871875,196.2253011,203.8321364
21,153.1467956,159.4508623,clear,clear,clear,156.29882895,153.1467956,159.4508623
22,128.3873929,184.5044315,clear,clear,clear,156.4459122,128.3873929,184.5044315
23,75.05501099,71.86931443,clear,clear,clear,73.46216271,71.86931443,75.05501099
24,46.69750824,46.55315736,clear,clear,clear,46.625332799999995,46.55315736,46.69750824
25,98.39879905,89.69529082,clear,clear,clear,94.047044935,89.69529082,98.39879905
26,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
27,,,KA-3,KA-3,fail_both_qc,nan,,
28,,,KA-4,KA-4,fail_both_qc,nan,,
29,,,KA-4,KA-4,fail_both_qc,nan,,
30,,,KA-3,KA-3,fail_both_qc,nan,,
31,417.3888434,433.370062,clear,clear,clear,425.3794527,417.3888434,433.370062
32,461.9373923,501.7972382,clear,clear,clear,481.86731525,461.9373923,501.7972382
33,,,KA-4,KA-4,fail_both_qc,nan,,
34,154.2055848,165.691399,clear,clear,clear,159.9484919,154.2055848,165.691399
35,163.3665775,174.0995994,clear,clear,clear,168.73308845,163.3665775,174.0995994
36,186.3057282,182.2266133,clear,clear,clear,184.26617075000001,182.2266133,186.3057282
37,30.49826625,37.75975821,clear,clear,clear,34.12901223,30.49826625,37.75975821
38,37.35187928,39.05376346,clear,clear,clear,38.202821369999995,37.35187928,39.05376346
39,,,KA-4,KA-4,fail_both_qc,nan,,
40,6.825822811,8.997675524,clear,clear,clear,7.9117491675,6.825822811,8.997675524
41,0.0,6.465158242,clear,clear,clear,3.232579121,0.0,6.465158242
42,11.62196471,13.86183427,clear,clear,clear,12.74189949,11.62196471,13.86183427
43,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
44,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
45,16.36162302,13.47926456,clear,clear,clear,14.92044379,13.47926456,16.36162302
46,12.69315629,13.28080241,clear,clear,clear,12.986979349999999,12.69315629,13.28080241
47,45.29614938,37.54737414,clear,clear,clear,41.42176176,37.54737414,45.29614938
48,12.24479374,12.87094796,clear,clear,clear,12.55787085,12.24479374,12.87094796
49,8.459139635,11.45731571,clear,clear,clear,9.9582276725,8.459139635,11.45731571
50,22.18954218,18.16861843,clear,clear,clear,20.179080305,18.16861843,22.18954218
51,18.78803893,20.38259574,clear,clear,clear,19.585317335,18.78803893,20.38259574
52,25.2857011,24.88687301,clear,clear,clear,25.086287055,24.88687301,25.2857011
53,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
54,7.987483784,4.585407358,clear,clear,clear,6.286445571,4.585407358,7.987483784
55,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
56,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
57,11.3408702,11.31763071,clear,clear,clear,11.329250455,11.31763071,11.3408702
58,20.37145862,20.42815099,clear,clear,clear,20.399804805,20.37145862,20.42815099
59,16.03721857,16.61611422,clear,clear,clear,16.326666395,16.03721857,16.61611422
60,,,KA-4,KA-4,fail_both_qc,nan,,
61,,,KA-4,KA-4,fail_both_qc,nan,,
62,2.554700911,2.974651746,clear,clear,clear,2.7646763285000002,2.554700911,2.974651746
63,2.420173147,2.471303565,clear,clear,clear,2.4457383559999997,2.420173147,2.471303565
64,2.444476681,1.905477165,clear,clear,clear,2.174976923,1.905477165,2.444476681
65,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
66,8.924652008,9.681307287,clear,clear,clear,9.302979647499999,8.924652008,9.681307287
67,8.344653242,9.031622274,clear,clear,clear,8.688137758,8.344653242,9.031622274
68,,,KA-4,KA-4,fail_both_qc,nan,,
69,,,KA-4,KA-4,fail_both_qc,nan,,
70,,,KA-4,KA-4,fail_both_qc,nan,,
71,15.7379678,15.34254148,clear,clear,clear,15.54025464,15.34254148,15.7379678
72,17.92154071,20.22525482,clear,clear,clear,19.073397765,17.92154071,20.22525482
73,135.4928436,138.7251035,clear,clear,clear,137.10897354999997,135.4928436,138.7251035
74,117.8567049,124.4881454,clear,clear,clear,121.17242515,117.8567049,124.4881454
75,105.7998817,108.205613,clear,clear,clear,107.00274734999999,105.7998817,108.205613
76,,,KA-4,KA-4,fail_both_qc,nan,,
77,,,KA-4,KA-4,fail_both_qc,nan,,
78,,,KA-4,KA-4,fail_both_qc,nan,,
79,,,KA-4,KA-4,fail_both_qc,nan,,
80,,,KA-4,KA-4,fail_both_qc,nan,,
81,,,KA-4,KA-4,fail_both_qc,nan,,
82,,,KA-4,KA-4,fail_both_qc,nan,,
83,,,KA-4,KA-4,fail_both_qc,nan,,
84,,,KA-4,KA-4,fail_both_qc,nan,,
85,,,KA-4,KA-4,fail_both_qc,nan,,
86,,,KA-4,KA-4,fail_both_qc,nan,,
87,,,KA-4,KA-4,fail_both_qc,nan,,
88,,,KA-4,KA-4,fail_both_qc,nan,,
89,19.02258544,20.70795612,clear,clear,clear,19.86527078,19.02258544,20.70795612
90,,,KA-4,KA-4,fail_both_qc,nan,,
91,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
92,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
93,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
94,23.08757392,23.43088357,clear,clear,clear,23.259228745,23.08757392,23.43088357
95,,,KA-3,KA-3,fail_both_qc,nan,,
96,,,KA-4,KA-4,fail_both_qc,nan,,
97,,,KA-4,KA-4,fail_both_qc,nan,,
98,,,KA-4,KA-4,fail_both_qc,nan,,
99,566.007257,682.3884241,clear,clear,clear,624.1978405499999,566.007257,682.3884241
100,,,KA-4,KA-4,fail_both_qc,nan,,
101,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
102,29.72624163,31.80939316,clear,clear,clear,30.767817395,29.72624163,31.80939316
103,30.93758078,26.24057965,clear,clear,clear,28.589080215000003,26.24057965,30.93758078
104,18.86347413,19.82031702,clear,clear,clear,19.341895575000002,18.86347413,19.82031702
105,22.63270433,26.41034459,clear,clear,clear,24.521524460000002,22.63270433,26.41034459
106,122.8624771,128.9283984,clear,clear,clear,125.89543775,122.8624771,128.9283984
107,59.09243337,90.19054824,clear,clear,clear,74.641490805,59.09243337,90.19054824
