,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
0,Kairos - LS23,2,1.0,10/24/22,16:46:16,True,True,0.0,0.0,0.0,nan,3.53,clear,True
1,Kairos - LS23,2,2.0,10/24/22,16:49:22,True,True,0.0,0.0,0.0,nan,3.18,clear,True
2,Kairos - LS23,2,3.0,10/24/22,16:52:33,True,True,20.07188437,20.07188437,20.07188437,nan,3.34,clear,True
3,Kairos - LS23,2,4.0,10/24/22,16:55:42,True,True,19.357717620000003,21.7452919,16.97014334,nan,4.11,clear,True
4,Kairos - LS23,2,5.0,10/24/22,16:59:02,True,True,22.506983544999997,25.53496885,19.47899824,nan,3.49,clear,True
5,Kairos - LS23,2,6.0,10/24/22,17:02:04,True,True,130.80991265,133.5168991,128.1029262,nan,4.65,clear,True
6,Kairos - LS23,2,7.0,10/24/22,17:05:21,True,True,426.67447300000003,429.861355,423.487591,nan,6.85,clear,True
7,Kairos - LS23,2,8.0,10/24/22,17:08:22,True,True,96.414000805,118.6325906,74.19541101,nan,3.73,clear,True
8,Kairos - LS23,2,9.0,10/24/22,17:11:38,True,True,0.0,0.0,0.0,nan,4.24,clear,True
9,Kairos - LS23,2,10.0,10/24/22,17:14:38,True,True,0.0,0.0,0.0,nan,2.78,clear,True
10,Kairos - LS23,2,11.0,10/24/22,17:17:54,True,True,0.0,0.0,0.0,nan,3.72,clear,True
11,Kairos - LS23,2,12.0,10/24/22,17:20:59,True,True,13.25112651,14.12896139,12.37329163,nan,4.67,clear,True
12,Kairos - LS23,2,13.0,10/24/22,17:24:13,True,True,15.444180235000001,16.29334478,14.59501569,nan,2.97,clear,True
13,Kairos - LS23,2,14.0,10/24/22,17:27:12,True,True,0.0,0.0,0.0,nan,4.45,clear,True
14,Kairos - LS23,2,15.0,10/24/22,17:30:28,False,False,,,,nan,3.86,KA-Combo,False
15,Kairos - LS23,2,16.0,10/24/22,17:33:39,True,True,3.2335642165,6.467128433,0.0,nan,2.53,clear,True
16,Kairos - LS23,2,17.0,10/24/22,17:36:53,True,True,0.0,0.0,0.0,nan,5.77,clear,True
17,Kairos - LS23,2,18.0,10/24/22,17:40:00,True,True,30.41209861,31.35074363,29.47345359,nan,3.5,clear,True
18,Kairos - LS23,2,19.0,10/24/22,17:43:18,True,True,33.235622795,38.99989264,27.47135295,nan,2.39,clear,True
19,Kairos - LS23,2,20.0,10/24/22,17:46:21,True,True,33.497960954999996,34.01730919,32.97861272,nan,4.84,clear,True
20,Kairos - LS23,2,21.0,10/24/22,17:49:37,True,True,200.02871875,203.8321364,196.2253011,nan,4.34,clear,True
21,Kairos - LS23,2,22.0,10/24/22,17:52:40,True,True,156.29882895,159.4508623,153.1467956,nan,2.35,clear,True
22,Kairos - LS23,2,23.0,10/24/22,17:57:59,True,True,156.4459122,184.5044315,128.3873929,nan,2.93,clear,True
23,Kairos - LS23,2,24.0,10/24/22,18:01:12,True,True,73.46216271,75.05501099,71.86931443,nan,3.56,clear,True
24,Kairos - LS23,2,25.0,10/24/22,18:04:31,True,True,46.625332799999995,46.69750824,46.55315736,nan,2.02,clear,True
25,Kairos - LS23,2,26.0,10/24/22,18:07:34,True,True,94.047044935,98.39879905,89.69529082,nan,1.62,clear,True
26,Kairos - LS23,2,27.0,10/24/22,18:10:51,True,True,0.0,0.0,0.0,nan,3.97,clear,True
27,Kairos - LS23,2,28.0,10/24/22,18:13:54,False,False,,,,nan,5.49,KA-Combo,False
28,Kairos - LS23,2,29.0,10/24/22,18:17:18,False,False,,,,nan,4.12,KA-Combo,False
29,Kairos - LS23,2,30.0,10/24/22,18:20:26,False,False,,,,nan,2.55,KA-Combo,False
30,Kairos - LS23,2,31.0,10/24/22,18:23:39,False,False,,,,nan,5.59,KA-Combo,False
31,Kairos - LS23,2,32.0,10/24/22,18:26:41,True,True,425.3794527,433.370062,417.3888434,nan,2.83,clear,True
32,Kairos - LS23,2,33.0,10/24/22,18:29:54,True,True,481.86731525,501.7972382,461.9373923,nan,3.81,clear,True
33,Kairos - LS23,2,34.0,10/24/22,18:33:04,False,False,,,,nan,1.81,KA-Combo,False
34,Kairos - LS23,2,35.0,10/24/22,18:39:07,True,True,159.9484919,165.691399,154.2055848,nan,3.18,clear,True
35,Kairos - LS23,2,36.0,10/24/22,18:42:16,True,True,168.73308845,174.0995994,163.3665775,nan,3.49,clear,True
36,Kairos - LS23,2,37.0,10/24/22,18:45:34,True,True,184.26617075000001,186.3057282,182.2266133,nan,4.38,clear,True
37,Kairos - LS23,2,38.0,10/24/22,18:48:36,True,True,34.12901223,37.75975821,30.49826625,nan,4.77,clear,True
38,Kairos - LS23,2,39.0,10/24/22,18:51:57,True,True,38.202821369999995,39.05376346,37.35187928,nan,2.5,clear,True
39,Kairos - LS23,2,40.0,10/24/22,18:55:01,False,False,,,,nan,5.57,KA-Combo,False
40,Kairos - LS23,2,41.0,10/24/22,18:58:14,True,True,7.9117491675,8.997675524,6.825822811,nan,4.33,clear,True
41,Kairos - LS23,2,42.0,10/24/22,19:01:19,True,True,3.232579121,6.465158242,0.0,nan,3.4,clear,True
42,Kairos - LS23,2,43.0,10/24/22,19:04:28,True,True,12.74189949,13.86183427,11.62196471,nan,2.36,clear,True
43,Kairos - LS23,2,44.0,10/24/22,19:07:37,True,True,0.0,0.0,0.0,nan,3.33,clear,True
44,Kairos - LS23,2,45.0,10/24/22,19:11:02,True,True,0.0,0.0,0.0,nan,3.11,clear,True
45,Kairos - LS23,2,46.0,10/24/22,19:14:06,True,True,14.92044379,16.36162302,13.47926456,nan,4.74,clear,True
