,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
0,GHGSat-AV,1,1.0,2022-10-31,17:03:54,True,True,151.0,204.0,98.0,1-sigma,1.6,GH-1,True
1,GHGSat-AV,1,2.0,2022-10-31,17:06:59,True,True,129.0,174.0,84.0,1-sigma,1.57,GH-1,True
2,GHGSat-AV,1,3.0,2022-10-31,17:10:46,True,True,209.0,281.0,137.0,1-sigma,1.57,GH-1,True
3,GHGSat-AV,1,4.0,2022-10-31,17:14:04,True,True,88.0,119.0,57.0,1-sigma,1.54,GH-1,True
4,GHGSat-AV,1,5.0,2022-10-31,17:17:09,True,True,108.0,145.0,71.0,1-sigma,1.53,GH-1,True
5,GHGSat-AV,1,6.0,2022-10-31,17:20:01,True,True,53.0,72.0,34.0,1-sigma,1.51,GH-1,True
6,GHGSat-AV,1,7.0,2022-10-31,17:23:14,True,True,85.0,114.0,56.0,1-sigma,1.49,GH-1,True
7,GHGSat-AV,1,8.0,2022-10-31,17:25:51,True,True,429.0,575.0,283.0,1-sigma,1.49,GH-1,True
8,GHGSat-AV,1,9.0,2022-10-31,17:29:06,True,True,464.0,622.0,306.0,1-sigma,1.48,GH-1,True
9,GHGSat-AV,1,10.0,2022-10-31,17:32:00,True,True,15.0,21.0,9.0,1-sigma,1.46,GH-1,True
10,GHGSat-AV,1,11.0,2022-10-31,17:35:20,True,True,188.0,252.0,124.0,1-sigma,1.44,GH-1,True
11,GHGSat-AV,1,12.0,2022-10-31,17:38:16,True,True,222.0,297.0,147.0,1-sigma,1.42,GH-1,True
12,GHGSat-AV,1,13.0,2022-10-31,17:41:41,True,True,209.0,279.0,139.0,1-sigma,1.4,GH-1,True
13,GHGSat-AV,1,14.0,2022-10-31,17:44:47,True,True,221.0,295.0,147.0,1-sigma,1.38,GH-1,True
14,GHGSat-AV,1,15.0,2022-10-31,17:48:10,True,True,178.0,238.0,118.0,1-sigma,1.36,GH-1,True
15,GHGSat-AV,1,16.0,2022-10-31,17:51:19,True,True,684.0,911.0,457.0,1-sigma,1.35,GH-1,True
