,datetime_utc,flow_rate,meter,qc_flag,meter_sigma_kgh_gas,methane_fraction_km,gas_comp_sigma_km,kgh_ch4_km,combined_uncertainty_kgh_ch4_km,CI95_upper_km,CI95_lower_km,methane_fraction_su_raw,gas_comp_sigma_su_raw,kgh_ch4_su_raw,combined_uncertainty_kgh_ch4_su_raw,CI95_upper_su_raw,CI95_lower_su_raw,methane_fraction_su_normalized,gas_comp_sigma_su_normalized,kgh_ch4_su_normalized,combined_uncertainty_kgh_ch4_su_normalized,CI95_upper_su_normalized,CI95_lower_su_normalized
16011,2022-10-28 20:13:48,20.56068,bc,0,0.026225357142857147,0.950293875,0.0013617132208483,19.538688269835,0.03748292840761775,19.61215480951393,19.465221730156067,0.87,0.0225,17.8877916,0.4631775992215167,18.795619694474173,16.979963505525827,0.87,0.0225,17.8877916,0.4631775992215167,18.795619694474173,16.979963505525827
16012,2022-10-28 20:13:49,20.57976,bc,0,0.026249693877551022,0.950293875,0.0013617132208483,19.55681987697,0.03751771199814186,19.63035459248636,19.48328516145364,0.87,0.0225,17.9043912,0.46360742102668784,18.81306174521231,16.99572065478769,0.87,0.0225,17.9043912,0.46360742102668784,18.81306174521231,16.99572065478769
16013,2022-10-28 20:13:50,20.57544,bc,0,0.026244183673469392,0.950293875,0.0013617132208483,19.552714607429998,0.03750983646821187,19.62623388690769,19.479195327952304,0.87,0.0225,17.9006328,0.4635101028821208,18.809112601648955,16.992152998351045,0.87,0.0225,17.9006328,0.4635101028821208,18.809112601648955,16.992152998351045
16014,2022-10-28 20:13:51,20.547,bc,0,0.02620790816326531,0.950293875,0.0013617132208483,19.525688249625,0.03745798922950612,19.59910590851483,19.452270590735168,0.87,0.0225,17.875890000000002,0.4628694250970544,18.78311407319023,16.968665926809773,0.87,0.0225,17.875890000000002,0.4628694250970544,18.78311407319023,16.968665926809773
16015,2022-10-28 20:13:52,20.51604,bc,0,0.02616841836734694,0.950293875,0.0013617132208483,19.496267151255,0.03740154793167454,19.569574185201084,19.422960117308918,0.87,0.0225,17.8489548,0.46217197839432383,18.754811877652877,16.943097722347126,0.87,0.0225,17.8489548,0.46217197839432383,18.754811877652877,16.943097722347126
16016,2022-10-28 20:13:53,20.53512,bc,0,0.02619275510204082,0.950293875,0.0013617132208483,19.514398758389998,0.03743633152219865,19.587773968173508,19.441023548606488,0.87,0.0225,17.8655544,0.462601800199495,18.77225392839101,16.95885487160899,0.87,0.0225,17.8655544,0.462601800199495,18.77225392839101,16.95885487160899
16017,2022-10-28 20:13:54,20.54268,bc,0,0.026202397959183676,0.950293875,0.0013617132208483,19.521582980085,0.03745011369957613,19.59498520293617,19.448180757233832,0.87,0.0225,17.8721316,0.46277210695248727,18.779164929626873,16.965098270373126,0.87,0.0225,17.8721316,0.46277210695248727,18.779164929626873,16.965098270373126
16018,2022-10-28 20:13:55,20.54556,bc,0,0.02620607142857143,0.950293875,0.0013617132208483,19.524319826444998,0.03745536405286279,19.59773233998861,19.450907312901386,0.87,0.0225,17.8746372,0.46283698571553195,18.781797692002442,16.967476707997555,0.87,0.0225,17.8746372,0.46283698571553195,18.781797692002442,16.967476707997555
16019,2022-10-28 20:13:56,20.52756,bc,0,0.026183112244897964,0.950293875,0.0013617132208483,19.507214536695,0.03742254934482117,19.580562733410847,19.43386633997915,0.87,0.0225,17.8589772,0.46243149344650264,18.765342927155146,16.952611472844858,0.87,0.0225,17.8589772,0.46243149344650264,18.765342927155146,16.952611472844858
16020,2022-10-28 20:13:57,20.54844,bc,0,0.026209744897959186,0.950293875,0.0013617132208483,19.527056672805,0.03746061440614945,19.600479477041052,19.453633868568946,0.87,0.0225,17.877142799999998,0.4629018644785767,18.784430454378008,16.969855145621988,0.87,0.0225,17.877142799999998,0.4629018644785767,18.784430454378008,16.969855145621988
