,datetime_utc,flow_rate,meter,qc_flag,meter_sigma_kgh_gas,methane_fraction_km,gas_comp_sigma_km,kgh_ch4_km,combined_uncertainty_kgh_ch4_km,CI95_upper_km,CI95_lower_km,methane_fraction_su_raw,gas_comp_sigma_su_raw,kgh_ch4_su_raw,combined_uncertainty_kgh_ch4_su_raw,CI95_upper_su_raw,CI95_lower_su_raw,methane_fraction_su_normalized,gas_comp_sigma_su_normalized,kgh_ch4_su_normalized,combined_uncertainty_kgh_ch4_su_normalized,CI95_upper_su_normalized,CI95_lower_su_normalized
2750,2022-10-27 16:35:50,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2751,2022-10-27 16:35:51,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2752,2022-10-27 16:35:52,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2753,2022-10-27 16:35:53,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2754,2022-10-27 16:35:54,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2755,2022-10-27 16:35:55,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2756,2022-10-27 16:35:56,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2757,2022-10-27 16:35:57,0.0,pc,2,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2758,2022-10-27 16:35:58,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2759,2022-10-27 16:35:59,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2760,2022-10-27 16:36:00,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
2761,2022-10-27 16:36:01,0.0,pc,3,0.0,0.950644,0.0013657668785948,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0,0.88,0.0225,0.0,0.0,0.0,0.0
