,bin_median,detection_prob_mean,detection_prob_two_sigma_upper,detection_prob_two_sigma_lower,n_data_points,n_detected
0,5.0,0.0,0.0,0.0,3,0
1,15.0,1.0,0.0,0.0,3,3
2,25.0,1.0,0.0,0.0,6,6
3,35.0,1.0,0.0,0.0,5,5
4,45.0,1.0,0.0,0.0,5,5
