,bin_median,detection_prob_mean,detection_prob_two_sigma_upper,detection_prob_two_sigma_lower,n_data_points,n_detected
0,2.5,0.0851063829787234,0.0814043161357683,0.0814043161357683,47,4
1,7.5,0.7272727272727273,0.18990289740621583,0.18990289740621583,22,16
2,12.5,0.9444444444444444,0.05555555555555558,0.10798059064528337,18,17
3,17.5,1.0,0.0,0.0,12,12
4,22.5,1.0,0.0,0.0,8,8
