,bin_median,detection_prob_mean,detection_prob_two_sigma_upper,detection_prob_two_sigma_lower,n_data_points,n_detected
0,2.5,0.08695652173913043,0.08308983355703559,0.08308983355703559,46,4
1,7.5,0.7391304347826086,0.18312107430340016,0.18312107430340016,23,17
2,12.5,0.8947368421052632,0.10526315789473684,0.14081180085472392,19,17
3,17.5,1.0,0.0,0.0,13,13
4,22.5,1.0,0.0,0.0,7,7
5,27.5,1.0,0.0,0.0,6,6
