,bin_median,detection_prob_mean,detection_prob_two_sigma_upper,detection_prob_two_sigma_lower,n_data_points,n_detected
0,2.5,1.0,0.0,0.0,47,47
1,7.5,1.0,0.0,0.0,23,23
2,12.5,1.0,0.0,0.0,19,19
3,17.5,1.0,0.0,0.0,13,13
4,22.5,1.0,0.0,0.0,8,8
