,bin_median,detection_prob_mean,detection_prob_two_sigma_upper,detection_prob_two_sigma_lower,n_data_points,n_detected
0,1.25,0.0,0.0,0.0,30,0
1,3.75,0.29411764705882354,0.22102033803005275,0.22102033803005275,17,5
2,6.25,0.375,0.3423265984407288,0.3423265984407288,8,3
3,8.75,0.9333333333333333,0.06666666666666665,0.1288122377439061,15,14
4,11.25,0.9090909090909091,0.09090909090909094,0.17335683440828953,11,10
5,13.75,1.0,0.0,0.0,8,8
6,16.25,1.0,0.0,0.0,2,2
7,18.75,1.0,0.0,0.0,11,11
8,21.25,1.0,0.0,0.0,1,1
9,23.75,1.0,0.0,0.0,6,6
