,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,release_kgh_stdev,operator_quantification,operator_lower,operator_upper,qc_summary
185,186.0,2022-10-26 19:37:39,False,True,True,True,0,True,1323.991731016028,False,False,0.6593956284444,0.0202264855246932,0.0,,,pass_all
188,189.0,2022-10-26 19:47:23,False,True,True,True,0,True,1268.74347892,False,False,1.65993918486,0.0252106969029392,0.0,,,pass_all
197,198.0,2022-10-26 20:15:42,False,True,True,True,1,True,1313.132150616028,False,True,12.166185590496,0.0253849382384618,12.89376,,,pass_all
198,199.0,2022-10-26 20:18:51,False,True,True,True,1,True,1262.09649708,False,True,12.106535706342,0.024159532262626,11.71968,,,pass_all
199,200.0,2022-10-26 20:22:00,False,True,True,True,1,True,1284.177643783972,False,True,12.078927925242002,0.0236866138717179,10.34456,,,pass_all
211,212.0,2022-10-27 16:53:38,False,True,True,True,0,True,1408.370561143972,False,True,6.977539364280001,0.0245919470966102,16.37624,,,pass_all
215,216.0,2022-10-27 17:06:28,False,True,True,True,1,True,1387.0183078360285,False,False,2.246917611165,0.0250246953955511,0.0,,,pass_all
216,217.0,2022-10-27 17:09:35,False,True,True,True,1,True,1375.14604138,False,False,2.2282536126762005,0.0218404410506065,0.0,,,pass_all
220,221.0,2022-10-27 17:22:21,False,True,True,True,0,True,1397.2539817200002,False,True,7.923404714070001,0.0235061501241228,13.87952,,,pass_all
221,222.0,2022-10-27 17:25:47,False,True,True,True,0,True,1407.1205611039718,False,True,7.872532396607999,0.0248517666942457,7.22912,,,pass_all
222,223.0,2022-10-27 17:28:58,False,True,True,True,0,True,1407.562381,False,True,7.855478187912001,0.0239358532238649,15.2684,,,pass_all
223,224.0,2022-10-27 17:32:16,False,True,True,True,0,True,1405.5293537039722,False,False,4.441477207782001,0.0318084359468992,0.0,,,pass_all
224,225.0,2022-10-27 17:35:24,False,True,True,True,0,True,1408.792149083972,False,True,4.417865439534,0.0240515463716772,10.608,,,pass_all
225,226.0,2022-10-27 17:38:48,False,True,True,True,0,True,1395.23134386,False,False,4.4152526619,0.0263107974922072,0.0,,,pass_all
226,227.0,2022-10-27 17:41:52,False,True,True,True,0,True,1412.1369654639718,False,False,4.416254511276,0.0222264052392595,0.0,,,pass_all
227,228.0,2022-10-27 17:45:13,False,True,True,True,0,True,1397.081190703972,False,True,23.500927276128,0.0272755683017207,24.52352,,,pass_all
228,229.0,2022-10-27 17:48:22,False,True,True,True,0,True,1425.55614798,False,True,23.523514425696003,0.0277708693691771,17.81248,,,pass_all
229,230.0,2022-10-27 17:51:41,False,True,True,True,0,True,1362.9626420400002,False,True,23.547388040940003,0.0286093513234963,25.8136,,,pass_all
230,231.0,2022-10-27 17:54:46,False,True,True,True,1,True,1403.37766958,False,False,1.3874999086392,0.0269512003426426,0.0,,,pass_all
231,232.0,2022-10-27 17:58:03,False,True,True,True,1,True,1360.78252386,False,False,5.9017580581920015,0.0259094694312048,0.0,,,pass_all
232,233.0,2022-10-27 18:01:09,False,True,True,True,1,True,1397.3644367760278,False,False,5.897522967648001,0.0249987492433497,0.0,,,pass_all
233,234.0,2022-10-27 18:04:29,False,True,True,True,1,True,1368.1239502760282,False,False,5.886997856874001,0.0233534596538792,0.0,,,pass_all
243,244.0,2022-10-27 18:37:32,False,True,True,True,0,True,1420.2931337039722,False,False,2.74509575187,0.0292563659853292,0.0,,,pass_all
244,245.0,2022-10-27 18:40:34,False,True,True,True,0,True,1427.040181163972,False,False,2.6134498977006,0.0236315178874397,0.0,,,pass_all
245,246.0,2022-10-27 18:43:55,False,True,True,True,0,True,1463.922837856028,False,True,11.614189353624,0.0221876620749686,7.22688,,,pass_all
246,247.0,2022-10-27 18:47:05,False,True,True,True,0,True,1441.68147658,False,True,11.535999563687998,0.0263541926026737,8.07296,,,pass_all
247,248.0,2022-10-27 18:50:27,False,True,True,True,0,True,1380.384995943972,False,True,11.621691839291998,0.0267802784125371,6.5416,,,pass_all
249,250.0,2022-10-27 18:56:59,False,True,True,True,0,True,1386.2117677839722,False,True,14.254574768724002,0.027563096931404,4.8608,,,pass_all
250,251.0,2022-10-27 19:00:06,False,True,True,True,0,True,1367.3201444760282,False,True,14.228754377988002,0.0207281619655751,29.37312,,,pass_all
251,252.0,2022-10-27 19:03:30,False,True,True,True,1,True,1359.1989716439718,False,True,22.209640200006,0.024084623984338,12.80272,,,pass_all
252,253.0,2022-10-27 19:06:40,False,True,True,True,1,True,1380.7579182,False,True,15.960291639276,0.0268932463904936,9.03096,,,pass_all
254,255.0,2022-10-27 19:13:12,False,True,True,True,0,True,1382.2840557160278,False,False,2.2077139927704,0.0246806759624466,0.0,,,pass_all
