,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
2,3.0,2022-10-24 16:52:32,False,True,True,True,1,True,False,True,17.84613948,25.85856,25.85856,25.85856,pass_all
3,4.0,2022-10-24 16:55:42,False,True,True,True,1,True,False,True,17.81225535,20.04708,17.57448,22.51968,pass_all
4,5.0,2022-10-24 16:59:01,False,True,True,True,1,True,False,True,17.83283458,27.09712,23.43744,30.7568,pass_all
8,9.0,2022-10-24 17:11:37,False,True,True,True,1,True,False,True,1.631503045,0.0,0.0,0.0,pass_all
9,10.0,2022-10-24 17:14:38,False,True,True,True,1,True,False,True,1.575648581,0.0,0.0,0.0,pass_all
10,11.0,2022-10-24 17:17:53,False,True,True,True,1,True,False,True,1.533378077,0.0,0.0,0.0,pass_all
11,12.0,2022-10-24 17:20:59,False,True,True,True,1,True,False,True,12.29183884,10.79068,10.07584,11.50552,pass_all
12,13.0,2022-10-24 17:24:12,False,True,True,True,1,True,False,True,12.30932439,19.50864,18.436,20.58128,pass_all
13,14.0,2022-10-24 17:27:11,False,True,True,True,1,True,False,True,3.296867226,0.0,0.0,0.0,pass_all
15,16.0,2022-10-24 17:33:38,False,True,True,True,1,True,False,True,3.23067089,4.57028,0.0,9.14056,pass_all
16,17.0,2022-10-24 17:36:52,False,True,True,True,1,True,False,True,3.225980206,0.0,0.0,0.0,pass_all
40,41.0,2022-10-24 18:58:14,False,True,True,True,1,True,False,True,8.725007707,5.55696,4.79424,6.31968,pass_all
41,42.0,2022-10-24 19:01:19,False,True,True,True,1,True,False,True,8.665007208,2.89592,0.0,5.79184,pass_all
42,43.0,2022-10-24 19:04:27,False,True,True,True,1,True,False,True,8.623646173,16.54632,15.092,18.00064,pass_all
43,44.0,2022-10-24 19:07:37,False,True,True,True,0,True,False,True,4.107388342,0.0,0.0,0.0,pass_all
44,45.0,2022-10-24 19:11:01,False,True,True,True,0,True,False,True,4.047485037,0.0,0.0,0.0,pass_all
