,bin_median,detection_prob_mean,detection_prob_two_sigma_upper,detection_prob_two_sigma_lower,n_data_points,n_detected
0,2.5,0.08333333333333333,0.15957118462605635,0.08333333333333333,12,1
1,7.5,1.0,0.0,0.0,4,4
2,12.5,1.0,0.0,0.0,7,7
3,17.5,0.9230769230769231,0.07692307692307687,0.1478106035123881,13,12
4,22.5,1.0,0.0,0.0,14,14
