,datetime_utc,flow_rate,meter,qc_flag,meter_sigma_kgh_gas,methane_fraction_km,gas_comp_sigma_km,kgh_ch4_km,combined_uncertainty_kgh_ch4_km,CI95_upper_km,CI95_lower_km,methane_fraction_su_raw,gas_comp_sigma_su_raw,kgh_ch4_su_raw,combined_uncertainty_kgh_ch4_su_raw,CI95_upper_su_raw,CI95_lower_su_raw,methane_fraction_su_normalized,gas_comp_sigma_su_normalized,kgh_ch4_su_normalized,combined_uncertainty_kgh_ch4_su_normalized,CI95_upper_su_normalized,CI95_lower_su_normalized
3361,2022-11-10 18:00:01,1268.676,pc,0,1.6182091836734696,0.953674,0.0016625803238741,1209.903315624,2.613550522048966,1215.025874647216,1204.7807566007841,1.0,0.0225,1268.676,28.591040815371255,1324.7144399981275,1212.6375600018723,0.95,0.0225,1205.2422,28.586575543643168,1261.2718880655405,1149.2125119344594
3362,2022-11-10 18:00:02,1271.16,pc,0,1.6213775510204085,0.953674,0.0016625803238741,1212.27224184,2.6186677146945034,1217.4048305608014,1207.1396531191988,1.0,0.0225,1271.16,28.647020549665424,1327.3081602773443,1215.0118397226558,0.95,0.0225,1207.602,28.64254653517325,1263.7413912089396,1151.4626087910606
3363,2022-11-10 18:00:03,1274.868,pc,0,1.626107142857143,0.953674,0.0016625803238741,1215.808465032,2.626306422556682,1220.956025620211,1210.660904443789,1.0,0.0225,1274.868,28.730584500858157,1331.179945621682,1218.5560543783179,0.95,0.0225,1211.1245999999999,28.72609743557321,1267.4277509737233,1154.8214490262765
3364,2022-11-10 18:00:04,1278.72,pc,0,1.6310204081632655,0.953674,0.0016625803238741,1219.48201728,2.6342417792678776,1224.645131167365,1214.318903392635,1.0,0.0225,1278.72,28.817393654038963,1335.2020915619164,1222.2379084380837,0.95,0.0225,1214.7839999999999,28.81289303113434,1271.2572703410233,1158.3107296589765
3365,2022-11-10 18:00:05,1275.228,pc,0,1.6265663265306125,0.953674,0.0016625803238741,1216.1517876720002,2.627048044679224,1221.3008018395715,1211.002773504429,1.0,0.0225,1275.228,28.738697505828327,1331.5558471114236,1218.9001528885765,0.95,0.0225,1211.4666,28.73420917347612,1267.7856499800132,1155.1475500199867
3366,2022-11-10 18:00:06,1267.848,pc,0,1.61715306122449,0.953674,0.0016625803238741,1209.113673552,2.6118447911671203,1214.2328893426875,1203.9944577613123,1.0,0.0225,1267.848,28.57238090393987,1323.849866571722,1211.8461334282779,0.95,0.0225,1204.4556,28.56791854646648,1260.4487203510744,1148.4624796489256
3367,2022-11-10 18:00:07,1263.888,pc,0,1.6121020408163265,0.953674,0.0016625803238741,1205.337124512,2.6036869478191624,1210.4403509297256,1200.2338980942743,1.0,0.0225,1263.888,28.48313784926801,1319.7149501845652,1208.0610498154347,0.95,0.0225,1200.6935999999998,28.478689429534473,1256.5118312818875,1144.8753687181122
3368,2022-11-10 18:00:08,1255.32,pc,0,1.601173469387755,0.953674,0.0016625803238741,1197.16604568,2.5860363413026715,1202.2346769089534,1192.0974144510467,1.0,0.0225,1255.32,28.290048330978,1310.7684947287169,1199.871505271283,0.95,0.0225,1192.5539999999999,28.285630067445226,1247.9938349321924,1137.1141650678073
3369,2022-11-10 18:00:09,1257.624,pc,0,1.6041122448979594,0.953674,0.0016625803238741,1199.363310576,2.590782722886938,1204.4412447128584,1194.2853764391416,1.0,0.0225,1257.624,28.34197156278708,1313.1742642630627,1202.0737357369374,0.95,0.0225,1194.7428,28.33754519002385,1250.2843885724467,1139.2012114275533
3370,2022-11-10 18:00:10,1263.24,pc,0,1.6112755102040819,0.953674,0.0016625803238741,1204.71914376,2.6023520279985872,1209.8197537348772,1199.6185337851227,1.0,0.0225,1263.24,28.46853444032171,1319.0383275030306,1207.4416724969694,0.95,0.0225,1200.078,28.46408830130924,1255.867613070566,1144.288386929434
3371,2022-11-10 18:00:11,1262.34,pc,0,1.6101275510204083,0.953674,0.0016625803238741,1203.8608371599998,2.600497972692233,1208.9578131864766,1198.763861133523,1.0,0.0225,1262.34,28.448251927896287,1318.0985737786766,1206.5814262213232,0.95,0.0225,1199.223,28.443808956551962,1254.9728655548417,1143.4731344451582
3372,2022-11-10 18:00:12,1269.54,pc,0,1.619311224489796,0.953674,0.0016625803238741,1210.72728996,2.615330415143066,1215.8533375736804,1205.6012423463196,1.0,0.0225,1269.54,28.61051202729966,1325.6166035735073,1213.4633964264926,0.95,0.0225,1206.0629999999999,28.606043714610152,1262.1308456806357,1149.995154319364
3373,2022-11-10 18:00:13,1267.884,pc,0,1.617198979591837,0.953674,0.0016625803238741,1209.148005816,2.6119189533793743,1214.2673669646235,1204.0286446673765,1.0,0.0225,1267.884,28.573192204436886,1323.8874567206963,1211.8805432793038,0.95,0.0225,1204.4898,28.568729720256773,1260.4845102517033,1148.4950897482968
3374,2022-11-10 18:00:14,1267.272,pc,0,1.6164183673469388,0.953674,0.0016625803238741,1208.564357328,2.6106581957710535,1213.6812473917112,1203.4474672642887,1.0,0.0225,1267.272,28.5594000959876,1323.2484241881357,1211.2955758118642,0.95,0.0225,1203.9083999999998,28.554939765821818,1259.8760819410106,1147.940718058989
3375,2022-11-10 18:00:15,1263.276,pc,0,1.6113214285714288,0.953674,0.0016625803238741,1204.753476024,2.6024261902108416,1209.8542313568132,1199.652720691187,1.0,0.0225,1263.276,28.469345740818728,1319.0759176520048,1207.4760823479953,0.95,0.0225,1200.1122,28.46489947509953,1255.9034029711952,1144.3209970288049
