,release_rate,release_sigma,operator_report,operator_sigma
0,205.23387501000005,0.6705249334767854,177,55
1,97.04010463392,0.3173453650486966,61,44
3,982.4968482504,27.562196202649133,908,247
5,468.3340060848,2.3022456982254123,669,259
7,634.5679888872,4.64731611126644,544,170
8,142.13504332512002,0.3129368924734944,303,120
9,74.6547387708,0.1728874188574847,89,100
10,63.03198935766,0.1297052165351923,140,51
12,340.156216364895,1.851651648583372,196,98
13,671.7444153367501,5.823738274782674,787,496
14,405.58801998802505,2.6946600050293408,644,373
15,33.60693741122025,0.1724630282247319,94,100
16,337.5601057220175,1.8730151598963256,388,92
17,818.3025172712252,12.4732101909255,958,410
18,1060.77148363305,29.661424010258465,1199,313
19,1289.3507118009002,34.593853518220214,1489,485
20,585.3206487838501,4.993826244134245,579,182
23,168.86279184012,0.8511460509525397,112,132
