,release_rate,release_sigma,operator_report,operator_sigma
0,205.23387501000005,0.6705249334767854,157.1,19.30000000000001
1,97.04010463392,0.3173453650486966,66.3,7.1000000000000085
3,982.4968482504,27.562196202649133,927.0,92.79999999999995
5,468.3340060848,2.3022456982254123,568.4,47.200000000000045
7,634.5679888872,4.64731611126644,556.9,70.89999999999998
8,142.13504332512002,0.3129368924734944,256.1,21.599999999999966
9,74.6547387708,0.1728874188574847,141.2,14.800000000000011
10,63.03198935766,0.1297052165351923,132.6,16.5
12,340.156216364895,1.851651648583372,82.8,12.100000000000009
13,671.7444153367501,5.823738274782674,626.6,50.89999999999998
14,405.58801998802505,2.6946600050293408,802.4,84.20000000000005
15,33.60693741122025,0.1724630282247319,94.2,10.5
16,337.5601057220175,1.8730151598963256,493.4,43.10000000000002
17,818.3025172712252,12.4732101909255,1207.6,106.90000000000009
18,1060.77148363305,29.661424010258465,1509.6,99.40000000000009
19,1289.3507118009002,34.593853518220214,1669.5,154.0999999999999
20,585.3206487838501,4.993826244134245,719.8,60.80000000000007
23,168.86279184012,0.8511460509525397,192.5,36.0
