,release_rate,release_sigma,operator_report,operator_sigma
5,113.41300844316,0.3482569600203798,119.3876293,0
6,113.2451659296,0.3337531525220546,400.6163607,0
7,112.91981141904,0.3417541251565024,69.14763375,0
32,439.9761326796,2.380188212121683,467.6581903,0
34,164.1414073386,0.5258080556573973,154.4188248,0
35,163.32052859964,0.5468446104630466,162.2549855,0
36,162.58025059428005,0.510026567832401,169.8290897,0
37,43.004861978760005,0.1388817372479357,35.19082778,0
38,42.5773375242,0.1459115738350247,36.39679726,0
54,5.35713911094,0.0264704753139172,4.273445814,0
146,59.73354462408,0.1340647698964716,52.45730938,0
147,59.63441146776001,0.130189567269067,147.9924162,0
148,59.32543315488,0.1326516155691517,61.44625989,0
150,88.36545889944,0.1921684302195981,60.79804441,0
151,88.211682726,0.201116773736199,90.30329667,0
152,73.802296296,0.1587853461182536,101.1236925,0
153,73.98116947103999,0.1654354287766439,66.71043473,0
154,73.92327525144,0.1605272791033228,70.64722193,0
159,1041.956208132,27.960059232812178,1138.116708,0
161,1022.9258362824,23.637036218054803,1023.509139,0
162,1019.7385170792,26.749337156149423,2040.360264,0
163,1021.9476236064,33.36360397318923,1490.593688,0
211,6.991682413920001,0.0280650246578935,4.971969924,0
217,31.917077561616,0.0793469568207001,24.24215768,0
218,32.087919696144,0.0721213160630751,46.10698845,0
220,7.939464975479999,0.0280613880706638,5.258698515,0
221,7.888489542912,0.0291513081738288,4.116934519,0
222,7.871400766368001,0.0283538032365277,5.30701583,0
227,23.548562232192,0.0528558674532402,23.48315278,0
228,23.571195164544,0.0531512387476962,10.29863321,0
229,23.595117170159995,0.0536347310498883,18.95800941,0
246,11.559382336032,0.0345042870633929,4.389658402,0
247,11.645248304688002,0.0349375405692744,7.218248204,0
249,14.283467928336,0.0389336366026383,8.260699446,0
250,14.257595201232,0.0343757981503314,14.79230551,0
271,25.379137528896003,0.0625132731433301,30.77918694,0
275,6.122644606062,0.0800109652169219,4.261579721,0
281,18.92499038594775,0.0440512568336884,22.75405325,0
299,583.676389847025,5.012155560871746,642.1006363,0
300,595.6512330246751,4.5765826580154,630.2916727,0
316,17.600887011690002,0.0527296063529154,12.35331349,0
320,13.285992145803752,0.0355696502320409,8.980860938,0
331,486.9625114242,3.0944920803038563,549.9582138,0
336,49.24048444463249,0.1166012953285081,24.33940708,0
343,9.411912000301502,0.0896454396856851,11.62219289,0
345,382.07857644045,1.808086736372981,391.5990303,0
346,381.4753298886,1.6725578785720774,400.6947468,0
