,release_rate,operator_report,operator_sigma
3,17.81225535,16.97014334,0.0
4,17.83283458,25.53496885,0.0
5,107.8631535,133.5168991,0.0
6,107.7383613,423.487591,0.0
7,107.4374594,118.6325906,0.0
11,12.29183884,14.12896139,0.0
12,12.30932439,14.59501569,0.0
17,28.25064697,31.35074363,0.0
18,28.27962929,38.99989264,0.0
19,28.27273123,32.97861272,0.0
20,186.779311,196.2253011,0.0
21,187.2966658,153.1467956,0.0
22,188.4627523,128.3873929,0.0
24,59.06227355,46.69750824,0.0
32,432.1277809,461.9373923,0.0
34,161.27769,154.2055848,0.0
35,160.3907496,163.3665775,0.0
36,159.7608308,186.3057282,0.0
37,42.24333159,30.49826625,0.0
38,41.83976452,37.35187928,0.0
40,8.725007707,6.825822811,0.0
42,8.623646173,11.62196471,0.0
46,17.89883124,12.69315629,0.0
47,17.83948949,45.29614938,0.0
48,17.796109,12.24479374,0.0
49,17.74250164,8.459139635,0.0
50,26.32781057,22.18954218,0.0
51,26.40110491,18.78803893,0.0
52,31.39735593,25.2857011,0.0
54,5.264590183,7.987483784,0.0
57,13.91607676,11.3408702,0.0
58,13.89269644,20.37145862,0.0
59,13.90705941,16.03721857,0.0
74,95.68848412,117.8567049,0.0
75,95.2703381,105.7998817,0.0
99,457.2370608,566.007257,0.0
103,24.1973609,30.93758078,0.0
104,23.93817948,18.86347413,0.0
105,23.83237946,22.63270433,0.0
109,616.9532908,817.2654796,0.0
110,621.6563536,776.65083,0.0
111,622.0267671,779.5002012,0.0
119,8.341376009,5.177284035,0.0
120,8.296980392,7.333878228,0.0
121,139.4489989,166.9145978,0.0
122,139.155692,109.3338785,0.0
146,58.42931922,57.79354431,0.0
147,58.32478271,155.8791285,0.0
148,58.06160558,66.88049638,0.0
150,86.43646339,64.95810847,0.0
151,86.31194832,92.64239333,0.0
152,72.17381788,107.8777147,0.0
153,72.34098989,63.71622219,0.0
154,72.30265264,75.34083323,0.0
159,1020.378889,1191.672538,0.0
161,1005.268613,1079.092911,0.0
162,994.4823458,2183.988605,0.0
163,1001.347414,1535.465077,0.0
176,4.147388675,6.724110281,0.0
177,4.129137983,3.419416085,0.0
178,4.11718324,2.829097843,0.0
193,45.6843969,46.95319834,0.0
194,45.71128697,37.93987879,0.0
197,11.91724806,8.762615889,0.0
198,11.86199922,8.433016162,0.0
199,11.8398716,8.781718735,0.0
211,6.842324676,5.683745664,0.0
217,31.24406092,25.87623918,0.0
218,31.39134076,48.23225702,0.0
220,7.768153103,7.58009712,0.0
221,7.712623484,6.028548303,0.0
222,7.700668741,9.894573452,0.0
224,4.337066277,6.78834693,0.0
227,23.03911153,24.38861676,0.0
228,23.05483521,17.73063896,0.0
229,23.09059144,24.35118308,0.0
234,510.6478718,509.4787758,0.0
235,523.5183891,568.0253303,0.0
236,526.01625,515.5602227,0.0
237,526.1544801,619.0184739,0.0
238,528.3380836,481.994171,0.0
239,524.8488537,605.1380041,0.0
240,523.743013,472.9107359,0.0
245,11.38752443,8.26719974,0.0
246,11.29654095,7.801108864,0.0
247,11.38545098,7.397082331,0.0
249,13.96793464,5.909153671,0.0
250,13.9434744,22.80576956,0.0
251,21.76907938,15.52236364,0.0
252,15.64309975,11.61646721,0.0
256,10.27511778,7.794368065,0.0
257,10.26289306,7.453667177,0.0
258,10.24193176,10.59053603,0.0
271,24.83424524,27.0695804,0.0
275,5.927511458,9.887921242,0.0
281,18.52445199,23.2547776,0.0
291,9.453501881,5.889393556,0.0
292,9.456547263,13.88294807,0.0
293,17.29282188,8.689108252,0.0
294,17.28060796,16.30274505,0.0
299,572.9421259,664.4103323,0.0
300,583.2532267,646.8673423,0.0
302,477.138954,710.6163453,0.0
303,482.2577871,424.6402564,0.0
309,9.497098356,8.842461088,0.0
316,17.25004615,12.10542787,0.0
317,300.9164314,231.6037672,0.0
320,12.99522678,4.676519191,0.0
324,7.4222647,5.55865644,0.0
325,7.408711671,7.261293583,0.0
327,57.33535764,60.93555836,0.0
331,477.1292347,571.1530111,0.0
333,50.4618664,35.99652838,0.0
336,48.17642625,27.50964628,0.0
343,9.13869365,6.985613074,0.0
345,374.000948,420.9155468,0.0
346,373.1143315,416.8107764,0.0
348,111.1656106,109.5369851,0.0
