,release_rate,operator_report,operator_sigma
2,18.77358352288764,25.85856,0.0
3,18.73793847545648,20.04708,2.4726
4,18.7595871841218,27.09712,3.659679999999998
5,113.4686818025648,116.59392,2.4128000000000043
6,113.3374041959116,255.08768,1.9052799999999763
7,113.0208647059056,104.5024,24.08256
11,12.93063204586412,10.79068,0.7148400000000006
12,12.9490263015212,19.50864,1.0726399999999998
15,3.398565267255356,4.57028,4.57028
17,29.71880169921528,30.09312,0.9288000000000025
18,29.74929020028704,47.27448,8.19912
19,29.74203365682532,23.28192,0.36096000000000217
20,196.4860241864644,152.76456,2.9047199999999975
21,197.030265466818,217.78464,4.391999999999996
22,198.2569521234532,171.34352,30.730399999999975
24,62.13167428269707,72.8688,0.11280000000000712
32,439.9524876496764,382.9344,15.83807999999999
34,164.19800824927037,152.12704000000002,5.462079999999986
35,163.295007696406,146.23232,4.650880000000001
36,162.6536826163056,127.22184,1.4081599999999952
37,43.0082481197206,21.66888,2.3051999999999992
38,42.5973734984382,46.33496,1.0320800000000006
40,8.88299483413588,5.55696,0.7627199999999998
41,8.82190788336,2.89592,2.89592
42,8.77979790841853,16.54632,1.4543199999999992
46,18.22293237833648,18.67008,0.42239999999999966
47,18.16251611137768,41.2936,3.862400000000001
48,18.1183501064788,10.3246,0.2574000000000005
49,18.0637720617194,5.36852,0.8117999999999999
50,26.80453853607356,15.78304,1.5724799999999988
51,26.87916004704,16.5884,0.6752800000000008
52,31.96588013470232,18.64356,0.14819999999999922
54,5.359918177097647,10.2408,2.7710399999999993
57,14.16806060719236,30.81,0.03160000000000096
58,14.144256922374678,34.63036,0.048119999999997276
59,14.1588799673982,58.7708,1.0419199999999975
74,97.4211529777768,92.2026,2.522999999999996
75,96.9954353384644,142.4016,1.6007999999999925
99,466.474731048,419.31,39.089999999999975
103,24.6862259934209,13.11068,1.077
104,24.42180827658884,12.0558,0.2981999999999996
105,24.31387075149081,20.779200000000003,1.600559999999998
109,629.4177463755135,540.6456000000001,18.717599999999948
110,634.2158263661009,578.539,12.726999999999975
111,634.5937233814956,640.0416,5.844079999999963
119,8.509898833484035,2.82124,0.12363999999999997
120,8.464606281018991,3.71132,0.95356
121,142.2663206064937,124.1448,1.6891200000000026
122,141.96708783640722,100.14152,3.211280000000002
124,141.8345484768,132.39976,0.0
146,59.60978079707063,84.44435999999999,1.1154000000000082
147,59.50313231816973,146.25468,1.355639999999994
148,59.234638155919285,67.2672,0.48048
150,88.18276003673117,48.2976,0.10319999999999396
151,88.0557293592,53.013,1.1895600000000002
152,73.63196286555136,53.58528,0.15552000000000277
153,73.8025123050991,40.91752,2.378319999999995
154,73.76340051341009,45.3792,0.13920000000000243
159,1040.993849230018,1198.52348,14.666519999999991
161,1025.5782961119642,1241.724,10.911200000000008
162,1014.5741115920362,1678.9376,2.0416000000000167
163,1021.577876450919,1096.3344,22.361920000000055
176,4.231179364831099,10.692,0.4535999999999998
177,4.212559950536973,6.26808,0.93912
178,4.200363682901009,7.36736,0.7433600000000009
193,46.60736974787064,50.439,1.2642000000000024
194,46.63480308764037,45.57,0.15623999999999683
197,12.15801508191027,11.53512,1.3586400000000012
198,12.10165003985946,13.0368,1.317120000000001
199,12.07907537545982,12.781759999999998,2.4372000000000007
211,6.980561805334126,15.87372,0.5025199999999987
217,31.875292191860904,71.08416,0.18576000000000192
218,32.02554756895928,61.19652,0.777000000000001
220,7.925094967736974,12.10568,1.7738399999999999
221,7.868443470764864,6.26316,0.9659599999999999
222,7.856247203128902,12.02776,3.240639999999999
224,4.424689069787892,5.304,5.304
227,23.504576237350992,24.93016,0.40663999999999945
228,23.520617582020183,14.45696,3.3555200000000003
229,23.5570962080609,23.26372,2.5498800000000017
234,520.9646135191928,274.41396,19.70604000000003
235,534.0951569292108,441.54656,8.45823999999999
236,536.6434828225874,352.79200000000003,1.7388799999999947
237,536.7845055505045,410.97472,5.495040000000017
238,539.0122248435135,285.8752,4.329360000000008
239,535.4525012665046,371.81248,2.299440000000004
240,534.3243189688072,283.90216,1.7660000000000196
245,11.61758932302054,3.61344,3.61344
246,11.52476768423063,6.4736,1.59936
247,11.615473978781262,6.69552,0.15392000000000028
249,14.250132183410091,6.0760000000000005,1.2151999999999994
250,14.22517775674126,24.63552,4.7376000000000005
251,22.20888532168072,12.28584,0.5168800000000005
252,15.95914105890883,9.11088,0.07991999999999955
253,15.928744038068832,17.688,0.0
256,10.48270845736901,7.36308,0.36611999999999956
257,10.470236751360002,7.670400000000001,0.4079999999999995
258,10.448851963351352,7.692959999999999,0.4910399999999999
259,10.44045670276072,7.22304,0.0
271,25.335977464950272,43.65396,4.326840000000004
275,6.117012074380743,12.876,4.732799999999999
281,19.11667270277365,35.92984,0.8745600000000024
291,9.75572726981676,16.0698,5.442599999999999
292,9.75887000299905,27.11376,0.23784000000000205
293,17.84566778074108,19.1552,6.393599999999999
