,release_rate,x_error,operator_report,operator_sigma
8,39.336592102875,0.20838996523262004,62.8542872722769,36.652785527255695
13,123.28594834421251,0.6489671205790758,128.442203377513,46.49500832078141
17,72.36422788545,4.779531846056613,118.857582257902,17.39680944636929
18,22.923732344625,4.4055823802689025,35.6772353376174,4.755178315059567
20,163.88224175981256,7.212210291288256,224.988179784443,65.17800816905583
21,177.0606771012,1.091775141719025,290.355307037442,39.44932476343689
25,47.94556233993751,0.2471493328739172,74.4294557289771,15.65994327858202
27,105.77648213145,0.5100124356337676,189.079806716744,58.37387748246471
28,119.42515652321252,0.6068798859492176,169.92209398945,75.73298392311361
30,75.41825354595001,0.364895361646807,98.6823867279235,25.683303997166306
32,169.161222869775,12.504195269624683,175.090687217357,100.665457691777
34,20.97106609248,0.16062920216945664,41.5236604302098,7.0348413821155305
43,88.1224047698625,0.42897886704487787,95.7119808178359,57.17988253888629
47,46.29602330359874,17.641981016478226,80.6105385363987,16.11381071250669
48,48.5380523071125,0.23978462553277227,63.0694785698506,18.389414430926493
49,103.11072826425,12.102033404356673,234.558467895901,41.067534006236315
52,83.67887982015002,0.44829409435787804,64.6551968240023,34.1918969496988
60,59.82312628502999,13.242911533262482,56.6639575216908,20.519480509804502
61,50.36949003963,18.432536702508155,85.9753937635251,21.397872785550092
69,778.4434908800998,13.826322697661256,543.774241183291,78.57459729125526
71,479.372894362125,8.082955408169862,624.868869029915,211.419187163198
75,381.886427018925,3.4983690821010467,509.82943529401,141.106798890819
78,608.5298056774499,10.243852146380993,560.293452539543,158.06912631765397
83,34.082522092741506,0.35562164395059154,75.2222475974065,15.673674593372112
84,33.331533583619255,0.3508420650739001,109.028384300651,27.8768631589233
85,328.40791052485497,3.687583383687924,312.685450334258,124.39069013458197
86,354.4145477019001,3.8604559481470933,314.545000275029,74.79800211648609
87,818.053127745525,22.359218692769986,688.337312677787,166.46240654670203
99,418.9420854966376,4.430246258995845,473.175599106315,103.49214467076598
101,676.10047887,6.579915806499625,1089.27842536108,178.8167854027331
103,948.6341099925,17.461470920233,932.974748169204,170.93768742560394
104,1124.5386882975,32.671744312318296,1194.14020223263,229.54642824557095
111,318.45010938675,2.687435189216521,318.017075344094,60.50869476372168
120,529.39566663375,5.9707130204674685,424.90284052211,102.62714508717005
