,release_rate,operator_report,operator_sigma
0,205.39745154000005,177,55
1,97.11744802368,61,44
3,980.5094150586,908,247
5,467.3866416732,669,259
7,633.2843598498,544,170
8,141.84752698008,303,120
9,74.50372423470002,89,100
10,62.904485775315,140,51
12,339.45584144436003,196,98
13,670.3613068740001,787,496
14,404.75292227820006,644,373
15,33.53774139190201,94,100
16,336.86507614194005,388,92
17,816.6176485758001,958,410
18,1058.5873761324,1199,313
19,1286.6959641911997,1489,485
20,584.1154851468,579,182
23,168.5139694877095,112,132
