,release_rate,release_sigma,operator_report,operator_sigma
0,213.88417108875,0.8734563072034469,151.0,103.88
1,214.34858464350003,0.8743218288508272,129.0,88.2
2,304.2191061855,3.8671639124921415,209.0,141.12
3,110.57491491375,0.4869616416192456,88.0,60.76
4,109.13569667775002,0.4493549260752886,108.0,72.52
5,59.8014186465,0.2537925983380902,53.0,37.24
6,110.174171421,0.4508409703963014,85.0,56.839999999999996
7,658.7898944775001,4.532626404559326,429.0,286.15999999999997
8,678.320915025,3.8002751119035305,464.0,309.68
9,21.020905724024995,0.6492092146725328,15.0,11.76
10,274.451176425,1.13135472617483,188.0,125.44
11,315.17888817975,1.3423867050022846,222.0,147.0
12,316.16772088725,1.3020895682257227,209.0,137.2
13,260.82509607,1.1144158199650114,221.0,145.04
14,259.75501532475,1.07706663851759,178.0,117.6
15,946.804740855,11.106623640178665,684.0,444.92
19,1135.705569765,14.30310957984149,1008.0,644.84
22,627.61503957,3.454390647594387,490.0,313.6
24,22.239591935925,0.096434889830202,32.0,21.56
25,460.2767184375001,2.087775034114127,365.0,233.24
26,467.44589871,2.03455108813078,754.0,482.15999999999997
32,562.5702309975001,2.7724970071786488,635.0,399.84
38,1114.6434903525,15.388709725275683,900.0,558.6
39,1144.809472515,16.52524182351315,1026.0,646.8
40,90.62167940475,0.4244151684262066,64.0,43.12
43,2.9122165317825,0.0258052725142798,4.0,3.92
44,314.58959656275,1.3933396491774075,211.0,133.28
45,319.0668272265,1.3101356397202268,271.0,172.48
47,837.4588528125001,8.664302401497556,471.0,301.84
48,856.0869265274999,6.441937061236069,491.0,317.52
50,9.195285320999998,0.0389082550750895,12.0,7.84
51,385.07561886,1.698698029433817,313.0,203.84
53,76.319562699,0.3161504819750672,74.0,49.0
55,233.908462845,0.9802358065890736,254.0,168.56
56,1072.10994219,11.178294170359605,908.0,607.6
57,1082.8370879775,10.428484682025728,767.0,519.4
60,10.02944329335,0.041675860987644,16.0,11.76
63,131.39611307549998,0.5352571654267047,153.0,103.88
65,473.64113316000015,2.319531911472566,583.0,399.84
75,10.4580397890375,0.0347652758440486,31.0,27.439999999999998
76,10.4136436472025,0.0344181227431283,25.0,19.6
77,21.056167481055,0.0672090388644111,23.0,19.6
78,21.114294153269995,0.0667565017006562,56.0,41.16
79,21.101168039925,0.0671353997254057,70.0,50.96
81,29.04816866115,0.0922515337828978,82.0,76.44
83,25.2585365742225,0.0798758634285555,51.0,50.96
84,32.113429739820006,0.1017852214756808,40.0,29.4
85,32.03548275049501,0.1007040991029652,48.0,43.12
86,809.3218225267501,9.292916878821314,562.0,480.2
87,800.2778049870001,6.903344055892799,490.0,390.04
91,9.2625599142825,0.0321744017837447,9.0,5.88
92,9.2475977416425,0.0300836132976947,5.0,5.88
93,635.6038135964999,3.35687573101222,396.0,742.84
94,650.81858694075,2.91045126216986,441.0,817.3199999999999
99,12.0565403810925,0.0390779614213116,9.0,17.64
100,22.2966080003475,0.0715570699274728,26.0,47.04
101,22.203419438055,0.0706996864885051,17.0,29.4
103,32.9640098674425,0.107474769310394,23.0,13.719999999999999
105,18.205685425567506,0.0581957177062385,17.0,11.76
106,18.139678523707506,0.0575810831470401,19.0,13.719999999999999
107,29.57610983508,0.0932105927029299,37.0,25.48
108,29.5663422277125,0.0935322257233548,36.0,25.48
110,35.25621585630001,0.1108234872647906,43.0,29.4
111,35.139951107775,0.1107682492768858,54.0,39.2
114,61.462655104875,0.1935719835561138,80.0,56.839999999999996
115,61.6110794013,0.1933738622165296,82.0,60.76
117,50.32342021125,0.1611857201143831,82.0,58.8
118,39.795216727725,0.1260382709390426,62.0,45.08
119,39.81648536490001,0.1324846904924184,70.0,50.96
120,39.8303983608,0.1305365430133834,41.0,29.4
121,36.09840827205,0.113795486524714,60.0,43.12
123,22.17051862398,0.0700292705116183,23.0,17.64
125,83.85562200592501,0.2635606319045545,74.0,52.92
126,83.89097470042498,0.2626281272587426,95.0,68.6
128,62.109438352800005,0.1944539106547158,68.0,49.0
129,46.06718387535,0.1454390500954691,47.0,33.32
130,46.18658474999999,0.1459828397521036,60.0,43.12
132,50.60920683195,0.160239176797373,27.0,19.6
133,50.69217162307499,0.1622210521942985,70.0,49.0
134,50.93467970325,0.1636451436812441,85.0,60.76
135,50.766070158675,0.160689412089305,84.0,60.76
136,50.716348304475,0.1633067402310716,93.0,66.64
137,50.59934228977501,0.1598386472846058,41.0,29.4
139,91.001199851025,0.2873253503288697,76.0,54.879999999999995
140,91.14460634565002,0.2866243517721944,71.0,50.96
141,57.0558276945,0.1798553971954729,62.0,45.08
142,57.134458929525,0.1793451083552518,39.0,29.4
143,78.69583922317501,0.246383798436594,53.0,39.2
144,78.738490538475,0.2467417153913207,55.0,41.16
145,119.37766731667502,0.3736769413887711,103.0,76.44
147,98.20448241682496,0.307567180715289,160.0,117.6
148,97.98489656759998,0.3100328085221165,84.0,60.76
149,97.93340707867496,0.3091778233399044,96.0,70.56
150,98.0300567838,0.310265675194089,127.0,94.08
152,13.319789090385,0.0434026537534403,27.0,19.6
155,21.8787961718325,0.0697919171228429,16.0,11.76
