,release_rate,operator_report,operator_sigma
0,10.92213624004875,87.19376164,44.70730425000001
6,93.0819379419,241.6751886,78.20407317000002
8,39.336592102875,94.72816414,41.35485435
9,30.76062848971875,74.78590872,28.280848250000005
10,144.1779333748875,220.0961678,114.43901620000003
11,59.014270462725,48.07834799,26.60634161
13,123.28594834421251,370.4328302,198.26488499999994
16,229.217210473725,142.4981486,93.75301749000002
17,72.36422788545,44.19943901,27.584039690000004
18,22.923732344625,34.46484832,22.803713349999995
19,43.83481908105001,32.24689386,20.592293600000005
20,163.88224175981256,94.36991159,51.21538883000001
21,177.0606771012,160.4675447,84.00889398000001
23,26.54053920171,18.93505226,12.44162252
25,47.94556233993751,24.98148376,13.42693641
27,105.77648213145,35.43310991,18.495414269999998
28,119.42515652321252,51.70426793,29.614346350000005
29,40.5258980117625,25.71377555,13.580827020000001
30,75.41825354595001,43.05963274,24.033433349999996
32,169.161222869775,68.77329497,38.396376270000005
34,20.97106609248,13.7314693,8.866664828000001
37,16.499559029759997,42.44641036,29.64861395999999
38,174.74661781256253,116.4616028,84.38562336
39,139.36750587067502,169.7134593,106.34640459999997
41,35.006212936755,25.47196825,15.72460284
43,88.1224047698625,119.8710723,46.86911037
47,46.29602330359874,98.45613773,81.31507611
48,48.5380523071125,51.56575317,25.615877250000004
49,103.11072826425,55.33014704,27.772012919999995
52,83.67887982015002,92.45474051,50.462254520000016
54,11.499009161658,4.90088507,2.64799587
56,22.365394373448,22.09402808,12.754271119999999
57,23.318618185473,35.91431737,22.105039859999998
58,88.45821188360999,57.50539536,25.559075889999995
60,59.82312628502999,110.9200785,64.31862120999999
61,50.36949003963,74.8321255,33.208492879999994
62,95.39833484214,44.66627038,24.103741900000003
64,193.8711017268,89.30090964,49.95129503
66,591.222103332075,551.2952728,222.96662949999995
67,493.721951757075,507.6635205,169.68475139999998
69,778.4434908800998,898.2137803,403.43004629999996
70,58.680095610802496,181.8490969,73.51329288
71,479.372894362125,1087.518445,514.6241138
72,428.93509665262513,1256.739659,617.2515971999999
75,381.886427018925,520.4576667,272.99920639999993
76,112.6257891246,133.3627741,67.00007010000002
77,110.68148785635,122.296791,64.56721692
78,608.5298056774499,358.7100637,182.49445950000006
79,671.5876888916998,478.3667514,147.49246519999997
82,364.76650099575,338.9438044,97.96713305000003
83,34.082522092741506,35.12918503,10.60855575
84,33.331533583619255,34.93712619,18.251441400000004
85,328.40791052485497,242.7765881,125.6011078
86,354.4145477019001,363.6452807,148.46212109999993
87,818.053127745525,377.9904306,191.57875229999996
90,425.077010629425,574.906401,229.48409990000005
92,811.824109546275,516.7550073,158.8622431
94,204.0438175941375,253.9353137,100.70527350000003
95,134.4551024135025,154.4962888,56.57526440000001
99,418.9420854966376,512.5640201,169.27042259999996
100,109.27689305624996,94.024409,53.81167706000001
101,676.10047887,409.3608275,247.78829469999994
102,316.26883719075,252.7426339,145.6851332
106,463.3285298625,457.5844042,264.4833282000001
111,318.45010938675,614.9587419,138.75736540000003
112,855.7130366849999,629.9663131,167.23719389999997
113,386.57346852,492.7991039,120.45492360000003
116,321.09631045274995,443.5874028,89.30453113000004
118,473.8146226275001,573.8567012,115.60580140000002
119,42.81233371275,76.02348931,27.194635809999994
120,529.39566663375,669.4204486,218.9000502
