,datetime_utc,flow_rate,meter,qc_flag,meter_sigma_kgh_gas,methane_fraction_km,gas_comp_sigma_km,kgh_ch4_km,combined_uncertainty_kgh_ch4_km,CI95_upper_km,CI95_lower_km
2611,2022-11-02 16:36:31,3.314448,bc,0,0.005823305753948895,0.95034125,0.0026930537344558,3.1498566553800003,0.010502371408511802,3.1704413033406835,3.129272007419317
2612,2022-11-02 16:36:32,2.724732,bc,0,0.005817689518101471,0.95034125,0.0026930537344558,2.589425214795,0.009187576423778526,2.607432864585606,2.571417565004394
2613,2022-11-02 16:36:33,2.190708,bc,0,0.0058114425780288834,0.95034125,0.0026930537344558,2.081920179105,0.008081355423289591,2.0977596357346475,2.0660807224753523
2614,2022-11-02 16:36:34,1.860624,bc,0,0.00580677024354545,0.95034125,0.0026930537344558,1.7682277379400002,0.0074538986551201825,1.7828373793040357,1.7536180965759647
2615,2022-11-02 16:36:35,1.599876,bc,0,0.005802453925113144,0.95034125,0.0026930537344558,1.520428157685,0.006997946123225295,1.5341441320865217,1.5067121832834784
2616,2022-11-02 16:36:36,1.426788,bc,0,0.005799182776033457,0.95034125,0.0026930537344558,1.355935491405,0.006718446299844553,1.3691036461526953,1.3427673366573045
2617,2022-11-02 16:36:37,1.305108,bc,0,0.005796637422178961,0.95034125,0.0026930537344558,1.240297968105,0.006534523395721353,1.2531056339606137,1.2274903022493862
2618,2022-11-02 16:36:38,1.242,bc,0,0.005795222660468638,0.95034125,0.0026930537344558,1.1803238325,0.006443554192372112,1.1929531987170494,1.1676944662829507
2619,2022-11-02 16:36:39,1.204056,bc,0,0.005794337172391211,0.95034125,0.0026930537344558,1.14426408411,0.006390382712783856,1.1567892342270565,1.1317389339929436
2620,2022-11-02 16:36:40,1.18458,bc,2,0.0057938718221343475,0.95034125,0.0026930537344558,1.125755237925,0.006363546576967187,1.1382277892158557,1.1132826866341443
2621,2022-11-02 16:36:41,1.161684,bc,2,0.005793314920164953,0.95034125,0.0026930537344558,1.103996224665,0.0063324000412954854,1.116407728745939,1.0915847205840608
2622,2022-11-02 16:36:42,1.152432,bc,2,0.005793086777969532,0.95034125,0.0026930537344558,1.0952036674199999,0.006319938658016485,1.1075907471897122,1.0828165876502875
2623,2022-11-02 16:36:43,1.146132,bc,2,0.005792930382767291,0.95034125,0.0026930537344558,1.089216517545,0.006311494630346469,1.101587047020479,1.076845988069521
2624,2022-11-02 16:36:44,1.142532,bc,2,0.00579284062955865,0.95034125,0.0026930537344558,1.0857952890450002,0.006306684570825843,1.0981563908038188,1.0734341872861817
2625,2022-11-02 16:36:45,1.137744,bc,2,0.005792720820771724,0.95034125,0.0026930537344558,1.0812450551400001,0.006300304256434159,1.093593651482611,1.0688964587973893
2626,2022-11-02 16:36:46,1.137924,bc,2,0.005792725333930251,0.95034125,0.0026930537344558,1.081416116565,0.006300543764870923,1.093765182344147,1.069067050785853
2627,2022-11-02 16:36:47,1.1457,bc,2,0.005792919627205566,0.95034125,0.0026930537344558,1.088805970125,0.00631091684261655,1.1011753671365283,1.0764365731134715
2628,2022-11-02 16:36:48,1.147608,bc,2,0.0057929671005233965,0.95034125,0.0026930537344558,1.09061922123,0.006313469931925792,1.1029936222965746,1.0782448201634256
2629,2022-11-02 16:36:49,1.146672,bc,2,0.005792943821548023,0.95034125,0.0026930537344558,1.0897297018199998,0.006312217087493334,1.1021016473114869,1.0773577563285128
2630,2022-11-02 16:36:50,1.0809,bc,2,0.005791258798225627,0.95034125,0.0026930537344558,1.027223857125,0.006226063963863058,1.0394269424941718,1.0150207717558284
2631,2022-11-02 16:36:51,0.8536320000000001,bc,2,0.005784530160261341,0.95034125,0.0026930537344558,0.8112417019200001,0.005958598494336261,0.8229205549688992,0.7995628488711011
2632,2022-11-02 16:36:52,0.604188,bc,2,0.005774692426736873,0.95034125,0.0026930537344558,0.574184779155,0.005724058675974005,0.585403934159909,0.562965624150091
2633,2022-11-02 16:36:53,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2634,2022-11-02 16:36:54,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2635,2022-11-02 16:36:55,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2636,2022-11-02 16:36:56,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2637,2022-11-02 16:36:57,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2638,2022-11-02 16:36:58,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2639,2022-11-02 16:36:59,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2640,2022-11-02 16:37:00,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2641,2022-11-02 16:37:01,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2642,2022-11-02 16:37:02,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2643,2022-11-02 16:37:03,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2644,2022-11-02 16:37:04,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2645,2022-11-02 16:37:05,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2646,2022-11-02 16:37:06,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2647,2022-11-02 16:37:07,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2648,2022-11-02 16:37:08,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2649,2022-11-02 16:37:09,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2650,2022-11-02 16:37:10,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2651,2022-11-02 16:37:11,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2652,2022-11-02 16:37:12,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2653,2022-11-02 16:37:13,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2654,2022-11-02 16:37:14,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2655,2022-11-02 16:37:15,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2656,2022-11-02 16:37:16,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2657,2022-11-02 16:37:17,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2658,2022-11-02 16:37:18,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2659,2022-11-02 16:37:19,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2660,2022-11-02 16:37:20,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2661,2022-11-02 16:37:21,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2662,2022-11-02 16:37:22,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2663,2022-11-02 16:37:23,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2664,2022-11-02 16:37:24,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
2665,2022-11-02 16:37:25,0.0,None,0,0.0,0.95034125,0.0026930537344558,0.0,0.0,0.0,0.0
