,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
22,Kayrros,EnMap,3,1,1.0,2022-11-16 00:00:00,18:40:50,,,,Methane,1719,2219,1219,standard deviation,4.29,4.61,3.97,standard deviation,24,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,11/16/2022 18:40:50,2022-11-16 18:40:50,2022-11-16 18:35:50,1148.88996,15.380344391584538,1.4654208673469389,0.9509388750000002,0.0012656744167307,1092.524126061195,14.76378855280666
23,Kayrros,EnMap,4,1,1.0,2022-11-20 00:00:00,18:44:37,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,11/20/2022 18:44:37,2022-11-20 18:44:37,2022-11-20 18:39:37,0.0,0.0,,,,,
24,Kayrros,EnMap,5,1,1.0,2022-11-24 00:00:00,18:48:24,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,11/24/2022 18:48:24,2022-11-24 18:48:24,2022-11-24 18:43:24,0.0,0.0,,,,,
25,Kayrros,GF5,1,1,1.0,2022-09-18 00:00:00,18:19:41,,,,Methane,0,,,,,,,,,,Not among initially listed times ,Kayrros_2022_Full_Blind_GF5.xlsx,SE,09/18/2022 18:19:41,2022-09-18 18:19:41,2022-09-18 18:14:41,0.0,0.0,,,,,
26,Kayrros,GF5,2,1,1.0,2022-11-15 00:00:00,18:21:44,,,,Methane,1195,1825,565,standard deviation,1.31,1.39,1.23,standard deviation,5,,,Kayrros_2022_Full_Blind_GF5.xlsx,OK,11/15/2022 18:21:44,2022-11-15 18:21:44,2022-11-15 18:16:44,1094.8091639999998,695.7815868529914,1.3997383537176173,0.9509388750000002,0.0009323801536582823,1041.0965947538505,661.6478857513312
27,Kayrros,LandSat,1,1,1.0,2022-10-10 00:00:00,17:58:31,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,10/10/2022 17:58:31,2022-10-10 17:58:31,2022-10-10 17:53:31,0.0,0.0,0.0,0.936358125,0.0,0.0,0.0
28,Kayrros,LandSat,2,1,1.0,2022-10-17 00:00:00,18:04:33.324000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,10/17/2022 18:04:33,2022-10-17 18:04:33,2022-10-17 17:59:33,0.0,0.0,0.0,0.9390905000000002,0.0,0.0,0.0
29,Kayrros,LandSat,2,1,1.0,2022-10-18 17:58:14,17:58:14,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,10/18/2022 17:58:14,2022-10-18 17:58:14,2022-10-18 17:53:14,0.0,0.0,0.0,0.9390905000000002,0.0,0.0,0.0
30,Kayrros,LandSat,3,1,1.0,2022-10-25 00:00:00,18:04:27.931000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,10/25/2022 18:04:28,2022-10-25 18:04:28,2022-10-25 17:59:28,1036.01616,27.150767387192666,1.3214491836734696,0.9506440000000002,0.0013657668785948,984.88254640704,25.879976297522717
31,Kayrros,LandSat,,,,2022-10-26 17:58:34,17:58:34,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,10/26/2022 17:58:34,2022-10-26 17:58:34,2022-10-26 17:53:34,77.786952,0.09601822201643426,0.09921805102040814,0.9506440000000002,0.0013657668785948,73.947699197088,0.16886395058221715
32,Kayrros,LandSat,4,1,1.0,2022-11-02 00:00:00,18:04:39.434000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,11/02/2022 18:04:39,2022-11-02 18:04:39,2022-11-02 17:59:39,795.414,14.79026630110239,1.0145586734693879,0.9503412499999998,0.0026930537344557995,755.9147350275,14.250744414247158
33,Kayrros,LandSat,5,1,1.0,2022-11-03 00:00:00,17:58:13.713000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,11/03/2022 17:58:14,2022-11-03 17:58:14,2022-11-03 17:53:14,1370.18808,20.5498873505591,1.7476888775510204,0.9503412499999998,0.0026930537344557995,1302.1462526823,19.944229818326843
34,Kayrros,LandSat,6,1,1.0,2022-11-10 00:00:00,18:04:28.343000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,11/10/2022 18:04:28,2022-11-10 18:04:28,2022-11-10 17:59:28,1218.16152,23.554795930496997,1.5537774489795921,0.9536740000000001,0.0016625803238740997,1161.72896942448,22.603333683722806
35,Kayrros,LandSat,7,1,1.0,2022-11-11 00:00:00,17:58:25.353000,,,,Methane,629,977,280,standard deviation,1.32,1.46,1.18,standard deviation,11,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,11/11/2022 17:58:25,2022-11-11 17:58:25,2022-11-11 17:53:25,1453.8246,24.522959651864134,1.8543681122448978,0.9538941249999999,0.0020321852923637996,1386.794744720475,23.64440015797182
36,Kayrros,LandSat,8,1,1.0,2022-11-18 00:00:00,18:04:31.693000,,,,Methane,722,1179,265,standard deviation,1.05,1.23,0.87,standard deviation,132,,,Kayrros_2022_Full_Blind_Landsat.xlsx,OK,11/18/2022 18:04:32,2022-11-18 18:04:32,2022-11-18 17:59:32,1558.7611200000001,24.447039021019517,1.9882157142857144,0.9463706249999999,0.005284178198089699,1475.1657353601,24.63041633132259
37,Kayrros,LandSat,8,1,1.0,2022-11-19 17:58:20,17:58:20,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Not among initially listed times ,,SE,11/19/2022 17:58:20,2022-11-19 17:58:20,2022-11-19 17:53:20,0.0,0.0,,,,,
38,Kayrros,LandSat,8,1,1.0,2022-11-27 17:58:04,17:58:04,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Not among initially listed times ,,SE,11/27/2022 17:58:04,2022-11-27 17:58:04,2022-11-27 17:53:04,0.0,0.0,,,,,
39,Kayrros,PRISMA,1,1,1.0,2022-10-15 00:00:00,18:16:16,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_PRISMA.xlsx,OK,10/15/2022 18:16:16,2022-10-15 18:16:16,2022-10-15 18:11:16,0.0,0.0,,,,,
40,Kayrros,PRISMA,2,1,1.0,2022-10-21 00:00:00,18:19:36,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_PRISMA.xlsx,OK,10/21/2022 18:19:36,2022-10-21 18:19:36,2022-10-21 18:14:36,0.0,0.0,,,,,
41,Kayrros,PRISMA,3,1,1.0,2022-10-27 00:00:00,18:23:02,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_PRISMA.xlsx,OK,10/27/2022 18:23:02,2022-10-27 18:23:02,2022-10-27 18:18:02,565.81452,4.419593552219792,0.7217021938775511,0.9506440000000002,0.0013657668785948,537.8881785508801,4.326678845659745
42,Kayrros,PRISMA,4,1,1.0,2022-11-07 00:00:00,18:13:11,,,,Methane,627,1011,243,standard deviation,1.26,1.52,1,standard deviation,186,,,Kayrros_2022_Full_Blind_PRISMA.xlsx,OK,11/07/2022 18:13:11,2022-11-07 18:13:11,2022-11-07 18:08:11,435.32724,1.179450360511073,0.555264336734694,0.9503412499999998,0.0026930537344557995,413.70943342065,1.7056544887291316
43,Kayrros,PRISMA,5,1,1.0,2022-11-25 00:00:00,18:23:04,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_PRISMA.xlsx,OK,11/25/2022 18:23:04,2022-11-25 18:23:04,2022-11-25 18:18:04,0.0,0.0,,,,,
44,Kayrros,PRISMA,6,1,1.0,2022-11-30 00:00:00,18:09:54,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_PRISMA.xlsx,OK,11/30/2022 18:09:54,2022-11-30 18:09:54,2022-11-30 18:04:54,1060.3221600000002,57.77922832304375,1.3524517346938778,0.9422685000000002,0.0009951174972501003,999.10817121996,54.468680408580504
45,Kayrros,Sentinel-2,1,1,1.0,2022-10-18 17:49:00,17:49:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,OK,10/18/2022 17:49:00,2022-10-18 17:49:00,2022-10-18 17:44:00,0.0,0.0,0.0,0.9390905000000002,0.0,0.0,0.0
46,Kayrros,Sentinel-2,1,1,1.0,2022-10-26 00:00:00,18:15:09.419000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Sentinel-2.xlsx,OK,10/26/2022 18:15:09,2022-10-26 18:15:09,2022-10-26 18:10:09,1101.3608399999998,30.06301780081369,1.4047969897959187,0.9506440000000002,0.0013657668785948,1047.0020743809603,28.649927165590665
47,Kayrros,Sentinel-2,7,1,1.0,2022-11-05 18:14:40,18:14:40,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to personnel shortage,,SE,11/05/2022 18:14:40,2022-11-05 18:14:40,2022-11-05 18:09:40,0.0,0.0,,,,,
48,Kayrros,Sentinel-2,2,1,1.0,2022-11-08 00:00:00,18:25:05.942000,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_Sentinel-2.xlsx,OK,11/08/2022 18:25:06,2022-11-08 18:25:06,2022-11-08 18:20:06,1248.30192,19.3422982021113,1.5922218367346939,0.9533701250000002,0.0013196138560831,1190.09375750814,18.57592505124432
49,Kayrros,Sentinel-2,3,1,1.0,2022-11-15 00:00:00,18:15:08.656000,,,,Methane,1524,2333,715,standard deviation,1.31,1.39,1.23,standard deviation,5,,,Kayrros_2022_Full_Blind_Sentinel-2.xlsx,OK,11/15/2022 18:15:09,2022-11-15 18:15:09,2022-11-15 18:10:09,1572.86976,22.14754503821585,2.0062114285714285,0.9509388750000002,0.0012656744167307,1495.70300009592,21.24068721115088
50,Kayrros,Sentinel-2,4,1,1.0,2022-11-18 00:00:00,18:25:03.463000,,,,Methane,685,1125,245,standard deviation,1.05,1.23,0.87,standard deviation,132,,,Kayrros_2022_Full_Blind_Sentinel-2.xlsx,OK,11/18/2022 18:25:03,2022-11-18 18:25:03,2022-11-18 18:20:03,1509.33504,22.368872139972733,1.9251722448979596,0.9463706249999999,0.005284178198089699,1428.3903451392,22.695074516173918
