,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-24 16:46:15,True,False,True,True,0,True,1341.440878556028,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,pass_all
1,2.0,2022-10-24 16:49:22,True,False,True,True,0,True,1366.343000743972,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,pass_all
2,3.0,2022-10-24 16:52:32,False,True,True,False,1,False,1308.693174096028,False,18.748945322472,0.0632371335980738,18.872890104324224,18.625000540619777,0.035870188330248,0.0252790867346938,0.0024069307218944,True,20.07188437,20.07188437,20.07188437,fail_stanford
3,4.0,2022-10-24 16:55:42,False,True,True,True,1,True,1324.65883504,False,18.719446589196004,0.0589181197693915,18.83492610394401,18.603967074447997,0.0265923882826698,0.0252393137755101,0.0024069307218944,True,19.357717620000003,16.97014334,21.7452919,pass_all
4,5.0,2022-10-24 16:59:01,False,True,True,True,1,True,1342.620887123972,False,18.739307291088,0.061050919927724,18.85896709414634,18.61964748802966,0.0314058228002821,0.0252660918367346,0.0024069307218944,True,22.506983545,19.47899824,25.53496885,pass_all
5,6.0,2022-10-24 17:02:04,False,True,True,True,0,True,1351.0280396239718,False,113.41300844316,0.3482569600203798,114.09559208479995,112.73042480152004,0.1382011783412689,0.1529140561224489,0.0024069307218944,True,130.80991265,128.1029262,133.5168991,pass_all
6,7.0,2022-10-24 17:05:20,False,True,True,True,0,True,1355.3910102360278,False,113.2451659296,0.3337531525220546,113.89932210854323,112.59100975065678,0.091602679259166,0.1526877551020408,0.0024069307218944,True,426.674473,423.487591,429.861355,pass_all
7,8.0,2022-10-24 17:08:21,False,True,True,True,0,True,1339.943175096028,False,112.91981141904,0.3417541251565024,113.58964950434675,112.24997333373325,0.1228665485222191,0.152249081632653,0.0024069307218944,True,96.414000805,74.19541101,118.6325906,pass_all
8,9.0,2022-10-24 17:11:37,False,True,True,True,1,True,1358.929942763972,False,1.7172849061896,0.0285231506266944,1.773190281417921,1.661379530961279,0.029223725446566,0.0058060610231811,0.0024069307218944,False,0.0,0.0,0.0,pass_all
9,10.0,2022-10-24 17:14:38,False,True,True,True,1,True,1346.9559705960282,False,1.6595282368463995,0.0265573372759013,1.711580617907166,1.607475855785633,0.0271009314573803,0.0058050831444012,0.0024069307218944,False,0.0,0.0,0.0,pass_all
10,11.0,2022-10-24 17:17:53,False,True,True,True,1,True,1353.0430223,False,1.6172872087212,0.0277087648901087,1.671596387905813,1.562978029536587,0.0283775983439312,0.00580434553353,0.0024069307218944,False,0.0,0.0,0.0,pass_all
11,12.0,2022-10-24 17:20:59,False,True,True,True,1,True,1341.377448763972,False,12.910035192816,0.0470685337922797,13.002289519048869,12.817780866583131,0.0310960291104938,0.0174065204081632,0.0024069307218944,True,13.25112651,12.37329163,14.12896139,pass_all
12,13.0,2022-10-24 17:24:12,False,True,True,True,1,True,1333.74840226,False,12.934993039691998,0.0462859331047198,13.025713468577248,12.844272610806748,0.0296561920364313,0.0174401709183672,0.0024069307218944,True,15.444180235,14.59501569,16.29334478,pass_all
13,14.0,2022-10-24 17:27:11,False,True,True,True,1,True,1355.863997783972,False,3.485311947456,0.0327679815409112,3.549537191276186,3.4210867036358144,0.0328324005327932,0.0058263385914724,0.0024069307218944,False,0.0,0.0,0.0,pass_all
14,15.0,2022-10-24 17:30:27,False,True,False,True,1,False,1348.437816443972,False,3.4147539517404004,0.0260806402368751,3.4658720066046755,3.3636358968761253,0.0253329808311187,0.0058257521796726,0.0024069307218944,False,,,,fail_operator
15,16.0,2022-10-24 17:33:38,False,True,True,True,1,True,1353.22018766,False,3.4012686543540003,0.0282164150885296,3.456572827927518,3.3459644807804825,0.0277849705367634,0.0058256385031436,0.0024069307218944,True,3.2335642165,0.0,6.467128433,pass_all
16,17.0,2022-10-24 17:36:52,False,True,True,True,1,True,1381.301990723972,False,3.3839633362836,0.0280346667628146,3.438911283138717,3.3290153894284833,0.0275940578857729,0.0058254921582929,0.0024069307218944,False,0.0,0.0,0.0,pass_all
17,18.0,2022-10-24 17:40:00,False,True,True,False,1,False,1377.9648298560282,False,29.681730997920003,0.0923144764378618,29.862667371738212,29.500794624101793,0.0393475279950601,0.0400196938775509,0.0024069307218944,True,30.41209861,29.47345359,31.35074363,fail_stanford
18,19.0,2022-10-24 17:43:18,False,True,True,True,1,True,1352.7761807560282,False,29.726952550356,0.0921323298125152,29.90753191678853,29.54637318392347,0.0385534929631677,0.0400806658163264,0.0024069307218944,True,33.235622795,27.47135295,38.99989264,pass_all
19,20.0,2022-10-24 17:46:20,False,True,True,True,1,True,1369.64899396,False,29.718182963496,0.0942497700568582,29.902912512807443,29.53345341418456,0.0439552939600982,0.0400688418367346,0.0024069307218944,True,33.497960955,32.97861272,34.01730919,pass_all
20,21.0,2022-10-24 17:49:37,False,True,True,True,1,True,1356.314566696028,False,196.34020842912,0.6063967191500188,197.52874599865405,195.15167085958595,0.2489285754207746,0.2647242857142857,0.0024069307218944,True,200.02871875,196.2253011,203.8321364,pass_all
21,22.0,2022-10-24 17:52:40,False,True,True,True,1,True,1370.266338796028,False,196.83425686944005,0.613007338611969,198.0357512531195,195.6327624857606,0.2630865120327486,0.2653904081632653,0.0024069307218944,True,156.29882895,153.1467956,159.4508623,pass_all
22,23.0,2022-10-24 17:57:58,False,True,True,True,1,True,1329.98363836,False,198.03634302168,0.603240033170955,199.2186934866951,196.85399255666493,0.2272539766391432,0.2670111734693877,0.0024069307218944,True,156.4459122,128.3873929,184.5044315,pass_all
