,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-31 17:04:02,False,True,True,True,0,True,6587.102972999999,False,213.88417108875,0.8734563072034469,215.59614545086876,212.17219672663126,0.1520787418701692,0.285879719387755,0.0036450716270969,True,151.0,98.0,204.0,pass_all
1,2.0,2022-10-31 17:07:12,False,True,True,True,0,True,6323.76964,False,214.34858464350003,0.8743218288508272,216.06225542804765,212.63491385895242,0.1457653317226126,0.2865004591836734,0.0036450716270969,True,129.0,84.0,174.0,pass_all
2,3.0,2022-10-31 17:10:55,False,True,True,True,1,True,6457.866862000001,False,304.2191061855,3.8671639124921415,311.79874745398456,296.6394649170154,3.8436872680420353,0.4066222959183673,0.0036450716270969,True,209.0,137.0,281.0,pass_all
3,4.0,2022-10-31 17:14:13,False,True,True,True,0,True,6475.540472999999,False,110.57491491375,0.4869616416192456,111.52935973132372,109.62047009617629,0.206548424165916,0.1477955357142857,0.0036450716270969,True,88.0,57.0,119.0,pass_all
4,5.0,2022-10-31 17:17:18,False,True,True,True,0,True,6556.686307,False,109.13569667775002,0.4493549260752886,110.01643233285759,108.25496102264245,0.0981184293060774,0.1458718622448979,0.0036450716270969,True,108.0,71.0,145.0,pass_all
5,6.0,2022-10-31 17:20:09,False,True,True,True,0,True,6488.665472999999,False,59.8014186465,0.2537925983380902,60.298852139242655,59.30398515375734,0.0839352680363781,0.0799311734693877,0.0036450716270969,True,53.0,34.0,72.0,pass_all
6,7.0,2022-10-31 17:23:16,False,True,True,True,1,True,6541.89464,False,110.174171421,0.4508409703963014,111.05781972297675,109.29052311902325,0.0839077847340937,0.1472598979591836,0.0036450716270969,True,85.0,56.0,114.0,pass_all
7,8.0,2022-10-31 17:26:03,False,True,True,True,0,True,6553.352972999999,False,658.7898944775001,4.532626404559326,667.6738422304363,649.9059467245638,3.8511672947566726,0.8805451530612246,0.0036450716270969,True,429.0,283.0,575.0,pass_all
8,9.0,2022-10-31 17:29:12,False,True,True,True,0,True,6526.061307,False,678.320915025,3.8002751119035305,685.7694542443309,670.8723758056691,2.768603686496381,0.9066505102040816,0.0036450716270969,True,464.0,306.0,622.0,pass_all
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,6566.998807,False,21.020905724024995,0.6492092146725328,22.29335578478316,19.74845566326683,0.6744996870982176,0.0280967525510203,0.0036450716270969,True,15.0,9.0,21.0,pass_all
10,11.0,2022-10-31 17:35:27,False,True,True,True,0,True,6564.186307,False,274.451176425,1.13135472617483,276.6686316883027,272.23372116169736,0.2533515330958827,0.3668341836734693,0.0036450716270969,True,188.0,124.0,252.0,pass_all
11,12.0,2022-10-31 17:38:23,False,True,True,False,1,False,6521.165472999999,False,315.17888817975,1.3423867050022846,317.8099661215545,312.5478102379455,0.4580361725039099,0.42127125,0.0036450716270969,True,222.0,147.0,297.0,fail_stanford
12,13.0,2022-10-31 17:41:46,False,True,True,True,1,True,6585.748807,False,316.16772088725,1.3020895682257227,318.71981644097247,313.6156253335276,0.2857640683845027,0.4225929336734693,0.0036450716270969,True,209.0,139.0,279.0,pass_all
