,datetime_utc,flow_rate,meter,qc_flag,meter_sigma_kgh_gas,methane_fraction_km,gas_comp_sigma_km,kgh_ch4_km,combined_uncertainty_kgh_ch4_km,CI95_upper_km,CI95_lower_km
4619,2022-10-25 16:34:28,15.012,bc,0,0.01914795918367347,0.946018,0.0024069307218945,14.201622216,0.04041918837453732,14.280843825214093,14.122400606785908
4620,2022-10-25 16:34:29,14.9796,bc,0,0.019106632653061225,0.946018,0.0024069307218945,14.1709712328,0.040331952716175005,14.250021860123702,14.091920605476297
4621,2022-10-25 16:34:30,14.9688,bc,0,0.019092857142857144,0.946018,0.0024069307218945,14.160754238400001,0.04030287416338757,14.23974787176024,14.081760605039761
4622,2022-10-25 16:34:31,14.99472,bc,0,0.01912591836734694,0.946018,0.0024069307218945,14.18527502496,0.040372662690077415,14.264405443832551,14.106144606087447
4623,2022-10-25 16:34:32,15.0192,bc,0,0.01915714285714286,0.946018,0.0024069307218945,14.2084335456,0.04043857407639561,14.287693150789735,14.129173940410265
4624,2022-10-25 16:34:33,14.9832,bc,0,0.01911122448979592,0.946018,0.0024069307218945,14.1743768976,0.04034164556710415,14.253446522911524,14.095307272288476
4625,2022-10-25 16:34:34,15.05412,bc,0,0.01920168367346939,0.946018,0.0024069307218945,14.24146849416,0.04053259473040832,14.320912379831599,14.1620246084884
4626,2022-10-25 16:34:35,15.02496,bc,0,0.01916448979591837,0.946018,0.0024069307218945,14.21388260928,0.04045408263788224,14.29317261125025,14.13459260730975
4627,2022-10-25 16:34:36,14.99184,bc,0,0.019122244897959186,0.946018,0.0024069307218945,14.18255049312,0.040364908409334106,14.261665713602296,14.103435272637705
4628,2022-10-25 16:34:37,14.97204,bc,0,0.019096989795918368,0.946018,0.0024069307218945,14.16381933672,0.0403115977292238,14.242830068269278,14.084808605170721
4629,2022-10-25 16:34:38,14.97384,bc,0,0.019099285714285714,0.946018,0.0024069307218945,14.165522169119999,0.04031644415468837,14.244542399663189,14.08650193857681
4630,2022-10-25 16:34:39,14.99904,bc,0,0.019131428571428574,0.946018,0.0024069307218945,14.18936182272,0.0403842941111924,14.268515039177938,14.110208606262063
4631,2022-10-25 16:34:40,14.922,bc,0,0.019033163265306127,0.946018,0.0024069307218945,14.116480596,0.04017686710130868,14.195227255518565,14.037733936481436
4632,2022-10-25 16:34:41,14.99832,bc,0,0.019130510204081633,0.946018,0.0024069307218945,14.18868068976,0.04038235554100657,14.267830106620373,14.109531272899627
4633,2022-10-25 16:34:42,15.01488,bc,0,0.019151632653061225,0.946018,0.0024069307218945,14.20434674784,0.040426942655280636,14.28358355544435,14.125109940235651
4634,2022-10-25 16:34:43,15.01488,bc,0,0.019151632653061225,0.946018,0.0024069307218945,14.20434674784,0.040426942655280636,14.28358355544435,14.125109940235651
4635,2022-10-25 16:34:44,14.976,bc,0,0.019102040816326535,0.946018,0.0024069307218945,14.167565568,0.04032225986524586,14.246597197335882,14.088533938664119
4636,2022-10-25 16:34:45,15.00552,bc,0,0.019139693877551024,0.946018,0.0024069307218945,14.195492019360001,0.04040174124286486,14.274679432196017,14.116304606523986
4637,2022-10-25 16:34:46,14.96088,bc,0,0.019082755102040817,0.946018,0.0024069307218945,14.15326177584,0.04028154989134345,14.232213613627033,14.074309938052968
4638,2022-10-25 16:34:47,15.02604,bc,0,0.019165867346938776,0.946018,0.0024069307218945,14.214904308720001,0.04045699049316099,14.294200010086596,14.135608607353406
4639,2022-10-25 16:34:48,15.00768,bc,0,0.019142448979591838,0.946018,0.0024069307218945,14.197535418240001,0.040407556953422345,14.276734229868708,14.118336606611294
4640,2022-10-25 16:34:49,14.99616,bc,0,0.019127755102040817,0.946018,0.0024069307218945,14.18663729088,0.04037653983044908,14.265775308947681,14.10749927281232
4641,2022-10-25 16:34:50,14.94252,bc,0,0.01905933673469388,0.946018,0.0024069307218945,14.13589288536,0.040232116351604806,14.214747833409145,14.057037937310856
4642,2022-10-25 16:34:51,14.93532,bc,0,0.01905015306122449,0.946018,0.0024069307218945,14.129081555760001,0.040212730649746516,14.207898507833503,14.050264603686498
4643,2022-10-25 16:34:52,15.00696,bc,0,0.019141530612244897,0.946018,0.0024069307218945,14.19685428528,0.040405618383236516,14.276049297311145,14.117659273248856
4644,2022-10-25 16:34:53,14.98572,bc,0,0.019114438775510206,0.946018,0.0024069307218945,14.17676086296,0.040348430562754556,14.255843786862998,14.097677939057002
4645,2022-10-25 16:34:54,14.9364,bc,0,0.0190515306122449,0.946018,0.0024069307218945,14.130103255200002,0.04021563850502526,14.208925906669851,14.051280603730152
4646,2022-10-25 16:34:55,14.96232,bc,0,0.019084591836734697,0.946018,0.0024069307218945,14.15462404176,0.04028542703171511,14.233583478742162,14.075664604777838
4647,2022-10-25 16:34:56,14.99436,bc,0,0.019125459183673473,0.946018,0.0024069307218945,14.18493445848,0.040371693404984504,14.26406297755377,14.105805939406231
4648,2022-10-25 16:34:57,15.00228,bc,0,0.019135561224489797,0.946018,0.0024069307218945,14.192426921040001,0.040393017677028624,14.271597235686977,14.113256606393024
4649,2022-10-25 16:34:58,14.96232,bc,0,0.019084591836734697,0.946018,0.0024069307218945,14.15462404176,0.04028542703171511,14.233583478742162,14.075664604777838
4650,2022-10-25 16:34:59,15.00444,bc,0,0.019138316326530614,0.946018,0.0024069307218945,14.19447031992,0.04039883338758611,14.273652033359669,14.115288606480332
4651,2022-10-25 16:35:00,14.96988,bc,0,0.019094234693877554,0.946018,0.0024069307218945,14.16177593784,0.04030578201866632,14.240775270596586,14.082776605083414
