,datetime_utc,flow_rate,meter,qc_flag
3238,2022-10-29 16:25:02,0.0,None,2
3239,2022-10-29 16:25:03,0.0,None,0
3240,2022-10-29 16:25:04,0.0,None,0
3241,2022-10-29 16:25:05,0.0,None,0
3242,2022-10-29 16:25:06,0.0,None,0
3243,2022-10-29 16:25:07,0.0,None,0
3244,2022-10-29 16:25:08,0.0,None,0
3245,2022-10-29 16:25:09,0.0,None,0
3246,2022-10-29 16:25:10,0.0,None,0
3247,2022-10-29 16:25:11,0.0,None,0
3248,2022-10-29 16:25:12,0.0,None,0
3249,2022-10-29 16:25:13,0.0,None,0
3250,2022-10-29 16:25:14,0.0,None,0
3251,2022-10-29 16:25:15,0.0,None,0
3252,2022-10-29 16:25:16,0.0,None,0
3253,2022-10-29 16:25:17,0.0,None,0
3254,2022-10-29 16:25:18,0.0,None,0
3255,2022-10-29 16:25:19,0.0,None,0
3256,2022-10-29 16:25:20,0.0,None,0
3257,2022-10-29 16:25:21,0.0,None,0
3258,2022-10-29 16:25:22,0.0,None,0
3259,2022-10-29 16:25:23,0.0,None,0
3260,2022-10-29 16:25:24,0.0,None,0
3261,2022-10-29 16:25:25,0.0,None,0
3262,2022-10-29 16:25:26,0.0,None,0
3263,2022-10-29 16:25:27,0.0,None,0
3264,2022-10-29 16:25:28,0.0,None,0
3265,2022-10-29 16:25:29,0.0,None,0
3266,2022-10-29 16:25:30,0.0,None,0
3267,2022-10-29 16:25:31,0.0,None,0
3268,2022-10-29 16:25:32,0.0,None,0
3269,2022-10-29 16:25:33,0.0,None,0
3270,2022-10-29 16:25:34,0.0,None,0
3271,2022-10-29 16:25:35,0.0,mc,3
3272,2022-10-29 16:25:36,0.0,mc,3
3273,2022-10-29 16:25:37,0.0,mc,3
3274,2022-10-29 16:25:38,0.0,mc,3
3275,2022-10-29 16:25:39,0.0,mc,2
3276,2022-10-29 16:25:40,0.0,mc,2
3277,2022-10-29 16:25:41,0.0,mc,2
3278,2022-10-29 16:25:42,0.0,mc,2
3279,2022-10-29 16:25:43,0.0,mc,2
3280,2022-10-29 16:25:44,0.0,mc,2
3281,2022-10-29 16:25:45,0.0,mc,2
3282,2022-10-29 16:25:46,0.0,mc,2
3283,2022-10-29 16:25:47,7.642080000000001,mc,2
3284,2022-10-29 16:25:48,30.75552,mc,0
3285,2022-10-29 16:25:49,175.5396,mc,0
3286,2022-10-29 16:25:50,199.0368,mc,0
3287,2022-10-29 16:25:51,197.5392,mc,0
3288,2022-10-29 16:25:52,195.2028,mc,0
3289,2022-10-29 16:25:53,193.6728,mc,0
3290,2022-10-29 16:25:54,219.2184,mc,0
3291,2022-10-29 16:25:55,258.6492,mc,0
3292,2022-10-29 16:25:56,264.6792,mc,0
3293,2022-10-29 16:25:57,264.8376,mc,0
3294,2022-10-29 16:25:58,289.1088,mc,0
3295,2022-10-29 16:25:59,295.8192,mc,0
3296,2022-10-29 16:26:00,297.2952,mc,0
3297,2022-10-29 16:26:01,296.2656,mc,0
3298,2022-10-29 16:26:02,297.774,mc,0
3299,2022-10-29 16:26:03,298.4832,mc,0
3300,2022-10-29 16:26:04,299.322,mc,0
3301,2022-10-29 16:26:05,299.5416,mc,0
3302,2022-10-29 16:26:06,300.1032,mc,0
3303,2022-10-29 16:26:07,299.7864,mc,0
3304,2022-10-29 16:26:08,300.5712,mc,0
3305,2022-10-29 16:26:09,301.4892,mc,0
3306,2022-10-29 16:26:10,302.5944,mc,0
3307,2022-10-29 16:26:11,303.2496,mc,0
3308,2022-10-29 16:26:12,302.1552,mc,0
3309,2022-10-29 16:26:13,301.8132,mc,0
3310,2022-10-29 16:26:14,302.4648,mc,0
3311,2022-10-29 16:26:15,302.1984,mc,0
3312,2022-10-29 16:26:16,303.2676,mc,0
3313,2022-10-29 16:26:17,303.2424,mc,0
3314,2022-10-29 16:26:18,302.472,mc,0
3315,2022-10-29 16:26:19,302.8572,mc,0
3316,2022-10-29 16:26:20,302.85,mc,0
3317,2022-10-29 16:26:21,304.038,mc,0
3318,2022-10-29 16:26:22,304.074,mc,0
3319,2022-10-29 16:26:23,304.218,mc,0
3320,2022-10-29 16:26:24,303.7212,mc,0
3321,2022-10-29 16:26:25,304.5204,mc,0
3322,2022-10-29 16:26:26,303.4476,mc,0
3323,2022-10-29 16:26:27,303.9156,mc,0
3324,2022-10-29 16:26:28,304.6428,mc,0
3325,2022-10-29 16:26:29,305.172,mc,0
3326,2022-10-29 16:26:30,304.3872,mc,0
3327,2022-10-29 16:26:31,305.9532,mc,0
3328,2022-10-29 16:26:32,305.7948,mc,0
3329,2022-10-29 16:26:33,305.2476,mc,0
3330,2022-10-29 16:26:34,305.2332,mc,0
3331,2022-10-29 16:26:35,305.4996,mc,0
3332,2022-10-29 16:26:36,305.028,mc,0
3333,2022-10-29 16:26:37,304.1964,mc,0
3334,2022-10-29 16:26:38,304.8552,mc,0
3335,2022-10-29 16:26:39,304.8012,mc,0
3336,2022-10-29 16:26:40,304.8156,mc,0
3337,2022-10-29 16:26:41,308.1384,mc,0
3338,2022-10-29 16:26:42,335.2392,mc,0
3339,2022-10-29 16:26:43,338.3352,mc,0
3340,2022-10-29 16:26:44,336.8268,mc,0
3341,2022-10-29 16:26:45,337.086,mc,0
3342,2022-10-29 16:26:46,335.6784,mc,0
3343,2022-10-29 16:26:47,335.232,mc,0
3344,2022-10-29 16:26:48,333.6264,mc,0
3345,2022-10-29 16:26:49,333.99,mc,0
