,overpass_id,non_zero_release,operator_detected,release_rate_kgh,operator_quantification
0,1.0,True,True,10.96863687,87.19376164
1,2.0,True,False,7.31481002,
3,4.0,True,False,4.461038439,
8,9.0,True,True,39.49638374,94.72816414
9,10.0,True,True,29.87523348,74.78590872
18,19.0,True,True,23.91384594,34.46484832
19,20.0,True,True,49.33627908,32.24689386
23,24.0,True,True,26.64415145,18.93505226
25,26.0,True,True,48.12863489,24.98148376
29,30.0,True,True,40.6995899,25.71377555
33,34.0,True,False,6.853537534,
34,35.0,True,True,21.05280708,13.7314693
37,38.0,True,True,16.5652514,42.44641036
41,42.0,True,True,32.69978616,25.47196825
47,48.0,True,True,35.60051426,98.45613773
48,49.0,True,True,47.69030243,51.56575317
54,55.0,True,True,11.26225511,4.90088507
56,57.0,True,True,23.43240543,22.09402808
57,58.0,True,True,22.84482405,35.91431737
83,84.0,True,True,34.22681797,35.12918503
84,85.0,True,True,33.56538612,34.93712619
119,120.0,True,True,43.07583255,76.02348931
