Date,Time (UTC) - from Flightradar,Time (UTC) - from Stanford,Time (UTC) - from team,FlightradarOverpassID,StanfordOverpassID,PerformerOverpassID,PhaseIII,Meter,Discarded - using Flightradar,Discarded - using Stanford,Discarded - using team,Discarded - 1% - using Flightradar,Discarded - 1% - using Stanford,Discarded - 1% - using team,Average altitude last minute (m)
10/25/22,16:57:47,16:57:47,,1,1,,0,None,1,1,,1,1,,43073.88889
10/25/22,17:15:08,17:15:06,17:15:00,2,2,1,0,Mama Coriolis,0,0,0,1,1,1,43031.45833
10/25/22,17:32:52,17:32:51,17:32:00,3,3,2,0,Mama Coriolis,0,0,0,0,0,0,43037.94922
10/25/22,17:50:42,17:50:38,17:51:00,4,4,3,0,Papa Coriolis,1,1,1,1,1,1,44040.625
10/25/22,18:09:11,18:09:06,18:09:00,5,5,4,0,Papa Coriolis,0,0,0,0,0,0,44042.51984
10/25/22,18:27:57,18:27:49,18:27:00,6,6,5,0,None,1,1,1,1,1,1,45047.5672
10/25/22,18:47:09,18:47:01,18:47:00,7,7,6,0,Papa Coriolis,0,0,0,0,0,0,45050.625
10/25/22,19:07:10,19:07:09,19:07:00,8,8,7,0,Baby Coriolis,0,0,0,0,0,0,45033.71585
10/25/22,19:28:04,19:27:51,19:27:00,9,9,8,0,Papa Coriolis,0,0,0,0,0,0,45040
10/25/22,19:49:00,19:48:50,,10,10,,0,Papa Coriolis,0,0,,0,0,,46052.70833
10/25/22,20:10:31,20:10:26,20:10:00,11,11,9,0,Mama Coriolis,0,0,0,0,0,0,46053.75
10/25/22,20:29:58,20:29:47,20:29:00,12,12,10,0,Mama Coriolis,0,0,0,1,1,1,46075
10/25/22,20:46:41,20:46:41,20:46:00,13,13,11,0,Mama Coriolis,0,0,0,0,0,0,46075
10/29/22,16:25:02,16:25:01,16:25:00,14,14,12,0,None,0,0,0,0,0,0,44025.02404
10/29/22,16:50:52,16:50:54,16:50:00,15,15,13,0,Mama Coriolis,0,0,0,0,0,0,44050
10/29/22,17:17:02,17:17:02,17:17:00,16,16,14,0,Papa Coriolis,0,0,0,0,0,0,44050
10/29/22,17:42:47,17:42:41,17:43:00,17,17,15,0,Papa Coriolis,0,0,1,0,0,1,45048.95492
10/29/22,18:07:14,18:07:05,18:07:00,18,18,16,0,Baby Coriolis,0,0,0,0,0,0,45047.67857
10/29/22,18:31:01,18:30:51,18:31:00,19,19,17,0,Mama Coriolis,0,0,0,0,0,0,45033.10185
10/29/22,18:54:09,18:54:05,18:54:00,20,20,18,0,Papa Coriolis,0,0,0,0,0,0,45043.35026
10/29/22,19:16:43,19:16:34,19:17:00,21,21,19,0,Papa Coriolis,0,0,0,0,0,0,45025
10/29/22,19:38:38,19:38:31,19:38:00,22,22,20,0,Papa Coriolis,0,0,0,0,0,1,46025
10/29/22,19:59:57,19:59:55,20:00:00,23,23,21,0,Papa Coriolis,0,0,0,0,0,0,46015.94262
10/29/22,20:21:33,20:19:49,20:21:00,24,24,22,0,Mama Coriolis,1,0,0,1,0,0,46025
10/29/22,20:42:37,20:42:28,20:41:00,25,25,23,0,Papa Coriolis,1,1,,1,1,,46025
10/29/22,21:02:19,21:02:17,21:02:00,26,26,24,0,Mama Coriolis,0,0,0,0,0,0,46035.34946
