,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,Kairos - LS23,1,KA-1,10/24/22,16:46:16,1,0,,,nan,,clear
1,Kairos - LS23,1,KA-2,10/24/22,16:49:22,1,0,,,nan,,clear
2,Kairos - LS23,1,KA-3,10/24/22,16:52:33,0,,,,nan,,KA-1
3,Kairos - LS23,1,KA-4,10/24/22,16:55:42,1,17.57448,,,nan,4.25,clear
4,Kairos - LS23,1,KA-5,10/24/22,16:59:02,1,30.7568,,,nan,4.2,clear
5,Kairos - LS23,1,KA-6,10/24/22,17:02:04,1,119.00672,,,nan,4.15,clear
6,Kairos - LS23,1,KA-7,10/24/22,17:05:21,1,253.1824,,,nan,4.09,clear
7,Kairos - LS23,1,KA-8,10/24/22,17:08:22,1,128.58496,,,nan,4.04,clear
8,Kairos - LS23,1,KA-9,10/24/22,17:11:38,1,0,,,nan,,clear
9,Kairos - LS23,1,KA-10,10/24/22,17:14:38,1,0,,,nan,,clear
10,Kairos - LS23,1,KA-11,10/24/22,17:17:54,1,0,,,nan,,clear
11,Kairos - LS23,1,KA-12,10/24/22,17:20:59,1,11.50552,,,nan,3.8,clear
12,Kairos - LS23,1,KA-13,10/24/22,17:24:13,1,18.436,,,nan,3.75,clear
13,Kairos - LS23,1,KA-14,10/24/22,17:27:12,1,0,,,nan,,clear
14,Kairos - LS23,1,KA-15,10/24/22,17:30:28,0,,,,nan,3.63,KA-2
15,Kairos - LS23,1,KA-16,10/24/22,17:33:39,1,0,,,nan,,clear
16,Kairos - LS23,1,KA-17,10/24/22,17:36:53,1,0,,,nan,,clear
17,Kairos - LS23,1,KA-18,10/24/22,17:40:00,1,31.02192,,,nan,3.46,clear
18,Kairos - LS23,1,KA-19,10/24/22,17:43:18,1,55.4736,,,nan,3.41,clear
19,Kairos - LS23,1,KA-20,10/24/22,17:46:21,1,22.92096,,,nan,3.36,clear
20,Kairos - LS23,1,KA-21,10/24/22,17:49:37,1,149.85984,,,nan,3.31,clear
21,Kairos - LS23,1,KA-22,10/24/22,17:52:40,1,213.39264,,,nan,3.27,clear
22,Kairos - LS23,1,KA-23,10/24/22,17:57:59,1,140.61312,,,nan,3.21,clear
23,Kairos - LS23,1,KA-24,10/24/22,18:01:12,1,67.00464,,,nan,3.18,clear
24,Kairos - LS23,1,KA-25,10/24/22,18:04:31,1,72.9816,,,nan,3.15,clear
25,Kairos - LS23,1,KA-26,10/24/22,18:07:34,1,190.568,,,nan,3.13,clear
26,Kairos - LS23,1,KA-27,10/24/22,18:10:51,1,0,,,nan,,clear
27,Kairos - LS23,1,KA-28,10/24/22,18:13:54,0,,,,nan,3.08,KA-3
28,Kairos - LS23,1,KA-29,10/24/22,18:17:18,0,,,,nan,,KA-4
29,Kairos - LS23,1,KA-30,10/24/22,18:20:26,0,,,,nan,,KA-4
30,Kairos - LS23,1,KA-31,10/24/22,18:23:39,0,,,,nan,3.04,KA-3
31,Kairos - LS23,1,KA-32,10/24/22,18:26:41,1,447.5488,,,nan,3.04,clear
32,Kairos - LS23,1,KA-33,10/24/22,18:29:54,1,367.09632,,,nan,3.03,clear
33,Kairos - LS23,1,KA-34,10/24/22,18:33:04,0,,,,nan,,KA-4
34,Kairos - LS23,1,KA-35,10/24/22,18:39:07,1,146.66496,,,nan,3.02,clear
35,Kairos - LS23,1,KA-36,10/24/22,18:42:16,1,141.58144,,,nan,3.02,clear
36,Kairos - LS23,1,KA-37,10/24/22,18:45:34,1,128.63,,,nan,3.03,clear
37,Kairos - LS23,1,KA-38,10/24/22,18:48:36,1,19.36368,,,nan,3.03,clear
38,Kairos - LS23,1,KA-39,10/24/22,18:51:57,1,45.30288,,,nan,3.04,clear
39,Kairos - LS23,1,KA-40,10/24/22,18:55:01,0,,,,nan,,KA-4
40,Kairos - LS23,1,KA-41,10/24/22,18:58:14,1,4.79424,,,nan,3.04,clear
41,Kairos - LS23,1,KA-42,10/24/22,19:01:19,1,0,,,nan,,clear
42,Kairos - LS23,1,KA-43,10/24/22,19:04:28,1,15.092,,,nan,3.07,clear
43,Kairos - LS23,1,KA-44,10/24/22,19:07:37,1,0,,,nan,,clear
44,Kairos - LS23,1,KA-45,10/24/22,19:11:02,1,0,,,nan,,clear
45,Kairos - LS23,1,KA-46,10/24/22,19:14:06,1,10.77712,,,nan,3.12,clear
46,Kairos - LS23,1,KA-47,10/24/22,19:17:24,1,18.24768,,,nan,3.15,clear
47,Kairos - LS23,1,KA-48,10/24/22,19:20:30,1,45.156,,,nan,3.17,clear
48,Kairos - LS23,1,KA-49,10/24/22,19:23:45,1,10.0672,,,nan,3.2,clear
49,Kairos - LS23,1,KA-50,10/24/22,19:26:51,1,4.55672,,,nan,3.22,clear
50,Kairos - LS23,1,KA-51,10/24/22,19:30:05,1,17.35552,,,nan,3.25,clear
51,Kairos - LS23,1,KA-52,10/24/22,19:33:08,1,15.91312,,,nan,3.28,clear
52,Kairos - LS23,1,KA-53,10/24/22,19:36:20,1,18.79176,,,nan,3.31,clear
53,Kairos - LS23,1,KA-54,10/24/22,19:39:22,1,0,,,nan,,clear
54,Kairos - LS23,1,KA-55,10/24/22,19:42:34,1,13.01184,,,nan,3.37,clear
55,Kairos - LS23,1,KA-56,10/24/22,19:45:37,1,0,,,nan,,clear
56,Kairos - LS23,1,KA-57,10/24/22,19:48:46,1,0,,,nan,,clear
57,Kairos - LS23,1,KA-58,10/25/22,16:35:28,1,30.8416,,,nan,1.77,clear
58,Kairos - LS23,1,KA-59,10/25/22,16:38:31,1,34.58224,,,nan,1.79,clear
59,Kairos - LS23,1,KA-60,10/25/22,16:41:46,1,57.72888,,,nan,1.82,clear
60,Kairos - LS23,1,KA-61,10/25/22,16:44:54,0,,,,nan,,KA-4
61,Kairos - LS23,1,KA-62,10/25/22,16:48:06,0,,,,nan,,KA-4
62,Kairos - LS23,1,KA-63,10/25/22,16:51:13,1,7.37592,,,nan,1.88,clear
63,Kairos - LS23,1,KA-64,10/25/22,16:54:29,1,4.83936,,,nan,1.9,clear
64,Kairos - LS23,1,KA-65,10/25/22,16:57:35,1,11.05104,,,nan,1.92,clear
65,Kairos - LS23,1,KA-66,10/25/22,17:00:52,1,0,,,nan,,clear
66,Kairos - LS23,1,KA-67,10/25/22,17:04:00,1,15.9344,,,nan,1.94,clear
67,Kairos - LS23,1,KA-68,10/25/22,17:07:16,1,14.3724,,,nan,1.94,clear
68,Kairos - LS23,1,KA-69,10/25/22,17:10:31,0,,,,nan,,KA-4
69,Kairos - LS23,1,KA-70,10/25/22,17:13:51,0,,,,nan,,KA-4
70,Kairos - LS23,1,KA-71,10/25/22,17:16:59,0,,,,nan,,KA-4
71,Kairos - LS23,1,KA-72,10/25/22,17:20:12,1,27.82816,,,nan,1.95,clear
72,Kairos - LS23,1,KA-73,10/25/22,17:23:22,1,18.49384,,,nan,1.95,clear
73,Kairos - LS23,1,KA-74,10/25/22,17:26:36,1,108.19776,,,nan,1.95,clear
74,Kairos - LS23,1,KA-75,10/25/22,17:29:47,1,89.6796,,,nan,1.94,clear
75,Kairos - LS23,1,KA-76,10/25/22,17:32:56,1,140.8008,,,nan,1.94,clear
76,Kairos - LS23,1,KA-77,10/25/22,17:36:04,0,,,,nan,,KA-4
77,Kairos - LS23,1,KA-78,10/25/22,17:39:20,0,,,,nan,,KA-4
78,Kairos - LS23,1,KA-79,10/25/22,17:42:26,0,,,,nan,,KA-4
79,Kairos - LS23,1,KA-80,10/25/22,17:45:43,0,,,,nan,,KA-4
80,Kairos - LS23,1,KA-81,10/25/22,17:48:48,0,,,,nan,,KA-4
81,Kairos - LS23,1,KA-82,10/25/22,17:52:10,0,,,,nan,,KA-4
82,Kairos - LS23,1,KA-83,10/25/22,17:55:18,0,,,,nan,,KA-4
83,Kairos - LS23,1,KA-84,10/25/22,17:58:33,0,,,,nan,,KA-4
84,Kairos - LS23,1,KA-85,10/25/22,18:01:38,0,,,,nan,,KA-4
85,Kairos - LS23,1,KA-86,10/25/22,18:04:54,0,,,,nan,,KA-4
86,Kairos - LS23,1,KA-87,10/25/22,18:08:04,0,,,,nan,,KA-4
87,Kairos - LS23,1,KA-88,10/25/22,18:11:22,0,,,,nan,,KA-4
88,Kairos - LS23,1,KA-89,10/25/22,18:14:25,0,,,,nan,,KA-4
89,Kairos - LS23,1,KA-90,10/25/22,18:17:40,1,44.94528,,,nan,1.82,clear
90,Kairos - LS23,1,KA-91,10/25/22,18:20:42,0,,,,nan,,KA-4
91,Kairos - LS23,1,KA-92,10/25/22,18:23:59,1,0,,,nan,,clear
92,Kairos - LS23,1,KA-93,10/25/22,18:27:08,1,0,,,nan,,clear
93,Kairos - LS23,1,KA-94,10/25/22,18:30:19,1,0,,,nan,,clear
94,Kairos - LS23,1,KA-95,10/25/22,18:33:32,1,25.37208,,,nan,1.76,clear
95,Kairos - LS23,1,KA-96,10/25/22,18:36:53,0,,,,nan,1.74,KA-3
96,Kairos - LS23,1,KA-97,10/25/22,18:40:05,0,,,,nan,,KA-4
97,Kairos - LS23,1,KA-98,10/25/22,18:43:26,0,,,,nan,,KA-4
98,Kairos - LS23,1,KA-99,10/25/22,18:46:38,0,,,,nan,,KA-4
99,Kairos - LS23,1,KA-100,10/25/22,18:49:54,1,380.22,,,nan,1.68,clear
100,Kairos - LS23,1,KA-101,10/25/22,18:53:04,0,,,,nan,,KA-4
101,Kairos - LS23,1,KA-102,10/25/22,18:56:22,1,0,,,nan,,clear
102,Kairos - LS23,1,KA-103,10/25/22,18:59:31,1,26.10696,,,nan,1.62,clear
103,Kairos - LS23,1,KA-104,10/25/22,19:02:47,1,14.18768,,,nan,1.6,clear
104,Kairos - LS23,1,KA-105,10/25/22,19:05:57,1,11.7576,,,nan,1.59,clear
105,Kairos - LS23,1,KA-106,10/25/22,19:09:08,1,19.17864,,,nan,1.57,clear
106,Kairos - LS23,1,KA-107,10/25/22,19:12:18,1,277.51968,,,nan,1.55,clear
107,Kairos - LS23,1,KA-108,10/25/22,19:15:37,1,133.99936,,,nan,1.52,clear
108,Kairos - LS23,1,KA-109,10/25/22,19:18:48,0,,,,nan,,KA-4
109,Kairos - LS23,1,KA-110,10/25/22,19:22:07,1,521.928,,,nan,1.48,clear
110,Kairos - LS23,1,KA-111,10/25/22,19:25:20,1,565.812,,,nan,1.45,clear
111,Kairos - LS23,1,KA-112,10/25/22,19:28:44,1,634.19752,,,nan,1.43,clear
112,Kairos - LS23,1,KA-113,10/25/22,19:31:53,0,,,,nan,,KA-4
113,Kairos - LS23,1,KA-114,10/25/22,19:35:15,0,,,,nan,1.38,KA-3
114,Kairos - LS23,1,KA-115,10/25/22,19:38:28,0,,,,nan,,KA-4
115,Kairos - LS23,1,KA-116,10/25/22,19:41:50,0,,,,nan,1.33,KA-3
116,Kairos - LS23,1,KA-117,10/25/22,19:45:00,0,,,,nan,1.31,KA-3
117,Kairos - LS23,1,KA-118,10/25/22,19:48:12,0,,,,nan,,KA-4
118,Kairos - LS23,1,KA-119,10/25/22,19:51:24,1,3.0324,,,nan,1.27,clear
119,Kairos - LS23,1,KA-120,10/25/22,19:54:38,1,2.94488,,,nan,1.26,clear
120,Kairos - LS23,1,KA-121,10/25/22,19:57:45,1,2.75776,,,nan,1.24,clear
121,Kairos - LS23,1,KA-122,10/25/22,20:01:02,1,122.45568,,,nan,1.23,clear
122,Kairos - LS23,1,KA-123,10/25/22,20:04:13,1,96.93024,,,nan,1.22,clear
123,Kairos - LS23,1,KA-124,10/25/22,20:07:27,0,,,,nan,,KA-4
124,Kairos - LS23,1,KA-125,10/25/22,20:10:31,0,,,,nan,1.21,KA-3
125,Kairos - LS23,1,KA-126,10/25/22,20:13:50,0,,,,nan,,KA-4
126,Kairos - LS23,1,KA-127,10/25/22,20:16:56,1,0,,,nan,,clear
127,Kairos - LS23,1,KA-128,10/25/22,20:20:10,1,3.9664,,,nan,1.2,clear
128,Kairos - LS23,1,KA-129,10/25/22,20:23:21,1,42.8268,,,nan,1.19,clear
129,Kairos - LS23,1,KA-130,10/25/22,20:26:35,0,,,,nan,,KA-4
130,Kairos - LS23,1,KA-131,10/25/22,20:29:41,0,,,,nan,,KA-4
131,Kairos - LS23,1,KA-132,10/25/22,20:33:00,0,,,,nan,,KA-1
132,Kairos - LS23,1,KA-133,10/26/22,16:39:47,1,0,,,nan,,clear
133,Kairos - LS23,1,KA-134,10/26/22,16:42:56,1,0,,,nan,,clear
134,Kairos - LS23,1,KA-135,10/26/22,16:46:11,1,0,,,nan,,clear
135,Kairos - LS23,1,KA-136,10/26/22,16:49:18,1,0,,,nan,,clear
136,Kairos - LS23,1,KA-137,10/26/22,16:52:32,1,0,,,nan,,clear
137,Kairos - LS23,1,KA-138,10/26/22,16:55:40,1,7.392,,,nan,1.97,clear
138,Kairos - LS23,1,KA-139,10/26/22,16:58:46,1,7.8144,,,nan,1.97,clear
139,Kairos - LS23,1,KA-140,10/26/22,17:11:57,1,0,,,nan,,clear
140,Kairos - LS23,1,KA-141,10/26/22,17:15:07,1,5.05744,,,nan,1.94,clear
141,Kairos - LS23,1,KA-142,10/26/22,17:18:18,1,0,,,nan,,clear
142,Kairos - LS23,1,KA-143,10/26/22,17:21:29,1,5.24096,,,nan,1.93,clear
143,Kairos - LS23,1,KA-144,10/26/22,17:24:42,1,0,,,nan,,clear
144,Kairos - LS23,1,KA-145,10/26/22,17:27:48,1,0,,,nan,,clear
145,Kairos - LS23,1,KA-146,10/26/22,17:30:56,1,66.37488,,,nan,1.92,clear
146,Kairos - LS23,1,KA-147,10/26/22,17:34:04,1,85.55976,,,nan,1.92,clear
147,Kairos - LS23,1,KA-148,10/26/22,17:37:14,1,144.89904,,,nan,1.92,clear
148,Kairos - LS23,1,KA-149,10/26/22,17:40:28,1,67.74768,,,nan,1.92,clear
149,Kairos - LS23,1,KA-150,10/26/22,17:43:42,1,97.05696,,,nan,1.92,clear
150,Kairos - LS23,1,KA-151,10/26/22,17:46:51,1,48.1944,,,nan,1.92,clear
151,Kairos - LS23,1,KA-152,10/26/22,17:50:01,1,51.82344,,,nan,1.93,clear
152,Kairos - LS23,1,KA-153,10/26/22,17:53:09,1,53.42976,,,nan,1.93,clear
153,Kairos - LS23,1,KA-154,10/26/22,17:56:19,1,38.5392,,,nan,1.94,clear
154,Kairos - LS23,1,KA-155,10/26/22,17:59:29,1,45.24,,,nan,1.94,clear
155,Kairos - LS23,1,KA-156,10/26/22,18:02:42,1,675.95664,,,nan,1.96,clear
156,Kairos - LS23,1,KA-157,10/26/22,18:05:47,0,,,,nan,1.97,KA-3
157,Kairos - LS23,1,KA-158,10/26/22,18:08:58,0,,,,nan,,KA-4
158,Kairos - LS23,1,KA-159,10/26/22,18:12:03,0,,,,nan,,KA-4
159,Kairos - LS23,1,KA-160,10/26/22,18:15:15,1,1183.85696,,,nan,2.02,clear
160,Kairos - LS23,1,KA-161,10/26/22,18:18:26,0,,,,nan,2.03,KA-3
