,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_60_mean,gas_kgh_60_std,meter_sigma,methane_fraction_su_raw,methane_fraction_su_raw_sigma,ch4_kgh_60_mean_su_raw,ch4_kgh_sigma
0,2022-10-25 17:15:00,1.0,0,mc,0.0,1.0,41623.97797,216.85464,0.3634481508728315,0.27660030612244907,0.9,0.022499999999999996,195.16917600000002,4.896513799722971
1,2022-10-25 17:32:00,2.0,0,mc,0.0,0.0,41630.46886,102.75569999999999,0.08909021517921052,0.131065943877551,0.9,0.022499999999999996,92.48013,2.3163985969516485
2,2022-10-25 17:51:00,3.0,0,pc,1.0,1.0,42633.14464,1042.3014,26.12646708763655,1.329466071428572,0.8800000000000002,0.022499999999999996,917.225232,32.86265746430847
3,2022-10-25 18:09:00,4.0,0,pc,0.0,0.0,42635.03948,1031.8547999999998,27.722087150128548,1.3161413265306126,0.8800000000000002,0.022499999999999996,908.0322239999999,33.69711352547469
4,2022-10-25 18:27:00,5.0,0,None,1.0,1.0,43640.086839999996,0.0,0.0,0.0,0.8800000000000002,0.0,0.0,0.0
5,2022-10-25 18:47:00,6.0,0,pc,0.0,0.0,43643.14464,492.8550000000001,2.2094703560440205,0.6286415816326533,0.8800000000000002,0.022499999999999996,433.71240000000006,11.271985540192853
6,2022-10-25 19:07:00,7.0,0,bc,0.0,0.0,43626.23549,25.695227999999997,0.03531453653734505,0.03277452551020404,0.8800000000000002,0.022499999999999996,22.61180064,0.5796951824122657
7,2022-10-25 19:27:00,8.0,0,pc,0.0,0.0,43632.51964,668.3208000000001,5.771256035778386,0.8524499999999999,0.8800000000000002,0.022499999999999996,588.122304,15.889427517842343
8,2022-10-25 20:10:00,9.0,0,mc,0.0,0.0,44646.26964,149.56182,0.17424240158031112,0.19076762755102036,0.8800000000000002,0.022499999999999996,131.6144016,3.3728129070515815
9,2022-10-25 20:29:00,10.0,0,mc,0.0,1.0,44667.51964,78.73181999999998,0.10233857863956328,0.10042323979591833,0.8800000000000002,0.022499999999999996,69.2840016,1.7759537539934338
10,2022-10-25 20:46:00,11.0,0,mc,0.0,0.0,44667.51964,66.33882,0.06168326641749991,0.08461584183673465,0.8800000000000002,0.022499999999999996,58.3781616,1.4954650784540802
11,2022-10-29 16:25:00,12.0,0,None,0.0,0.0,42617.543679999995,0.0,0.0,0.0,0.9200000000000002,0.0,0.0,0.0
12,2022-10-29 16:50:00,13.0,0,mc,0.0,0.0,42642.51964,356.52234000000004,0.6975535819769062,0.4547478826530612,0.9200000000000002,0.022499999999999996,328.00055280000004,8.058249782857372
13,2022-10-29 17:17:00,14.0,0,pc,0.0,0.0,42642.51964,704.4960000000002,4.9172499962299865,0.898591836734694,0.9200000000000002,0.022499999999999996,648.1363200000001,16.504790619834207
14,2022-10-29 17:43:00,15.0,0,pc,1.0,1.0,43641.474559999995,425.80019999999996,1.7966909584010269,0.5431125000000001,0.9200000000000002,0.022499999999999996,391.736184,9.73488533951543
15,2022-10-29 18:07:00,16.0,0,bc,0.0,0.0,43640.198209999995,35.260566000000004,0.04351226926912928,0.04497521173469385,0.9200000000000002,0.022499999999999996,32.439720720000004,0.7954489333282112
16,2022-10-29 18:31:00,17.0,0,mc,0.0,0.0,43625.62149,354.09504000000004,0.8482661117473579,0.45165183673469395,0.9200000000000002,0.022499999999999996,325.7674367999999,8.016045320781556
17,2022-10-29 18:54:00,18.0,0,pc,0.0,0.0,43635.8699,858.5136,11.75270637883541,1.0950428571428572,0.9200000000000002,0.022499999999999996,789.8325120000002,22.15974293759766
18,2022-10-29 19:17:00,19.0,0,pc,0.0,0.0,43617.51964,1113.7350000000001,30.95836689622622,1.4205803571428575,0.9200000000000002,0.022499999999999996,1024.6362000000001,37.95880045177977
19,2022-10-29 19:38:00,20.0,0,pc,0.0,1.0,44617.51964,1353.8322,34.82771883739947,1.7268267857142863,0.9200000000000002,0.022499999999999996,1245.5256240000003,44.238760287002805
20,2022-10-29 20:00:00,21.0,0,pc,0.0,0.0,44608.46226,614.0717999999999,4.154337634287937,0.7832548469387756,0.9200000000000002,0.022499999999999996,564.946056,14.353596503173394
21,2022-10-29 20:21:00,22.0,0,mc,0.0,0.0,44617.51964,214.32606000000004,0.3055294427821636,0.27337507653061227,0.9200000000000002,0.022499999999999996,197.1799752,4.837064463458454
22,2022-10-29 21:02:00,24.0,0,mc,0.0,0.0,44627.869099999996,177.141495,0.12405227120663864,0.2259457844387755,0.9200000000000002,0.022499999999999996,162.9701754,3.992732055440138
