,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,methane_fraction_km_sigma,kgh_gas_60_mean,kgh_gas_60_std,kgh_ch4_60_mean_km,kgh_ch4_60_std_km,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
0,2022-10-25 17:15:00,1.0,0,mc,0.0,1.0,41623.97797,0.9460180000000004,0.0024069307218944993,216.85464,0.3634481508728315,205.14839282352006,0.3438284927924173,0.25,0.12755102040816327,0.276600306122449,0.6775874162362625
1,2022-10-25 17:32:00,2.0,0,mc,0.0,0.0,41630.46886,0.9460180000000004,0.0024069307218944993,102.75569999999999,0.08909021517921052,97.20874180259999,0.0842809471834067,0.25,0.12755102040816327,0.13106594387755102,0.2892180126569554
2,2022-10-25 17:51:00,3.0,0,pc,1.0,1.0,42633.14464,0.950644,0.0013657668785947998,1042.3014,26.12646708763655,990.8575721016001,24.836969178059164,0.25,0.12755102040816327,1.3294660714285715,24.909813735033282
3,2022-10-25 18:09:00,4.0,0,pc,0.0,0.0,42635.03948,0.950644,0.0013657668785947998,1031.8547999999998,27.722087150128548,980.9265744912001,26.35383581674681,0.25,0.12755102040816327,1.316141326530612,26.42113110727164
4,2022-10-25 18:27:00,5.0,0,None,1.0,1.0,43640.086839999996,0.950644,0.0013657668785947998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-10-25 18:47:00,6.0,0,pc,0.0,0.0,43643.14464,0.950644,0.0013657668785947998,492.8550000000001,2.2094703560440205,468.52964862000005,2.100419737151107,0.25,0.12755102040816327,0.6286415816326533,2.2851702985778624
6,2022-10-25 19:07:00,7.0,0,bc,0.0,0.0,43626.23549,0.950644,0.0013657668785947998,25.695227999999997,0.03531453653734505,24.427014326832005,0.03357155227200763,0.25,0.12755102040816327,0.03277452551020408,0.057700685326527085
7,2022-10-25 19:27:00,8.0,0,pc,0.0,0.0,43632.51964,0.950644,0.0013657668785947998,668.3208000000001,5.771256035778386,635.3351585952,5.486409922876507,0.25,0.12755102040816327,0.8524500000000002,5.620547455924925
8,2022-10-25 20:10:00,9.0,0,mc,0.0,0.0,44646.26964,0.950644,0.0013657668785947998,149.56182,0.17424240158031112,142.18004681208,0.16564249360791286,0.25,0.12755102040816327,0.19076762755102045,0.3194539963475753
9,2022-10-25 20:29:00,10.0,0,mc,0.0,1.0,44667.51964,0.950644,0.0013657668785947998,78.73181999999998,0.10233857863956328,74.84593229208002,0.09728755575222811,0.25,0.12755102040816327,0.10042323979591836,0.173612562564879
10,2022-10-25 20:46:00,11.0,0,mc,0.0,0.0,44667.51964,0.950644,0.0013657668785947998,66.33882,0.06168326641749991,63.06460120008001,0.05863882712019813,0.25,0.12755102040816327,0.08461584183673469,0.134603125624485
11,2022-10-29 16:25:00,12.0,0,None,0.0,0.0,42617.543679999995,0.9533238750000002,0.0046103061607482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-10-29 16:50:00,13.0,0,mc,0.0,0.0,42642.51964,0.9533238750000002,0.0046103061607482,356.52234000000004,0.6975535819769062,339.8812586928676,0.6649944837903566,0.25,0.12755102040816327,0.4547478826530613,1.8253310774037044
13,2022-10-29 17:17:00,14.0,0,pc,0.0,0.0,42642.51964,0.9533238750000002,0.0046103061607482,704.4960000000002,4.9172499962299865,671.6128566419999,4.687731820749705,0.25,0.12755102040816327,0.8985918367346942,5.766958130095238
14,2022-10-29 17:43:00,15.0,0,pc,1.0,1.0,43641.474559999995,0.9533238750000002,0.0046103061607482,425.80019999999996,1.7966909584010269,405.925496639775,1.7128283866403278,0.25,0.12755102040816327,0.5431125,2.6562190622614668
15,2022-10-29 18:07:00,16.0,0,bc,0.0,0.0,43640.198209999995,0.9533238750000002,0.0046103061607482,35.260566000000004,0.04351226926912928,33.61473941381325,0.04148128514969,0.25,0.12755102040816327,0.04497521173469389,0.17316307018655988
16,2022-10-29 18:31:00,17.0,0,mc,0.0,0.0,43625.62149,0.9533238750000002,0.0046103061607482,354.09504000000004,0.8482661117473579,337.56725565108,0.8086723366821762,0.25,0.12755102040816327,0.45165183673469395,1.8719920414581162
17,2022-10-29 18:54:00,18.0,0,pc,0.0,0.0,43635.8699,0.9533238750000002,0.0046103061607482,858.5136,11.75270637883541,818.4415118922,11.204135586808588,0.25,0.12755102040816327,1.0950428571428572,11.92846564166087
18,2022-10-29 19:17:00,19.0,0,pc,0.0,0.0,43617.51964,0.9533238750000002,0.0046103061607482,1113.7350000000001,30.95836689622622,1061.750165923125,29.513350293182096,0.25,0.12755102040816327,1.4205803571428575,29.98727443107098
19,2022-10-29 19:38:00,20.0,0,pc,0.0,1.0,44617.51964,0.9533238750000002,0.0046103061607482,1353.8322,34.82771883739947,1290.640559003775,33.20209587948017,0.25,0.12755102040816327,1.726826785714286,33.82375734218119
20,2022-10-29 20:00:00,21.0,0,pc,0.0,0.0,44608.46226,0.9533238750000002,0.0046103061607482,614.0717999999999,4.154337634287937,585.409307904225,3.960429251577709,0.25,0.12755102040816327,0.7832548469387755,4.925185191597325
21,2022-10-29 20:21:00,22.0,0,mc,0.0,0.0,44617.51964,0.9533238750000002,0.0046103061607482,214.32606000000004,0.3055294427821636,204.32215003268254,0.2912685123196757,0.25,0.12755102040816327,0.2733750765306123,1.0625989032710565
