,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,kgh_ch4_30,kgh_ch4_60,kgh_ch4_90,methane_fraction,meter,qc_discard,qc_discard_strict,altitude_meters
75,2022-11-02 16:48:21,72.0,1,1.110665032,1.106624066,1.103486242,1.088377687,1.084417809,1.081342951,0.979933333,bc,0.0,0.0,8028.854167
76,2022-11-02 16:48:21,72.0,1,1.110665032,1.106624066,1.103486242,1.088377687,1.084417809,1.081342951,0.979933333,bc,0.0,0.0,8028.854167
77,2022-11-02 16:49:24,73.0,1,4.246153548,3.051028328,2.410402945,4.160947401,2.989804359,2.362034193,0.979933333,bc,1.0,1.0,8028.854167
78,2022-11-02 16:49:24,73.0,1,4.246153548,3.051028328,2.410402945,4.160947401,2.989804359,2.362034193,0.979933333,bc,1.0,1.0,8028.854167
79,2022-11-02 16:49:24,73.0,1,4.246153548,3.051028328,2.410402945,4.160947401,2.989804359,2.362034193,0.979933333,bc,1.0,1.0,8028.854167
80,2022-11-02 16:49:24,73.0,1,4.246153548,3.051028328,2.410402945,4.160947401,2.989804359,2.362034193,0.979933333,bc,1.0,1.0,8028.854167
81,2022-11-02 16:52:28,74.0,1,4.24332,4.238510164,4.236317802,4.158170712,4.153457393,4.151309025,0.979933333,bc,0.0,0.0,7999.583333
82,2022-11-02 16:55:37,75.0,1,4.231393548,4.235996066,4.234256703,4.146483585,4.150993745,4.149289285,0.979933333,bc,0.0,0.0,7941.041667
84,2022-11-02 17:02:30,76.0,1,11.0006129,11.00552459,11.00607429,10.77986727,10.7846804,10.78521906,0.979933333,bc,0.0,0.0,7983.958333
85,2022-11-02 17:06:32,77.0,1,10.95457935,10.95868328,10.96408484,10.73475746,10.73877903,10.7440722,0.979933333,bc,0.0,0.0,8008.125
86,2022-11-02 17:09:44,78.0,1,22.1463871,22.15283607,22.13533582,21.70198293,21.70830249,21.69115342,0.979933333,bc,0.0,0.0,7938.4375
